Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers"
J.Edgar,2011,based on a true story,42,59,51,84,65,19,75,-24,,"biography, crime",11220000,11.22,37310000,37.31,47.3,47300000,84610000,84.61,55.90%,35,241.74%,32.06%,,,http://www.amazon.com/gp/product/B007BLCGNU/?tag=titb-20,1,,,,"Nov 9, 2011",
Abduction,2011,original screenplay,4,25,15,46,46,0,46,-32,,"action, mystery, thriller",10930000,10.93,28090000,28.09,54,54000000,82090000,82.09,65.78%,35,234.54%,31.23%,,,http://www.amazon.com/gp/product/B006P4O5JM/?tag=titb-20,1,,,,"Sep 23, 2011",
Friends With Benefits,2011,original screenplay,71,63,67,68,66,2,67,0,,"comedy, romance",18620000,18.62,55800000,55.80,93.74,93740000,149540000,149.54,62.69%,35,427.26%,53.20%,,,http://www.amazon.com/gp/product/B00650SSWG/?tag=titb-20,1,,,,"Jul 22, 2011",
Horrible Bosses,2011,original screenplay,69,57,63,72,71,1,72,-9,,"comedy, crime",28300000,28.30,117540000,117.54,92.1,92100000,209640000,209.64,43.93%,35,598.97%,80.86%,,,http://www.amazon.com/gp/product/B005LJK3AC/?tag=titb-20,1,,,,"Jul 8, 2011",
Bridesmaids,2011,original screenplay,90,75,83,77,72,5,75,8,,"comedy, romance",26250000,26.25,169110000,169.11,119.28,119280000,288390000,288.39,41.36%,32.5,887.35%,80.77%,,,http://www.amazon.com/gp/product/B005KL3QZ0/?tag=titb-20,1,,,,"May 13, 2011",
Source Code,2011,original screenplay,92,74,83,81,76,5,79,5,,"mystery, sci-fi, thriller",14810000,14.81,54710000,54.71,92.62,92620000,147330000,147.33,62.87%,32,460.41%,46.28%,,,http://www.amazon.com/gp/product/B0053F042G/?tag=titb-20,1,,,,"Apr 1, 2011",
The Tree Of Life,2011,original screenplay,84,85,85,61,66,-5,64,21,,fantasy,370000,0.37,13300000,13.30,41,41000000,54300000,54.30,75.51%,32,169.69%,1.16%,,,http://www.amazon.com/gp/product/B005UKJX4E/?tag=titb-20,1,,,,"May 27, 2011",
Unknown,2011,adaptation,55,56,56,57,64,-7,61,-5,,"action, mystery, thriller",21860000,21.86,63690000,63.69,67.1,67100000,130790000,130.79,51.30%,30,435.97%,72.87%,,,http://www.amazon.com/gp/product/B004ZGI1V0/?tag=titb-20,1,,,,"Feb 18, 2011",
Winnie The Pooh,2011,adaptation,91,74,83,79,78,1,79,4,,"animation, adventure, comedy",7860000,7.86,26690000,26.69,6.46,6460000,33150000,33.15,19.49%,30,110.50%,26.20%,,,http://www.amazon.com/gp/product/B005ZB8ZHY/?tag=titb-20,1,,,,"Jul 15, 2011",
Anonymous,2011,original screenplay,46,50,48,66,62,4,64,-16,,"history, thriller",1020000,1.02,4460000,4.46,10.93,10930000,15390000,15.39,71.02%,30,51.30%,3.40%,,,http://www.amazon.com/gp/product/B0076D21O2/?tag=titb-20,1,,,,"Oct 28, 2011",
