Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US)
It's Complicated ,2009,original screenplay,56,57,57,63,53,10,58,-2,,"comedy, romance",22100000,22.10,112730000,112.73,106.37,106370000,219100000,219.1,48.55%,85,257.76%,26.00%,,,http://www.amazon.com/gp/product/B003E7PZCO/?tag=titb-20,1,,,,"Dec 25, 2009"
Fast and Furious ,2009,sequel,28,45,37,76,67,9,72,-35,,"action, crime",70900000,70.90,155100000,155.10,208,208000000,363100000,363.1,57.28%,85,427.18%,83.41%,,,http://www.amazon.com/gp/product/B002LANLDK/?tag=titb-20,1,,,,"Apr 3, 2009"
Nine ,2009,adaptation,37,49,43,40,41,-1,41,3,,"musical, romance",5450000,5.45,19670000,19.67,34.32,34320000,53990000,53.99,63.57%,80,67.49%,6.81%,,,http://www.amazon.com/gp/product/B003ESVNI8/?tag=titb-20,1,,,,"Dec 25, 2009"
Surrogates ,2009,adaptation,39,45,42,42,57,-15,50,-8,,"action, sci-fi, thriller",14900000,14.90,38570000,38.57,83.86,83860000,122430000,122.43,68.50%,80,153.04%,18.63%,,,http://www.amazon.com/gp/product/B005EJNAK4/?tag=titb-20,1,,,,"Sep 25, 2009"
Funny People ,2009,original screenplay,68,60,64,58,64,-6,61,3,,comedy,22700000,22.70,51850000,51.85,19.73,19730000,71580000,71.58,27.56%,75,95.44%,30.27%,,,http://www.amazon.com/gp/product/B002U5SDNY/?tag=titb-20,1,,,,"Jul 31, 2009"
Alvin and the Chipmunks: The Squeakquel ,2009,sequel,21,41,31,59,45,14,52,-21,,"animation, comedy, family",48800000,48.80,219500000,219.50,223,223000000,440700000,440.7,50.60%,75,587.60%,65.07%,,,http://www.amazon.com/gp/product/B009EEOP04/?tag=titb-20,1,,,,"Dec 23, 2009"
Confessions of a Shopaholic ,2009,adaptation,24,38,31,53,47,6,50,-19,,"comedy, romance",15000000,15.00,44270000,44.27,64.05,64050000,108300000,108.3,59.14%,70,154.71%,21.43%,,,http://www.amazon.com/gp/product/B004MWSUXG/?tag=titb-20,1,,,,"Feb 13, 2009"
Inglourious Basterds ,2009,original screenplay,88,69,79,87,78,9,83,-4,,"adventure, war",38000000,38.00,120500000,120.50,200.91,200910000,321410000,321.41,62.51%,70,459.16%,54.29%,,,http://www.amazon.com/gp/product/B002YCVWXQ/?tag=titb-20,1,,,,"Aug 21, 2009"
Planet 51 ,2009,original screenplay,22,39,31,45,51,-6,48,-18,,"animation, adventure, comedy",12300000,12.30,42190000,42.19,63.45,63450000,105640000,105.64,60.06%,70,150.91%,17.57%,,,http://www.amazon.com/gp/product/B008Y6VCI6/?tag=titb-20,1,,,,"Nov 20, 2009"
Astro Boy ,2009,adaptation,49,53,51,53,62,-9,58,-7,,"animation, action, family",6700000,6.70,19550000,19.55,20.34,20340000,39890000,39.89,50.99%,65,61.37%,10.31%,,,http://www.amazon.com/gp/product/B0035GX0BM/?tag=titb-20,1,,,,"Oct 23, 2009"
The Lovely Bones ,2009,adaptation,32,42,37,57,62,-5,60,-23,,fantasy ,17000000,17.00,44000000,44.00,49.51,49510000,93510000,93.51,52.95%,65,143.86%,26.15%,,,http://www.amazon.com/gp/product/B003IBEH02/?tag=titb-20,1,,,,"Jan 15, 2010"
Coraline ,2009,adaptation,89,80,85,77,80,-3,79,6,,"animation, fantasy, thriller",16800000,16.80,75280000,75.28,49.3,49300000,124580000,124.58,39.57%,60,207.63%,28.00%,,,http://www.amazon.com/gp/product/B002BWCJOA/?tag=titb-20,1,,,,"Feb 6, 2009"
Inkheart ,2009,adaptation,39,50,45,51,59,-8,55,-11,,"adventure, family, fantasy",7600000,7.60,17300000,17.30,45.14,45140000,62440000,62.44,72.29%,60,104.07%,12.67%,,,http://www.amazon.com/gp/product/B002BCTM4A/?tag=titb-20,1,,,,"Jan 23, 2009"
Invictus,2009,adaptation,75,74,75,74,72,2,73,2,,"biography, history",8600000,8.60,37490000,37.49,84.74,84740000,122230000,122.23,69.33%,60,203.72%,14.33%,,,http://www.amazon.com/gp/product/B003MUOUI8/?tag=titb-20,1,,,,"Dec 11, 2009"
State of Play ,2009,adaptation,84,64,74,71,73,-2,72,2,,mystery,14100000,14.10,37020000,37.02,50.79,50790000,88300000,88.3,57.52%,60,147.17%,23.50%,,,http://www.amazon.com/gp/product/B002NJEJ3A/?tag=titb-20,1,,,,"April 17, 2009"
The Soloist ,2009,based on a true story,56,61,59,59,69,-10,64,-6,,"biography, music",9700000,9.70,31700000,31.70,6.61,6610000,38310000,38.31,17.25%,60,63.85%,16.17%,,,http://www.amazon.com/gp/product/B002JQIRTO/?tag=titb-20,1,,,,"Apr 24, 2009"
Couples Retreat ,2009,original screenplay,12,23,18,47,45,2,46,-29,,comedy,34300000,34.30,109200000,109.20,62.63,62630000,171830000,171.83,36.45%,60,286.38%,57.17%,,,http://www.amazon.com/gp/product/B003361WQ4/?tag=titb-20,1,,,,"Oct 9, 2009"
Duplicity ,2009,original screenplay,64,69,67,38,50,-12,44,23,,"crime, romance, thriller",14000000,14.00,40570000,40.57,37.57,37570000,78140000,78.14,48.08%,60,130.23%,23.33%,,,http://www.amazon.com/gp/product/B002LANLJY/?tag=titb-20,1,,,,"Mar 20, 2009"
Year One ,2009,original screenplay,14,34,24,31,47,-16,39,-15,,"adventure, comedy ",19600000,19.60,43330000,43.33,19.02,19020000,62350000,62.35,30.51%,60,103.92%,32.67%,,,http://www.amazon.com/gp/product/B002N62FZC/?tag=titb-20,1,,,,"Jun 19, 2009"
The Pink Panther 2 ,2009,sequel,12,36,24,47,51,-4,49,-25,,"adventure, comedy, crime",11600000,11.60,35920000,35.92,40.02,40020000,75940000,75.94,52.70%,59,128.71%,19.66%,,,http://www.amazon.com/gp/product/B002IR9ZQS/?tag=titb-20,1,,,,"Feb 6, 2009"
Did You Hear About the Morgans? ,2009,original screenplay,12,27,20,31,51,-20,41,-22,,"comedy, romance",6600000,6.60,29580000,29.58,55.7,55700000,85280000,85.28,65.31%,58,147.03%,11.38%,,,http://www.amazon.com/gp/product/B003881ISE/?tag=titb-20,1,,,,"Dec 18, 2009"
Imagine That ,2009,original screenplay,38,54,46,44,57,-13,51,-5,,"comedy, family",5500000,5.50,16120000,16.12,6.86,6860000,22990000,22.99,29.84%,55,41.80%,10.00%,,,http://www.amazon.com/gp/product/B002PHW9IC/?tag=titb-20,1,,,,"Jun 12, 2009"
Law Abiding Citizen ,2009,original screenplay,25,34,30,77,66,11,72,-42,,"crime, thriller",21000000,21.00,73400000,73.40,53.08,53080000,126480000,126.48,41.97%,53,238.64%,39.62%,,,http://www.amazon.com/gp/product/B003CP72QK/?tag=titb-20,1,,,,"Oct 16, 2009"
Ghosts of Girlfriends Past ,2009,adaptation,27,34,31,47,49,-2,48,-18,,"comedy, fantasy, romance",15400000,15.40,55250000,55.25,46.97,46970000,102220000,102.22,45.95%,50,204.44%,30.80%,,,http://www.amazon.com/gp/product/B002LAZEJE/?tag=titb-20,1,,,,"May 1, 2009"
Race to Witch Mountain ,2009,adaptation,42,52,47,50,68,-18,59,-12,,"action, adventure, family",24400000,24.40,67170000,67.17,39.21,39210000,106380000,106.38,36.86%,50,212.76%,48.80%,,,http://www.amazon.com/gp/product/B004QBE6S6/?tag=titb-20,1,,,,"Mar 13, 2009"
Street Fighter: The Legend of Chun-Li ,2009,adaptation,16,17,17,28,32,-4,30,-14,,"action, crime, sci-fi",4700000,4.70,8740000,8.74,4.02,4020000,12340000,12.34,32.58%,50,24.68%,9.40%,,,http://www.amazon.com/gp/product/B009EEDZ46/?tag=titb-20,1,,,,"Feb 27, 2009"
Knowing ,2009,original screenplay,33,41,37,50,61,-11,56,-19,,"mystery, sci-fi",24600000,24.60,79950000,79.95,103.63,103630000,183580000,183.58,56.45%,50,367.16%,49.20%,,,http://www.amazon.com/gp/product/B002GGKBT6/?tag=titb-20,1,,,,"Mar 20, 2009"
Ninja Assassin ,2009,original screenplay,25,34,30,57,66,-9,62,-32,,"action, crime, thriller",13300000,13.30,38120000,38.12,23.47,23470000,61590000,61.59,38.11%,50,123.18%,26.60%,,,http://www.amazon.com/gp/product/B0036JU6CY/?tag=titb-20,1,,,,"Nov 25, 2009"
"Pirate Radio (The Boat that Rocked, UK)",2009,original screenplay,60,58,59,72,63,9,68,-9,,"comedy, music ",2900000,2.90,8010000,8.01,28.33,28330000,36340000,36.34,77.96%,50,72.68%,5.80%,,,http://www.amazon.com/gp/product/B0037VKDQ0/?tag=titb-20,1,,,,"Apr 3, 2009"
The International ,2009,original screenplay,58,52,55,39,64,-25,52,4,,"action, crime, mystery",9300000,9.30,25400000,25.40,34.7,34700000,60100000,60.1,57.74%,50,120.20%,18.60%,,,http://www.amazon.com/gp/product/B0024R6VIW/?tag=titb-20,1,,,,"Feb 13, 2009"
The Twilight Saga: New Moon ,2009,sequel,27,44,36,78,37,41,58,-22,,"adventure, drama, fantasy",142800000,142.80,296620000,296.62,413.2,413200000,709820000,709.82,58.21%,50,1419.64%,285.60%,,,http://www.amazon.com/gp/product/B0035KMSQQ/?tag=titb-20,1,,,,"Nov 20, 2009"
Aliens in the Attic ,2009,original screenplay,30,42,36,46,52,-6,49,-13,,"adventure, comedy, family",8000000,8.00,25200000,25.20,32.68,32680000,57880000,57.88,56.46%,45,128.62%,17.78%,,,http://www.amazon.com/gp/product/B002VDCTZ8/?tag=titb-20,1,,,,"Jul 31, 2009"
Brüno ,2009,original screenplay,68,54,61,48,59,-11,54,8,,comedy,30600000,30.60,60100000,60.10,78.75,78750000,130800000,130.8,60.21%,42,311.43%,72.86%,,,http://www.amazon.com/gp/product/B002TL08FU/?tag=titb-20,1,,,,"July 10, 2009"
Cirque du Freak: The Vampire's Assistant ,2009,adaptation,38,43,41,50,58,-8,54,-14,,"action, adventure, fantasy",6300000,6.30,13870000,13.87,25.36,25360000,39230000,39.23,64.64%,40,98.08%,15.75%,,,http://www.amazon.com/gp/product/B0035FRYR4/?tag=titb-20,1,,,,"Oct 23, 2009"
Fantastic Mr. Fox ,2009,adaptation,93,83,88,80,82,-2,81,7,,"animation, adventure, comedy",7000000,7.00,21000000,21.00,25.46,25460000,46460000,46.46,54.80%,40,116.15%,17.50%,,,http://www.amazon.com/gp/product/B009EEQAT8/?tag=titb-20,1,,,,"Nov 25, 2009"
Julie & Julia ,2009,adaptation,74,66,70,69,73,-4,71,-1,,"biography, romance",20000000,20.00,94120000,94.12,32.45,32450000,126570000,126.57,25.64%,40,316.43%,50.00%,,,http://www.amazon.com/gp/product/B002VXKYCS/?tag=titb-20,1,,,,"Aug 7, 2009"
Pandorum ,2009,adaptation,28,28,28,49,78,-29,64,-36,,"action, horror, mystery",4400000,4.40,10300000,10.30,10.31,10310000,17000000,17,60.65%,40,42.50%,11.00%,,,http://www.amazon.com/gp/product/B0038P80CO/?tag=titb-20,1,,,,"Sep 25, 2009"
Amelia ,2009,based on a true story,21,37,29,35,58,-23,47,-18,,"adventure, biography",3900000,3.90,14250000,14.25,5.4,5400000,19200000,19.2,28.13%,40,48.00%,9.75%,,,http://www.amazon.com/gp/product/B0036SLOP8/?tag=titb-20,1,,,,"Oct 23, 2009"
"I Love You, Man ",2009,original screenplay,83,70,77,72,74,-2,73,4,,comedy,17800000,17.80,71400000,71.40,20.2,20200000,91400000,91.4,22.10%,40,228.50%,44.50%,,,http://www.amazon.com/gp/product/B002ICE0O0/?tag=titb-20,1,,,,"Mar 20, 2009"
The Proposal ,2009,original screenplay,43,48,46,74,67,7,71,-25,,"comedy, romance",33600000,33.60,163960000,163.96,153.42,153420000,314700000,314.7,48.75%,40,786.75%,84.00%,,,http://www.amazon.com/gp/product/B0060D15AK/?tag=titb-20,1,,,,"Jun 19, 2009"
The Final Destination ,2009,sequel,29,30,30,52,48,4,50,-21,,"horror, thriller",27400000,27.40,66500000,66.50,119.69,119690000,186190000,186.19,64.28%,40,465.48%,68.50%,,,http://www.amazon.com/gp/product/B002YDTPHA/?tag=titb-20,1,,,,"Aug 28, 2009"
The Time Traveler's Wife ,2009,adaptation,38,47,43,65,68,-3,67,-24,,"fantasy, romance",18600000,18.60,63410000,63.41,37.92,37920000,101330000,101.33,37.42%,39,259.82%,47.69%,,,http://www.amazon.com/gp/product/B0030RZEKG/?tag=titb-20,1,,,,"Aug 14, 2009"
Push ,2009,original screenplay,22,36,29,47,70,-23,59,-30,,"action, sci-fi, thriller",10100000,10.10,31810000,31.81,17.04,17040000,48850000,48.85,34.88%,38,128.55%,26.58%,,,http://www.amazon.com/gp/product/B002GH6VYE/?tag=titb-20,1,,,,"Feb 6, 2009"
The Ugly Truth ,2009,original screenplay,14,28,21,68,50,18,59,-38,,"comedy, romance",27600000,27.60,88900000,88.90,116.38,116380000,205280000,205.28,56.69%,38,540.21%,72.63%,,,http://www.amazon.com/gp/product/B002W9BO8O/?tag=titb-20,1,,,,"Jul 24, 2009"
Hannah Montana: The Movie ,2009,adaptation,44,47,46,66,49,17,58,-12,,"comedy, family",32300000,32.30,79580000,79.58,75.97,75970000,155550000,155.55,48.84%,35,444.43%,92.29%,,,http://www.amazon.com/gp/product/B003W9LKBO/?tag=titb-20,1,,,,"Apr 10, 2009"
Hotel for Dogs ,2009,adaptation,46,51,49,57,47,10,52,-4,,"comedy, family",17000000,17.00,73000000,73.00,43.97,43970000,118200000,118.2,37.20%,35,337.71%,48.57%,,,http://www.amazon.com/gp/product/B0026OFZXU/?tag=titb-20,1,,,,"Jan 16, 2009"
Whiteout ,2009,adaptation,7,28,18,28,59,-31,44,-26,,"action, crime, mystery",4900000,4.90,10280000,10.28,7.57,7570000,12200000,12.2,62.05%,35,34.86%,14.00%,,,http://www.amazon.com/gp/product/B00352TZCE/?tag=titb-20,1,,,,"Sep 11, 2009"
Old Dogs ,2009,original screenplay,5,19,12,49,45,4,47,-35,,"comedy, family",16900000,16.90,49490000,49.49,47.26,47260000,96750000,96.75,48.85%,35,276.43%,48.29%,,,http://www.amazon.com/gp/product/B003V5CGHG/?tag=titb-20,1,,,,"Nov 25, 2009"
The Hangover ,2009,original screenplay,79,73,76,87,74,13,81,-5,,comedy,45000000,45.00,277300000,277.30,190.16,190160000,467460000,467.46,40.68%,35,1335.60%,128.57%,,,http://www.amazon.com/gp/product/B002RVCCUQ/?tag=titb-20,1,,,,"Jun 5, 2009"
Underworld: Rise of the Lycans ,2009,sequel,30,44,37,68,72,-4,70,-33,,"action, adventure, fantasy",20800000,20.80,45800000,45.80,45.55,45550000,91350000,91.35,49.86%,35,261.00%,59.43%,,,http://www.amazon.com/gp/product/B002EVDEXI/?tag=titb-20,1,,,,"Jan 23, 2009"
9,2009,adaptation,57,60,59,58,67,-9,63,-4,,"animation, action, adventure",10700000,10.70,31740000,31.74,16.67,16670000,48410000,48.41,34.44%,30,161.37%,35.67%,,,http://www.amazon.com/gp/product/B00JNK2T7A/?tag=titb-20,1,,,,"Sep 9, 2009"
District 9 ,2009,adaptation,91,81,86,81,80,1,81,6,,"action, sci-fi, thriller",37400000,37.40,115600000,115.60,95.17,95170000,210770000,210.77,45.15%,30,702.57%,124.67%,,,http://www.amazon.com/gp/product/B0030GJ50C/?tag=titb-20,1,,,,"Aug 14, 2009"
Dragonball Evolution ,2009,adaptation,15,45,30,28,33,-5,31,-1,,"action, adventure, fantasy",4800000,4.80,9360000,9.36,48.13,48130000,58230000,58.23,82.65%,30,194.10%,16.00%,,,http://www.amazon.com/gp/product/B002C4P7J6/?tag=titb-20,1,,,,"Apr 10, 2009"
The Box ,2009,adaptation,46,47,47,27,45,-18,36,11,,"mystery, sci-fi",7600000,7.60,15100000,15.10,18.28,18280000,33380000,33.38,54.76%,30,111.27%,25.33%,,,http://www.amazon.com/gp/product/B0032SQCQI/?tag=titb-20,1,,,,"Nov 6, 2009"
The Haunting in Connecticut ,2009,based on a true story,17,33,25,51,59,-8,55,-30,,"horror, thriller",23000000,23.00,55390000,55.39,22.13,22130000,77520000,77.52,28.55%,30,258.40%,76.67%,,,http://www.amazon.com/gp/product/B002B7TQGO/?tag=titb-20,1,,,,"Mar 27, 2009"
Bride Wars ,2009,original screenplay,11,24,18,56,37,19,47,-29,,"comedy, romance",21100000,21.10,58750000,58.75,55.95,55950000,115150000,115.15,48.59%,30,383.83%,70.33%,,,http://www.amazon.com/gp/product/B0027W8T7K/?tag=titb-20,1,,,,"Jan 9, 2009"
Drag Me to Hell ,2009,original screenplay,92,83,88,61,60,1,61,27,,"horror, thriller",15800000,15.80,42100000,42.10,48.7,48700000,90800000,90.8,53.63%,30,302.67%,52.67%,,,http://www.amazon.com/gp/product/B002MUS7LK/?tag=titb-20,1,,,,"May 29, 2009"
Orphan ,2009,original screenplay,55,42,49,65,75,-10,70,-22,,"mystery, thriller",12800000,12.80,41590000,41.59,35.1,35100000,76690000,76.69,45.77%,30,255.63%,42.67%,,,http://www.amazon.com/gp/product/B002N14GPE/?tag=titb-20,1,,,,"Jul 24, 2009"
Taking Woodstock ,2009,adaptation,48,55,52,48,67,-19,58,-6,,"comedy, music",3500000,3.50,7460000,7.46,2.52,2520000,9980000,9.98,25.25%,29,34.41%,12.07%,,,http://www.amazon.com/gp/product/B002YDRA0Y/?tag=titb-20,1,,,,"Aug 28, 2009"
My Sister's Keeper ,2009,adaptation,47,51,49,73,65,8,69,-20,,drama ,12400000,12.40,49200000,49.20,46.51,46510000,95710000,95.71,48.59%,27.5,348.04%,45.09%,,,http://www.amazon.com/gp/product/B002XCTO5A/?tag=titb-20,1,,,,"Jun 26, 2009"
Paul Blart: Mall Cop ,2009,original screenplay,33,39,36,50,51,-1,51,-15,,"action, comedy, crime",31800000,31.80,146330000,146.33,36.95,36950000,183280000,183.28,20.16%,26,704.92%,122.31%,,,http://www.amazon.com/gp/product/B002G205AA/?tag=titb-20,1,,,,"Jan 16, 2009"
Brothers ,2009,remake / reboot,61,58,60,62,73,-11,68,-8,,"thriller, war",9500000,9.50,28500000,28.50,14.77,14770000,43270000,43.27,34.13%,26,166.42%,36.54%,,,http://www.amazon.com/gp/product/B0039NJTLQ/?tag=titb-20,1,,,,"Dec 4, 2009"
He's Just Not That Into You ,2009,adaptation,42,47,45,60,61,-1,61,-16,,"comedy, romance",27800000,27.80,93950000,93.95,84.89,84890000,178840000,178.84,47.47%,25,715.36%,111.20%,,,http://www.amazon.com/gp/product/B002BBJ52U/?tag=titb-20,1,,,,"Feb 6, 2009"
The Men Who Stare at Goats ,2009,adaptation,52,54,53,43,62,-19,53,1,,"comedy, war",12700000,12.70,32400000,32.40,36.54,36540000,68940000,68.94,53.00%,25,275.76%,50.80%,,,http://www.amazon.com/gp/product/B0036SUQWA/?tag=titb-20,1,,,,"Nov 6, 2009"
The Road ,2009,adaptation,75,64,70,65,75,-10,70,-1,,adventure,1500000,1.50,8120000,8.12,19.51,19510000,27630000,27.63,70.61%,25,110.52%,6.00%,,,http://www.amazon.com/gp/product/B003IWRE3I/?tag=titb-20,1,,,,"Nov 25, 2009"
Up in the Air ,2009,adaptation,90,83,87,76,74,2,75,12,,romance,11200000,11.20,83820000,83.82,116.38,116380000,200200000,200.2,58.13%,25,800.80%,44.80%,,,http://www.amazon.com/gp/product/B003E88TKS/?tag=titb-20,1,,,,"Dec 25, 2009"
