Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genre,Opening Weekend,Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US)
Shrek Forever After,2010,sequel,57,58,58,64,64,0,64,-7,,"animation, adventure, comedy",70800000,70.80,238740000,238.74,513.86,513860000,"752,600,000",752.60,68.28%,165,456.12%,42.91%,,,http://www.amazon.com/gp/product/B004FI5F4O/?tag=titb-20,1,,,,"May 21, 2010"
Inception,2010,original screenplay,86,74,80,93,86,7,90,-10,,"action, adventure, mystery",62800000,62.80,292580000,292.58,532.96,532960000,"825,540,000",825.54,64.56%,160,515.96%,39.25%,,,http://www.amazon.com/gp/product/B0047WJ12K/?tag=titb-20,1,,,,"Jul 16, 2010"
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,sequel ,49,53,51,63,60,3,62,-11,,"adventure, family, fantasy",24000000,24.00,104390000,104.39,311.3,311300000,"415,690,000",415.69,74.89%,155,268.19%,15.48%,,,http://www.amazon.com/gp/product/B004XKXOF6/?tag=titb-20,1,,,,"Dec 10, 2010"
The Last Airbender,2010,adaptation,6,20,13,42,27,15,35,-22,,"action, adventure, fantasy",40300000,40.30,131770000,131.77,187.94,187940000,"319,710,000",319.71,58.78%,150,213.14%,26.87%,,,http://www.amazon.com/gp/product/B004FHP7ES/?tag=titb-20,1,,,,"Jun 30, 2010"
The Sorcerer's Apprentice,2010,adaptation,42,46,44,57,62,-5,60,-16,,"action, adventure, comedy",17600000,17.60,63150000,63.15,152.13,152130000,"215,280,000",215.28,70.67%,150,143.52%,11.73%,,,http://www.amazon.com/gp/product/B004EKCN16/?tag=titb-20,1,,,,"Jul 14, 2010"
The Wolfman,2010,remake / reboot,33,43,38,38,51,-13,45,-7,,"horror, thriller",31500000,31.50,61980000,61.98,77.81,77810000,"139,790,000",139.79,55.66%,150,93.19%,21.00%,,,http://www.amazon.com/gp/product/B003OUMKQA/?tag=titb-20,1,,,,"February 12, 2010"
Megamind,2010,original screenplay,72,63,68,73,73,0,73,-6,,"animation, action, comedy",46020000,46.02,148420000,148.42,173.47,173470000,"321,890,000",321.89,53.89%,130,247.61%,35.40%,,,http://www.amazon.com/gp/product/B004PGAQMW/?tag=titb-20,1,,,,"Nov 5, 2010"
Clash of the Titans,2010,remake / reboot,28,39,34,48,48,0,48,-15,,"action, adventure, fantasy",61200000,61.20,163210000,163.21,330,330000000,"493,210,000",493.21,66.91%,125,394.57%,48.96%,,,http://www.amazon.com/gp/product/B003RV43X4/?tag=titb-20,1,,,,"Apr 2, 2010"
Harry Potter and the Deathly Hallows Part 1,2010,sequel,79,65,72,87,75,12,81,-9,,"adventure, family, fantasy",125000000,125.00,295000000,295.00,664.3,664300000,"959,300,000",959.30,69.25%,125,767.44%,100.00%,,,http://www.amazon.com/gp/product/B004MPEFBE/?tag=titb-20,1,,,,"Nov 19, 2010"
Knight and Day,2010,original screenplay,53,46,50,52,64,-12,58,-9,,"action, comedy, romance",20200000,20.20,76420000,76.42,185.51,185510000,"261,930,000",261.93,70.82%,117,223.87%,17.26%,,,http://www.amazon.com/gp/product/B004EDKGSA/?tag=titb-20,1,,,,"Jun 23, 2010"
Gulliver's Travels,2010,adaptation,21,33,27,31,44,-13,38,-11,,"adventure, comedy, family",6300000,6.30,42780000,42.78,194.6,194600000,"237,380,000",237.38,81.98%,112,211.95%,5.63%,,,http://www.amazon.com/gp/product/B004X4R0VQ/?tag=titb-20,1,,,,"Dec 25, 2010"
Salt,2010,original screenplay,62,65,64,62,65,-3,64,0,,"action, crime, mystery",36000000,36.00,118310000,118.31,175.19,175190000,"293,500,000",293.50,59.69%,110,266.82%,32.73%,,,http://www.amazon.com/gp/product/B004BEMC6G/?tag=titb-20,1,,,,"Jul 23, 2010"
Green Zone,2010,adaptation,53,63,58,60,66,-6,63,-5,,"action, thriller",14300000,14.30,35050000,35.05,59.83,59830000,"94,880,000",94.88,63.06%,100,94.88%,14.30%,,,http://www.amazon.com/gp/product/B003K07DUC/?tag=titb-20,1,,,,"Mar 12, 2010"
The A-Team,2010,adaptation,47,47,47,71,72,-1,72,-25,,"action, adventure, thriller",25700000,25.70,77220000,77.22,100.02,100020000,"177,240,000",177.24,56.43%,100,177.24%,25.70%,,,http://www.amazon.com/gp/product/B004G8ZZHU/,1,,,,"Jun 11, 2010"
The Other Guys,2010,original screenplay,78,64,71,57,67,-10,62,9,,"action, comedy, crime",35500000,35.50,119220000,119.22,51.21,51210000,"170,430,000",170.43,30.05%,100,170.43%,35.50%,,,http://www.amazon.com/gp/product/B004DNT78Q/?tag=titb-20,1,,,,"Aug 6, 2010"
The Tourist,2010,original screenplay,20,37,29,44,51,-7,48,-19,,"action, romance, thriller",16000000,16.00,67630000,67.63,210.72,210720000,"278,350,000",278.35,75.70%,100,278.35%,16.00%,,,http://www.amazon.com/gp/product/B004QYZATW/?tag=titb-20,1,,,,"Dec 10, 2010"
Little Fockers,2010,sequel,9,27,18,40,42,-2,41,-23,,comedy,30830000,30.83,148440000,148.44,162.21,162210000,"310,650,000",310.65,52.22%,100,310.65%,30.83%,,,http://www.amazon.com/gp/product/B004QUGDTM/?tag=titb-20,1,,,,"Dec 22, 2010"
Sex and the City 2,2010,sequel,15,27,21,49,41,8,45,-24,,"comedy, romance",31000000,31.00,95350000,95.35,193,193000000,"288,350,000",288.35,66.93%,100,288.35%,31.00%,,,http://www.amazon.com/gp/product/B003ZJ23XU/?tag=titb-20,1,,,,"May 27, 2010"
Percy Jackson & the Olympians: The Lightning Thief,2010,adaptation,50,47,49,57,52,5,55,-6,,"adventure, family, fantasy",31200000,31.20,88770000,88.77,137.73,137730000,"226,500,000",226.50,60.81%,95,238.42%,32.84%,,,http://www.amazon.com/gp/product/B003U6BE8I/?tag=titb-20,1,,,,"Feb 12, 2010"
Unstoppable,2010,based on a true story,86,69,78,73,68,5,71,7,,"action, thriller",22690000,22.69,81560000,81.56,86.24,86240000,"167,800,000",167.80,51.39%,95,176.63%,23.88%,,,http://www.amazon.com/gp/product/B004NS710C/?tag=titb-20,1,,,,"Nov 12, 2010"
Cats & Dogs: The Revenge of Kitty Galore,2010,sequel,13,30,22,43,52,-9,48,-26,,"action, comedy, family",12300000,12.30,43590000,43.59,68.9,68900000,"112,490,000",112.49,61.25%,85,132.34%,14.47%,,,http://www.amazon.com/gp/product/B00493IOHA/?tag=titb-20,1,,,,"Jul 30, 2010"
The Expendables,2010,original screenplay,40,45,43,58,63,-5,61,-18,,"action, adventure, thriller",34800000,34.80,103070000,103.07,171.4,171400000,"274,470,000",274.47,62.45%,82,334.72%,42.44%,,,http://www.amazon.com/gp/product/B004AQR29C/?tag=titb-20,1,,,,"Aug 13, 2010"
Edge of Darkness,2010,adaptation,55,55,55,56,67,-11,62,-7,,"crime, mystery",17200000,17.20,43310000,43.31,37.81,37810000,"81,120,000",81.12,46.61%,80,101.40%,21.50%,,,http://www.amazon.com/gp/product/B003GB2V3O/?tag=titb-20,1,,,,"Jan 29, 2010"
Legend of the Guardians: The Owls of Ga'Hoole,2010,adaptation,51,53,52,65,69,-4,67,-15,,"animation, adventure, fantasy",16100000,16.10,55680000,55.68,84.4,84400000,"140,080,000",140.08,60.25%,80,175.10%,20.13%,,,http://www.amazon.com/gp/product/B004CURZFC/?tag=titb-20,1,,,,"Sep 24, 2010"
Shutter Island,2010,adaptation,68,63,66,73,77,-4,75,-10,,"mystery, thriller",41000000,41.00,128010000,128.01,166.79,166790000,"294,800,000",294.80,56.58%,80,368.50%,51.25%,,,http://www.amazon.com/gp/product/B003NTSBUG/?tag=titb-20,1,,,,"Feb 19, 2010"
Yogi Bear,2010,adaptation,14,35,25,36,43,-7,40,-15,,"animation, adventure, comedy",16400000,16.40,100250000,100.25,101.34,101340000,"201,590,000",201.59,50.27%,80,251.99%,20.50%,,,http://www.amazon.com/gp/product/B004QZ189W/?tag=titb-20,1,,,,"Dec 17, 2010"
Grown Ups	,2010,original screenplay,10,30,20,59,50,9,55,-35,,comedy,40500000,40.50,162000000,162.00,109.43,109430000,"271,430,000",271.43,40.32%,80,339.29%,50.63%,,,http://www.amazon.com/gp/product/B00493F28Y/?tag=titb-20,1,,,,"Jun 25, 2010"
The Book of Eli        ,2010,original screenplay,48,53,51,68,73,-5,71,-20,,"action, adventure, thriller",32700000,32.70,94840000,94.84,62.27,62270000,"157,110,000",157.11,39.63%,80,196.39%,40.88%,,,http://www.amazon.com/gp/product/B003KRLKHC/?tag=titb-20,1,,,,"Jan 15, 2010"
Killers,2010,original screenplay,11,21,16,45,38,7,42,-26,,"action, comedy, romance",15800000,15.80,47060000,47.06,51.1,51100000,"98,160,000",98.16,52.06%,75,130.88%,21.07%,,,http://www.amazon.com/gp/product/B004263YKQ/?tag=titb-20,1,,,,"Jun 4, 2010"
Wall Street: Money Never Sleeps,2010,sequel,54,59,57,43,58,-15,51,6,,drama,19000000,19.00,52470000,52.47,82.27,82270000,"134,740,000",134.74,61.06%,70,192.49%,27.14%,,,http://www.amazon.com/gp/product/B004GWZPOE/?tag=titb-20,1,,,,"September 24, 2010"
Dinner for Schmucks,2010,adaptation,43,56,50,47,59,-12,53,-4,,comedy,23500000,23.50,73030000,73.03,13.83,13830000,"86,860,000",86.86,15.92%,69,125.88%,34.06%,,,http://www.amazon.com/gp/product/B004GWL3FE/?tag=titb-20,1,,,,"Jul 30, 2010"
Despicable Me,2010,original screenplay,81,72,77,81,76,5,79,-2,,"animation, comedy, crime",56400000,56.40,251510000,251.51,291.6,291600000,"543,110,000",543.11,53.69%,69,787.12%,81.74%,,,http://www.amazon.com/gp/product/B0046B3QTG/?tag=titb-20,1,,,,"Jul 9, 2010"
The Twilight Saga: Eclipse	,2010,sequel,50,58,54,74,47,27,61,-7,,"adventure, fantasy, romance",64800000,64.80,300530000,300.53,397.96,397960000,"698,490,000",698.49,56.97%,68,1027.19%,95.29%,,,http://www.amazon.com/gp/product/B0045XKJBI/?tag=titb-20,1,,,,"Jun 30, 2010"
Eat Pray Love	,2010,adaptation,36,50,43,46,48,-2,47,-4,,romance,23100000,23.10,80570000,80.57,124.02,124020000,"204,590,000",204.59,60.62%,60,340.98%,38.50%,,,http://www.amazon.com/gp/product/B00493FLVC/?tag=titb-20,1,,,,"Aug 13, 2010"
Scott Pilgrim vs. the World,2010,adaptation,81,69,75,83,80,3,82,-7,,"action, comedy, fantasy",10600000,10.60,31520000,31.52,16.14,16140000,"47,660,000",47.66,33.86%,60,79.43%,17.67%,,,http://www.amazon.com/gp/product/B00448SE4S/?tag=titb-20,1,,,,"Aug 13, 2010"
Resident Evil: Afterlife,2010,sequel,24,37,31,53,54,-1,54,-23,,"action, adventure, horror",26700000,26.70,60130000,60.13,236.09,236090000,"296,220,000",296.22,79.70%,60,493.70%,44.50%,,,http://www.amazon.com/gp/product/B008Y6WO88/?tag=titb-20,1,,,,"Sep 10, 2010"
Red,2010,adaptation,71,60,66,72,70,2,71,-6,,"action, comedy, crime",21800000,21.80,90380000,90.38,108.63,108630000,"199,010,000",199.01,54.59%,58,343.12%,37.59%,,,http://www.amazon.com/gp/product/B004HWYTP4/?tag=titb-20,1,,,,"Oct 15, 2010"
Burlesque,2010,original screenplay,36,47,42,66,66,0,66,-25,,"musical, romance",11950000,11.95,39440000,39.44,50.08,50080000,"89,520,000",89.52,55.94%,55,162.76%,21.73%,,,http://www.amazon.com/gp/product/B004P12SSW/?tag=titb-20,1,,,,"Nov 24, 2010"
Date Night,2010,original screenplay,66,56,61,58,58,0,58,3,,"comedy, crime, romance",25200000,25.20,98710000,98.71,53.55,53550000,"152,260,000",152.26,35.17%,55,276.84%,45.82%,,,http://www.amazon.com/gp/product/B003TO0VLW/?tag=titb-20,1,,,,"Apr 9, 2010"
Life as We Know It,2010,original screenplay,28,39,34,62,55,7,59,-25,,"comedy, romance",14500000,14.50,53130000,53.13,43.03,43030000,"96,160,000",96.16,44.75%,52.274,183.95%,27.74%,,,http://www.amazon.com/gp/product/B004IYNP6U/?tag=titb-20,1,,,,"Oct 8, 2010"
From Paris with Love,2010,original screenplay,38,42,40,57,66,-9,62,-22,,"action, crime, thriller",8200000,8.20,24080000,24.08,28.75,28750000,"52,830,000",52.83,54.42%,52,101.60%,15.77%,,,http://www.amazon.com/gp/product/B003KN5DTC/?tag=titb-20,1,,,,"Feb 5, 2010"
Valentine's Day,2010,original screenplay,17,34,26,54,50,4,52,-27,,"comedy, romance",56200000,56.20,110490000,110.49,106,106000000,"216,490,000",216.49,48.96%,52,416.33%,108.08%,,,http://www.amazon.com/gp/product/B0091WZO1S/?tag=titb-20,1,,,,"Feb 12, 2010"
Marmaduke,2010,adaptation,9,30,20,46,49,-3,48,-28,,"comedy, family",11600000,11.60,33640000,33.64,50.12,50120000,"83,760,000",83.76,59.84%,50,167.52%,23.20%,,,http://www.amazon.com/gp/product/B0041FZR80/?tag=titb-20,1,,,,"Jun 4, 2010"
The Social Network,2010,based on a true story,96,95,96,89,82,7,86,10,,biography ,22400000,22.40,96960000,96.96,127.96,127960000,"224,920,000",224.92,56.89%,50,449.84%,44.80%,,,http://www.amazon.com/gp/product/B004HWR406/?tag=titb-20,1,,,,"Oct 1, 2010"
Due Date,2010,original screenplay,40,51,46,56,63,-7,60,-14,,comedy,32690000,32.69,100540000,100.54,111.24,111240000,"211,780,000",211.78,52.53%,50,423.56%,65.38%,,,http://www.amazon.com/gp/product/B004LFJWL8/?tag=titb-20,1,,,,"Nov 5, 2010"
Tooth Fairy,2010,original screenplay,16,36,26,46,50,-4,48,-22,,"comedy, family, fantasy",14000000,14.00,60020000,60.02,52.44,52440000,"112,460,000",112.46,46.63%,48,234.29%,29.17%,,,http://www.amazon.com/gp/product/B003LPR56I/?tag=titb-20,1,,,,"Jan 22, 2010"
Jonah Hex,2010,adaptation,13,33,23,24,46,-22,35,-12,,"action, fantasy ",5400000,5.40,10550000,10.55,0.36,360000,"10,910,000",10.91,3.30%,47,23.21%,11.49%,,,http://www.amazon.com/gp/product/B0041VT6HW/?tag=titb-20,1,,,,"Jun 18, 2010"
The Ghost Writer,2010,adaptation,83,77,80,68,73,-5,71,10,,"mystery, thriller",2000000,2.00,15540000,15.54,44.68,44680000,"60,220,000",60.22,74.19%,45,133.82%,4.44%,,,http://www.amazon.com/gp/product/B003SJ4VJ6/?tag=titb-20,1,,,,"February 19, 2010"
Charlie St. Cloud	,2010,adaptation,27,37,32,62,48,14,55,-23,,"fantasy, romance",12400000,12.40,31160000,31.16,17.03,17030000,"48,190,000",48.19,35.34%,44,109.52%,28.18%,,,http://www.amazon.com/gp/product/B0042UEU8M/?tag=titb-20,1,,,,"Jul 30, 2010"
The Spy Next Door,2010,original screenplay,13,27,20,46,47,-1,47,-27,,"action, comedy, family",9700000,9.70,24310000,24.31,20.93,20930000,"45,240,000",45.24,46.26%,43,105.21%,22.56%,,,http://www.amazon.com/gp/product/B003MUQT0A/?tag=titb-20,1,,,,"Jan 15, 2010"
Morning Glory,2010,original screenplay,54,57,56,54,66,-12,60,-5,,"comedy, romance",9200000,9.20,31010000,31.01,29.03,29030000,"60,040,000",60.04,48.35%,40,150.10%,23.00%,,,http://www.amazon.com/gp/product/B0094K1JPC/?tag=titb-20,1,,,,"Nov 10, 2010"
The Bounty Hunter,2010,original screenplay,7,22,15,41,37,4,39,-25,,"action, comedy, romance",20700000,20.70,67060000,67.06,69.27,69270000,"136,330,000",136.33,50.81%,40,340.83%,51.75%,,,http://www.amazon.com/gp/product/B003VMZSB0/?tag=titb-20,1,,,,"Mar 19, 2010"
The Karate Kid,2010,remake / reboot,66,61,64,75,68,7,72,-8,,"action, family, sport",55700000,55.70,176590000,176.59,182.53,182530000,"359,120,000",359.12,50.83%,40,897.80%,139.25%,,,http://www.amazon.com/gp/product/B0046U4KG0/?tag=titb-20,1,,,,"Jun 11, 2010"
Get Him to the Greek,2010,sequel,73,65,69,63,69,-6,66,3,,"comedy, music",17600000,17.60,60970000,60.97,30.29,30290000,"91,260,000",91.26,33.19%,40,228.15%,44.00%,,,http://www.amazon.com/gp/product/B0041VR5LQ/?tag=titb-20,1,,,,"Jun 4, 2010"
Predators,2010,sequel,64,51,58,52,63,-11,58,0,,"action, adventure, sci-fi",24800000,24.80,52000000,52.00,75.23,75230000,"127,230,000",127.23,59.13%,40,318.08%,62.00%,,,http://www.amazon.com/gp/product/B0047SF41G/?tag=titb-20,1,,,,"Jul 9, 2010"
True Grit,2010,adaptation,96,80,88,86,78,8,82,6,,"adventure, western",24000000,24.00,171240000,171.24,81.03,81030000,"252,270,000",252.27,32.12%,38,663.87%,63.16%,,,http://www.amazon.com/gp/product/B0054NRPMO/?tag=titb-20,1,,,,"Dec 22, 2010"
The Town,2010,adaptation,94,74,84,83,77,6,80,4,,"crime, thriller",23800000,23.80,92190000,92.19,61.84,61840000,"154,030,000",154.03,40.15%,37,416.30%,64.32%,,,http://www.amazon.com/gp/product/B004CEUEWE/?tag=titb-20,1,,,,"Sep 17, 2010"
Hot Tub Time Machine,2010,original screenplay,64,63,64,57,64,-7,61,3,,"adventure, comedy, sci-fi",14000000,14.00,50290000,50.29,14.28,14280000,"64,570,000",64.57,22.12%,36,179.36%,38.89%,,,http://www.amazon.com/gp/product/B003OEKOFK/?tag=titb-20,1,,,,"Mar 26, 2010"
Furry Vengeance	,2010,original screenplay,8,23,16,36,30,6,33,-18,,"comedy, family",6600000,6.60,17630000,17.63,18.61,18610000,"36,240,000",36.24,51.35%,35,103.54%,18.86%,,,http://www.amazon.com/gp/product/B003SJ6W4I/?tag=titb-20,1,,,,"Apr 30, 2010"
The Back-up Plan,2010,original screenplay,20,34,27,47,54,-7,51,-24,,"comedy, romance",12200000,12.20,37490000,37.49,39.99,39990000,"77,480,000",77.48,51.61%,35,221.37%,34.86%,,,http://www.amazon.com/gp/product/B003YY7BTW/?tag=titb-20,1,,,,"Apr 23, 2010"
A Nightmare on Elm Street,2010,remake / reboot,13,35,24,40,53,-13,47,-23,,"horror, mystery, thriller",32900000,32.90,63080000,63.08,52.59,52590000,"115,670,000",115.67,45.47%,35,330.49%,94.00%,,,http://www.amazon.com/gp/product/B0041VMSL8/?tag=titb-20,1,,,,"Apr 30, 2010"
Nanny McPhee Returns,2010,sequel,77,52,65,54,51,3,53,12,,"comedy, family, fantasy",8400000,8.40,29010000,29.01,64.23,64230000,"93,240,000",93.24,68.89%,35,266.40%,24.00%,,,http://www.amazon.com/gp/product/B0048KXRPS/?tag=titb-20,1,,,,"Aug 20, 2010"
Repo Men,2010,adaptation,22,32,27,43,56,-13,50,-23,,"action, crime, sci-fi",6100000,6.10,13790000,13.79,4.62,4620000,"18,410,000",18.41,25.10%,32,57.53%,19.06%,,,http://www.amazon.com/gp/product/B003XI6NQ6/?tag=titb-20,1,,,,"Mar 19, 2010"
Going the Distance,2010,original screenplay,53,51,52,56,55,1,56,-4,,"comedy, romance",6900000,6.90,17800000,17.80,24.25,24250000,"42,050,000",42.05,57.67%,32,131.41%,21.56%,,,http://www.amazon.com/gp/product/B004BBJ2MQ/?tag=titb-20,1,,,,"Sep 3, 2010"
Takers,2010,original screenplay,27,45,36,57,57,0,57,-21,,"action, crime, thriller",20500000,20.50,57740000,57.74,11.31,11310000,"69,050,000",69.05,16.38%,32,215.78%,64.06%,,,http://www.amazon.com/gp/product/B004GGNBYQ/?tag=titb-20,1,,,,"Aug 27, 2010"
Extraordinary Measures	,2010,based on a true story,27,45,36,55,67,-12,61,-25,,drama,6000000,6.00,12070000,12.07,3.07,3070000,"15,140,000",15.14,20.28%,31,48.84%,19.35%,,,http://www.amazon.com/gp/product/B003L7PKCW/?tag=titb-20,1,,,,"Jan 22, 2010"
Kick-Ass,2010,adaptation,76,66,71,83,83,0,83,-12,,"action, comedy",19800000,19.80,48070000,48.07,48.12,48120000,"96,190,000",96.19,50.03%,30,320.63%,66.00%,,,http://www.amazon.com/gp/product/B003TOMAPC/?tag=titb-20,1,,,,"Apr 16, 2010"
Letters to Juliet,2010,adaptation,40,50,45,62,60,2,61,-16,,"comedy, romance",13500000,13.50,53030000,53.03,26.15,26150000,"79,180,000",79.18,33.03%,30,263.93%,45.00%,,,http://www.amazon.com/gp/product/B003VS9V26/?tag=titb-20,1,,,,"May 14, 2010"
Love & Other Drugs,2010,adaptation,48,55,52,55,61,-6,58,-7,,"comedy, romance",9740000,9.74,32370000,32.37,70.44,70440000,"102,810,000",102.81,68.51%,30,342.70%,32.47%,,,http://www.amazon.com/gp/product/B00BN4QOW0/?tag=titb-20,1,,,,"Nov 24, 2010"
Cop Out,2010,original screenplay,19,31,25,45,51,-6,48,-23,,"action, comedy, crime",18210000,18.21,44880000,44.88,10.71,10710000,"55,590,000",55.59,19.27%,30,185.30%,60.70%,,,http://www.amazon.com/gp/product/B003R2JX06/?tag=titb-20,1,,,,"Feb 26, 2010"
The Next Three Days,2010,remake / reboot,51,52,52,66,69,-3,68,-16,,"crime, romance",6540000,6.54,21150000,21.15,46.3,46300000,"67,450,000",67.45,68.64%,30,224.83%,21.80%,,,http://www.amazon.com/gp/product/B004OZZ624/?tag=titb-20,1,,,,"Nov 19, 2010"
Step Up 3D,2010,sequel,46,45,46,67,61,6,64,-19,,"music, romance",15800000,15.80,42400000,42.40,116.89,116890000,"159,290,000",159.29,73.38%,30,530.97%,52.67%,,,http://www.amazon.com/gp/product/B004EK91LQ/?tag=titb-20,1,,,,"Aug 6, 2010"
Case 39,2010,original screenplay,23,25,24,42,57,-15,50,-26,,"horror, mystery, thriller",5400000,5.40,13260000,13.26,14.93,14930000,"28,190,000",28.19,52.96%,26,108.42%,20.77%,,,http://www.amazon.com/gp/product/B004I92OLW/?tag=titb-20,1,,,,"Oct 1, 2010"
Legion,2010,original screenplay,19,32,26,36,44,-8,40,-15,,"action, fantasy, horror",17500000,17.50,40170000,40.17,27.75,27750000,"67,920,000",67.92,40.86%,26,261.23%,67.31%,,,http://www.amazon.com/gp/product/B003EVJSBE/?tag=titb-20,1,,,,"Jan 22, 2010"
Dear John,2010,adaptation,29,43,36,66,59,7,63,-27,,"romance, war",30400000,30.40,80010000,80.01,34.96,34960000,"114,970,000",114.97,30.41%,25,459.88%,121.60%,,,http://www.amazon.com/gp/product/B003IWG4ZW/?tag=titb-20,1,,,,"Feb 5, 2010"
The Losers,2010,adaptation,47,44,46,55,65,-10,60,-15,,"action, crime",9400000,9.40,23590000,23.59,5.79,5790000,"29,380,000",29.38,19.71%,25,117.52%,37.60%,,,http://www.amazon.com/gp/product/B003RUZKC8/?tag=titb-20,1,,,,"Apr 23, 2010"
The Fighter,2010,based on a true story,91,79,85,88,81,7,85,1,,"biography, sport",12000000,12.00,93620000,93.62,35.54,35540000,"129,160,000",129.16,27.52%,25,516.64%,48.00%,,,http://www.amazon.com/gp/product/B004S5D3B6/?tag=titb-20,1,,,,"Dec 17, 2010"
Greenberg,2010,original screenplay,75,76,76,40,52,-12,46,30,,"comedy, romance",110000,0.11,4230000,4.23,1.92,1920000,"6,150,000",6.15,31.22%,25,24.60%,0.44%,,,http://www.amazon.com/gp/product/B003N20IVS/?tag=titb-20,1,,,,"Apr 2, 2010"
My Soul to Take,2010,original screenplay,9,25,17,29,47,-18,38,-21,,"horror, mystery, thriller",6840000,6.84,14740000,14.74,6.23,6230000,"20,970,000",20.97,29.71%,25,83.88%,27.36%,,,http://www.amazon.com/gp/product/B004H15UY4/?tag=titb-20,1,,,,"Oct 8, 2010"
Faster	,2010,original screenplay,41,44,43,50,67,-17,59,-16,,"action, crime",8520000,8.52,23240000,23.24,12.39,12390000,"35,630,000",35.63,34.77%,24,148.46%,35.50%,,,http://www.amazon.com/gp/product/B004QJPF2O/?tag=titb-20,1,,,,"Nov 24, 2010"
