country,beautiful thing,category,note,alternatives,source
Madagascar,Most / Best vanilla,SKILLZ,Produces more vanilla than any other country.,,BBC
Malawi,First to vaccinate against malaria,HEALTH,in 2019 Malawi was the first country to launch the world's first malaria vaccine in a landmark pilot program. ,,WHO
Malaysia,First biometric passport,COOL TECH,,Most disposable gloves,Wikipedia
Mali,First country to train health workers to diagnose and treat malnutrition,HEALTH,,,Innocent Foundation
Mauritania,Fewest drinkers,HEALTH,"Lowest estimated alcohol consumption per person (liters) in 2016, at zero. Tied with Bangladesh, Somalia, Kuwait, and Libya. ",,World Bank
Mauritius,,,,,
Mexico,"Strawberries
",SKILLZ,,"•silver 
•strawberries 
• first to eliminate rabies (from dogs)",Gro Intelligence
Moldova,Exports of apples ,SKILLZ,per capita,world's largest wine cellar - Mileștii Mici,East Fruit
Mongolia,Best social safety net,HEALTH,"Highest % of population covered by social safety net programs, at 100%",,World Bank
Morocco,World's largest concentrated solar power plant,RENEWABLES,,,Eco Hz
Mozambique,,,,,
Myanmar,Most generous population,NICE!,"Highest proportion of the population who donate money to charity, averaging 81% over the past decade. ",,CAF
Namibia,Consitutional eco-protection,NATURE,First to write eco-protection into consititution,,
Nepal,Biggest increase in years girls spend in school,WOMEN & GIRLS,"In 1980, the average time women had spent in school was 0.1yrs. By 2013 (latest data) it was 2.4yrs. ",,UNDP
Netherlands,Lots of flowers!,NICE!,"Biggest flower exporter
","world leader is agrifood & culture (per capita)
mattress recycling
potato production
cheese exporting & eating
first to legalise same-sex marriage
liquorice eaters
world's tallest people",UNODC
New Zealand,Lowest corruption,FREEDOM & RIGHTS,"New Zealand scored top in the world on the corruption scale, with 89 out of a total possible score of 100. (0=high corruption, 100=low)",most ice cream consumption,Deloitte
Nicaragua,First to block illegal cigarettes,HEALTH,2014 - became the first country to ratify the Protocol to Eliminate Illicit Trade in Tobacco Products,,PAHO
Niger,Most young people ,NICE!,49.8% Under 15 ,biggest drop in child deaths - Under-five deaths per 1000 live births dropped from 329 in 1990 to 84 in 2018. ,World Bank
Nigeria,Best scrabble players,SKILLZ,,,Our World in Data
North Korea,,,,,
North Macedonia,First to have full wireless broadband ,COOL TECH,In 2006,,
Norway,Most electric vehicle sales,RENEWABLES,Nearly 90% of all newly sold cars are now electric.,"most free press https://rsf.org/en/ranking
olympic medals per capita http://www.medalspercapita.com/","IEA, Reuters"
Oman,First to eliminate trachoma,HEALTH,Officially recognised as having eliminated trachoma as a public health problem in 2012. ,safest country for expats https://www.internationalinvestment.net/news/4005769/oman-ranked-world-safest-country-expats,WHO
Pakistan,First to introduce new typhoid vaccine,HEALTH,"In 2019, became first country to introduce new WHO-recommended typhoid conjugate vaccine (TCV) into its routine immunization program. ",,WHO
Palestine,,,,,Our World in Data
Panama,Best forest protections,NATURE,First to implement all 5 levels of forest protection,,
Papua New Guinea,Most living languages ,SKILLZ,852,"most improved human rights - Papua New Guinea's human rights score increased by almost 8000% 2000-2017, from 0.02 to 0.32 (the score range in this period was approx. -3.23 to 5.13. Higher score=better human rights). ",Our World in Data
Paraguay,,,,,
Peru,Best culinary destination,SKILLZ,"Top country for gastronomy, voted no.1 for 9 consecutive years. ",best cultural destination https://www.worldtravelawards.com/award-worlds-leading-cultural-destination-2019,World Travel Awards
Philippines,"Best diving
",NATURE,,most nurses,Extractive Industries Transparency Initiative
Poland,Fewest mothers dying,HEALTH,Lowest maternal mortality rate,,
Portugal,Best for children's rights,FREEDOM & RIGHTS,Top score in the KidsRights Index which maps the extent to which states adhere to and are equipped to improve children's rights. ,"first country to legalize all drugs https://time.com/longform/portugal-drug-use-decriminalization/

best for retirement https://internationalliving.com/the-best-places-to-retire/",KidsRights Foundation
Puerto Rico,,,,,
Qatar,,,,,
Romania,Lowest male cancer rate,HEALTH,"At 264/100k population, Romania has the lowest rates of cancer among men in the world. ",,World Cancer Research Fund
Russia,Consumption of Mandarins,SKILLZ,,,
Rwanda,Most women MPs,WOMEN & GIRLS,61% of parliamentary seats held by women in 2019.,,World Bank 
Saudi Arabia,Improving ease of doing business,FREEDOM & RIGHTS,Most improvement in ease of doing business - climbed 30 places in a year in the World Bank's 'ease of doing business' rankings ,,The National
Scotland,Free sanitary products,NICE!,,,Al Jazeera
Senegal,Lowest car theft,FREEDOM & RIGHTS,0.04 car thefts per 100k population.,,UNODC
Serbia,Most foreign investment,DEVELOPMENT,Most Foreign Direct Investment (FDI) projects relative to GDP. ,,FDI Intelligence
Sierra Leone,Biggest increase in measles vaccine coverage,HEALTH,Measles vaccine coverage increased from 37% in 2000 to 80% in 2018.,,World Bank
Singapore,Highest life expectancy ,HEALTH,Average: 86.19 years,lowest homicide rate (tied with Japan) https://docs.google.com/spreadsheets/d/1OOcHPJ0a_95KDEzXXK4VSSaNX2flri0taX1t5UucbCA/edit#gid=1706010039,The Heritage Foundation
Slovakia,Car-making,SKILLZ,"per 1,000 people",,Kafka Desk
Slovenia,Highest income equality,WOMEN & GIRLS,"Based on the GINI index, which measures income distribution. ",", lowest infant mortality rate",World Bank
Somalia,Biggest improvement in socioeconomic equality,FREEDOM & RIGHTS,"78% improvement in equality of political power by socioeconomic position score, 2014-2018. ",,Deloitte
South Africa,Averted most HIV infections,HEALTH,"Averted a sum total of 459,000 new HIV infections over 16yrs thanks to drug therapy. South Africa has the highest number of cases in the world. ","most white and black rhinos https://wwf.panda.org/knowledge_hub/endangered_species/rhinoceros/african_rhinos/black_rhinoceros/#:~:text=However%2C%20almost%2098%25%20of%20the,b. https://www.savetherhino.org/rhino-info/population-figures/",UNAIDS
South Korea,Marine energy,RENEWABLES,Highest installed capacity  -256 MW in 2019,,IRENA
South Sudan,Biggest improvement in water and sanitation,HEALTH,"Aggregate score based on access to basic drinking water, access to piped water, access to basic sanitation, and rural open defecation. Improved 25% 2014-2018. ",,Deloitte
Spain,Concentrated solar power,RENEWABLES,"CSP capacity was 2300MW in 2017, up from 61MW in 2008. ",organ donors,New Energy Update
Sri Lanka,Most generous volunteers,NICE!,"Highest proportion of the population who volunteer their time, averaging 46% over the past decade.",,CAF
Sudan,Biggest improvement in healthcare access,HEALTH,Access to quality healthcare score increased by 116% 2014-2018.,,Deloitte
Suriname,Most forests,NATURE,Most forested country,,We Forum
Sweden,Most LGBTQ+ friendly,FREEDOM & RIGHTS,"Safest country in the global LGBTQ+ Danger Index 2020, based on marriage laws, worker protections, protection against discrimination, criminalization of violence, adoption laws, morality laws, legality of same-sex relationships, and whether it's generally a good place to live if you're LGBTQ+. ","most overseas development aid per GNI https://www.bond.org.uk/news/2019/01/oecd-releases-final-overseas-aid-figures-for-2017

first place to ban smacking children
https://sweden.se/society/smacking-banned-since-1979/",Pink News
Switzerland,Safest roads ,FREEDOM & RIGHTS,"Lowest road traffic injury mortality at 2.7/100,000 population. ","most nobel laureates per capita

most innovative https://www.wipo.int/global_innovation_index/en/2019/#:~:text=Switzerland%20is%20the%20world's%20most,according%20to%20the%20GII%202019.

safest country overall 
https://www.prime-property.com/en/News/Cyprus_ranked_5th_safest_country_in_the_world/",World Bank
Syria,,,,,
Taiwan,Fastest internet,SKILLZ,85.02 megabits per second. Wow!,,Panda Security
Tajikistan,,,,,
Tanzania,Biggest improvement in gender equality,FREEDOM & RIGHTS,Scale of gender equality based on political power distribution. ,,Deloitte
Thailand,Natural rubber,SKILLZ,,,
Timor-Leste,Biggest drop in malaria cases,HEALTH,"From the highest number of cases worldwide in 2010 (113,269), down to among the lowest numbers in 2017 (26). ",lowest robbery rates https://docs.google.com/spreadsheets/d/1OOcHPJ0a_95KDEzXXK4VSSaNX2flri0taX1t5UucbCA/edit#gid=181372293,WHO
Togo,Biggest improvement in kids completing primary school,DEVELOPMENT,The proportion of kids completing primary school increased from 36% in 1990 to 92% in 2017. ,,World Bank
Trinidad and Tobago,,,,,
Tunisia,Organic dates,SKILLZ,,,Tunisa Monitor
Turkey,Most tea consumption per person,SKILLZ,Highest average annual tea consumption at 7lb per person.,,The Atlantic
Turkmenistan,Marble clad buildings,NICE!,,,Wired
Uganda,Fitness population,SKILLZ,"World's fittest country, according to the World Health Organization.",,BBC
Ukraine,Cheapest broadband,COOL TECH,"Is fast too. (Syria is technically cheaper, but this is largely due to the collapsing Syrian pound).",,Cable.co.uk
United Arab Emirates,Lowest tuberculosis,HEALTH,Incidence: 1 case per 100k population in 2018. ,,World Bank
United Kingdom,Offshore wind,RENEWABLES,Highest installed capacity - Almost 10k MW in 2019. ,"First to commit to ending climate change by law https://www.carbonbrief.org/daily-brief/uk-becomes-first-country-in-world-to-commit-to-ending-climate-change-by-law

vegans (no global data on no. vegans, but highest Google search interest in ‘veganism’ is UK)",IRENA
United States,Most Generous Donors to charity,NICE!,Equivalent to $1370 per person per year,,Quartz
Uruguay,First to legalize marijuana,FREEDOM & RIGHTS,"Legalized marijuana in 2013, followed by Canada in 2018. ",,Guardian
Uzbekistan,,,,,UNICEF
Venezuela,Most protected land area,NATURE,Highest % of total land area under protection at 54% in 2018. ,,World Bank
Vietnam,Most cashew nuts,SKILLZ,,,
Wales,Most castles ,NICE!,Per square mile,,Great British Bucket List
Yemen,,,,,
Zambia,Most parks,NATURE,32% of land,,Safaris Africana
Zimbabwe,Biggest improvement in property rights for women,FREEDOM & RIGHTS,74% improvement in property rights for women score 2014-2018. ,,Deloitte
