"Facility Type","Facility Number","Facility Name","Licensee","Facility Email","Facility Administrator","Facility Telephone Number","Facility Address","Facility City","Facility State","Facility Zip","County Name","Regional Office","Facility Capacity","Facility Status","License First Date","Closed Date","Last Visit Date","Inspection Visits","Complaint Visits","Other Visits","Total Visits","Citation Numbers","POC Dates","All Visit Dates","Inspection Visit Dates","Inspect TypeA","Inspect TypeB","Other Visit Dates","Other TypeA","Other TypeB","Complaint Info- Date, #Sub Aleg, # Inc Aleg, # Uns Aleg, # TypeA, # TypeB ..."
"HOME CARE","344700105","123 HOMECARE UNLIMITED LLC","HOME CARE ASSISTANCE OF CA LLC","COMPLIANCE@HOMECAREASSISTANCE.COM","WHEELER, TIM","(916) 233-0024","3301 WATT AVE STE 200","SACRAMENTO","CA","95821","SACRAMENTO","47","","CLOSED","2/1/2022","3/14/2022","","0","0","0","0","","","","","0","0","","0","0","04/17/2023","0","0","1","0","0"
"HOME CARE","364700116","1COMMUNITY CARE SERVICES","JOLLYBES PRODUCTIONS, LLC","ADMIN@ONECOMMUNITYCARE.COM","GARCIA, LOURDES","(818) 531-5821","6101 CHERRY AVE #102A","FONTANA","CA","92336","SAN BERNARDINO","47","","LICENSED","11/22/2021","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","334700188","1GREAT HOME CARE SERVICES","1GREAT HOME CARE SERVICES LLC","CATHYSANDIEGO@YAHOO.COM","SAN DIEGO, CATHERINE","(714) 420-2342","30439 PACA CT","MENIFEE","CA","92584","RIVERSIDE","47","","LICENSED","11/8/2022","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","304700180","1HEART CAREGIVER SERVICE IRVINE GROUP","BAICHEN GROUP","S.LI@1HEARTCARES.COM","LI, HONGYAN","(909) 929-5166","1820 E. GARRY AVE #202","SANTA ANA","CA","92705","ORANGE","47","","CLOSED","4/21/2017","4/21/2019","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","194701001","1HEART CAREGIVER SERVICES","RJE SOLUTIONS LLC","JOHN.CASTILLO@1HEARTCARES.COM","CASTILLO, JEANETTE","(626) 905-5892","555 E OLIVE AVE. #106","BURBANK","CA","91501","LOS ANGELES","47","","CLOSED","8/29/2023","9/27/2023","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","194700939","1HEART CAREGIVER SERVICES","JC MAGNA SERVICES LLC","J.JUATON@1HEARTCARES.COM","CASTILLO, JEANETTE","(626) 391-4742","4925 CALMVIEW AVE","BALDWIN PARK","CA","91706","LOS ANGELES","47","","CLOSED","","3/10/2023","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","194700112","1HEART CAREGIVER SERVICES","CAREGIVER SERVICES & HOMECARE, INC.","KEVIN@1HEARTCARES.COM","TAGARAO, KEVIN","(818) 906-4441","16530 VENTURA BLVD STE 500","ENCINO","CA","91436","LOS ANGELES","47","","LICENSED","6/14/2016","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","194700765","1HEART CAREGIVER SERVICES","CRMUMAR LLC","C.MUMAR@1HEARTCARES.COM","MUMAR, CECILIA R","(818) 472-9538","1023 N HOLLYWOOD WAY STE207","BURBANK","CA","91505","LOS ANGELES","47","","LICENSED","7/7/2021","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","194700875","1HEART CAREGIVER SERVICES","ABELLLA & AZORES CARE SERVICES, LLC","PIA@1HEARTCARES.COM","ABELLA, IVYTTE","(818) 300-2767","9017 RESEDA BLVD STE 200","NORTHRIDGE","CA","91324","LOS ANGELES","47","","LICENSED","10/12/2022","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","304700312","1HEART CAREGIVER SERVICES","BEACON CARE SOLUTIONS INC.","KEVIN@1HEARTCARES.COM","TAGARAO, KEVIN","(818) 906-4441","1100 E ORANGETHORPE STE 252D","ANAHEIM","CA","92801","ORANGE","47","","LICENSED","1/15/2021","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","304700359","1HEART CAREGIVER SERVICES","CAREWAY LLC","ARMIN533@YAHOO.COM","ARYABOD, ARMIN","(818) 849-1400","14151 NEWPORT AVE. SUITE 201A","TUSTIN","CA","92780","ORANGE","47","","LICENSED","10/4/2022","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","334700184","1HEART CAREGIVER SERVICES","CHOPITEA LLC","B.CHOPITEA@1HEARTCARES.COM","CHOPITEA, ROVIE ANNE","(315) 572-9306","41690 ENTERPRISE CIR N STE 110","TEMECULA","CA","92590","RIVERSIDE","47","","LICENSED","9/27/2022","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","374700305","1HEART CAREGIVER SERVICES","DE GUZMAN ENTERPRISE INC.","RAYMOND@1HEARTCARES.COM","DE GUZMAN, RAYMOND","(805) 701-0556","3355 MISSION AVE STE 113","OCEANSIDE","CA","92058","SAN DIEGO","47","","LICENSED","10/25/2022","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","194700934","1HEART CAREGIVER SERVICES","AIAA ENTERPRISE LLC","AIAAENTERPRISELLC@GMAIL.COM","MAGPANTAY, RHEA CRUZ","(323) 627-3165","2500 E FOOTHILL BLVD STE 404","PASADENA","CA","91107","LOS ANGELES","47","","LICENSED","2/16/2023","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","374700321","1HEART CAREGIVER SERVICES","AMAZING GRACE CAREGIVER SERVICES LLC","GRACE@1HEARTCARES.COM","GENATO, MARIE GRACE","(619) 856-6568","4565 RUFFNER ST STE 220","SAN DIEGO","CA","92111","SAN DIEGO","47","","LICENSED","6/6/2023","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","414700122","1HEART CAREGIVER SERVICES","KIND HEART UNLIMTED LLC","K.BASIT@1HEARTCARES.COM","BASIT, VICENTE","(650) 430-2428","1050 CHESTNUT ST.","MENLO PARK","CA","94025","SAN MATEO","47","","LICENSED","3/7/2023","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","434700189","1HEART CAREGIVER SERVICES","I CARE UNLIMTED, LLC","R.GARINGGALAO@1HEARTCARE.COM","RICHARD GARINGALAO","(310) 210-8196","51 E CAMPBELL AVE STE 107-D","CAMPBELL","CA","95008","SANTA CLARA","47","","LICENSED","9/20/2023","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","364700146","1HEART CAREGIVER SERVICES","APOLLO CAREGIVER SERVICES, LLC","R.SINGH@1HEARTCARES.COM","AMRITA SINGH","(909) 579-2854","14022 SONG OF THE WINDS","CHINO HILLS","CA","91709","SAN BERNARDINO","47","","LICENSED","6/22/2023","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","334700212","1HEART CAREGIVER SERVICES","RJE SOLUTIONS LLC","JOHN.CASTILLO@1HEARTCARES.COM","CASTILLO, JEANETTE","(951) 877-3320","4160 TEMESCAL CANYON RD. #401","CORONA","CA","92883","RIVERSIDE","47","","LICENSED","8/29/2023","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","424700026","1HEART CAREGIVER SERVICES","DE GUZMAN CORPORATION","RAYMOND@1HEARTCARES.COM","DE GUZMAN, RAYMOND","(805) 701-0556","2959 STATE STREET","SANTA BARBARA","CA","93105","SANTA BARBARA","47","","LICENSED","10/11/2017","","9/26/2023","1","0","0","1","1796.45, 1796.44","10/04/2023, 10/26/2023","09/26/2023","09/26/2023","0","0","","1","1","No Complaints"
"HOME CARE","194700998","1HEART CAREGIVER SERVICES","SUNSET PALM CARES, LLC","R.TAN@1HEARTCARES.COM","EVAN GARCIA","(909) 681-4656","15521 LEAHY AVE.","BELLFLOWER","CA","90706","LOS ANGELES","47","","PENDING","","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","314700039","1HEART CAREGIVER SERVICES","MAVERLY ONE, LLC","M.EDRADAN@1HEARTCARES.COM","MARIANNE EDRADAN","(408) 825-3259","2999 DOUGLAS BLVD. #180","ROSEVILLE","CA","95747","PLACER","47","","PENDING","","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","194701030","1HEART CAREGIVER SERVICES","ALCES, LLC","A.PARVIN@1HEARTCARES.COM","ALI REZAEIPARVIN","(310) 994-5206","1132 16TH ST. #4","SANTA MONICA","CA","90403","LOS ANGELES","47","","PENDING","","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","194700664","1HEART CAREGIVER SERVICES- SOUTH BAY","ATZ VALLEY CORPORATION","C.VILLAMOR@1HEARTCARES.COM","MARIA VILLAMOR","(747) 235-9765","3810 PACIFIC COAST HWY #202","TORRANCE","CA","90505","LOS ANGELES","47","","LICENSED","12/24/2019","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","564700059","1HEART CAREGIVER SERVICES-THOUSAND OAKS","AZCOR, INC.","PIA@1HEARTCARES.COM","AZORES, PENELOPE","(818) 334-9473","3625 E THOUSAND OAKS BLVD #323","WESTLAKE VILLAGE","CA","91362","VENTURA","47","","LICENSED","9/25/2018","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","384700032","1HEART CAREGIVER SERVICES - SAN FRANCISCO","A.R.E. CARE SERVICES LLC","R.MALAYAN@1HEARTCARES.COM","MALAYAN, RAMUEL","(415) 490-8917","447 SUTTER ST. SUITE 701","SAN FRANCISCO","CA","94108","SAN FRANCISCO","47","","LICENSED","9/2/2020","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","194700107","1HEART CAREGIVER SERVICES, BEVERLY HILLS","KG HOME CARE SERVICES LLC","KAMRAN.G@1HEARTCARES.COM","KAMRAN GHASRI","(323) 456-8645","8383 WILSHIRE BLVD., STE 800","BEVERLY HILLS","CA","90211","LOS ANGELES","47","","LICENSED","7/19/2016","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","194700416","1HEART CAREGIVER SERVICES, SOUTH BAY","S.A.G.E. CONSULTING, INC.","J.GEFFEN@1HEARTCARES.COM","JOEL GEFFEN","(310) 214-1664","2447 PACIFIC COAST HWY. #205","HERMOSA BEACH","CA","90254","LOS ANGELES","47","","CLOSED","11/18/2016","11/18/2018","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","304700244","1ON1 CASTLE HOME CARE LLC","1ON1 CASTLE HOME CARE LLC","ALTONJTUTTLE@GMAIL.COM","ALTON J TUTTLE","(949) 506-3100","3650 RANDEE WAY","FULLERTON","CA","92833","ORANGE","47","","LICENSED","10/11/2018","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","104700071","2 HAPPY HOME CARE - LLC","2 HAPPY HOME CARE L.L.C.","2HAPPYHOMECARE@GMAIL.COM","GELINA YANG","(559) 570-1990","5150 N 6TH ST. #179-B","FRESNO","CA","93710","FRESNO","47","","LICENSED","6/14/2023","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","194700496","24-SEVEN CARE","24-SEVEN CARE","24SEVENCARE88@GMAIL.COM","LORNA PEREZ","(562) 924-8448","12140 ARTESIA BLVD STE 110","ARTESIA","CA","90701","LOS ANGELES","47","","LICENSED","9/22/2017","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","414700113","24-SEVEN SENIOR CARE LLC","24-SEVEN SENIOR CARE LLC","24SEVENSENIORCARE@GMAIL.COM","DEL CASTILLO, PATTY","(650) 759-1720","860 PEARY LN","FOSTER CITY","CA","94404","SAN MATEO","47","","LICENSED","6/23/2022","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","194700206","24 HOUR CAREGIVERS, INC.","24 HOUR CAREGIVERS, INC.","ALLEN@24HOURCAREGIVERS.NET","IBRAHIMOVA, SABINA","(866) 681-7778","2659 TOWNSGATE RD. STE. 132","WESTLAKE VILLAGE","CA","91361","LOS ANGELES","47","","LICENSED","6/30/2016","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","074700021","24 HOUR HOME CARE","24HR HOMECARE LLC","COMPLIANCE@24HRCARES.COM","MATTHEW MAHONEY","(925) 822-8627","1320 WILLOW PASS RD STE 490","CONCORD","CA","94520","CONTRA COSTA","47","","CLOSED","6/6/2016","11/18/2021","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","194700055","24 HOUR HOME CARE","24HR HOMECARE LLC","COMPLIANCE@24HRCARES.COM","BRENDAN BODI","(310) 258-9525","5901 GREEN VALLEY CIR.,STE.470","CULVER CITY","CA","90230","LOS ANGELES","47","","CLOSED","6/6/2016","11/18/2021","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","194700057","24 HOUR HOME CARE","24HR HOMECARE LLC","COMPLIANCE@24HRCARES.COM","APRIL GODALES","(949) 607-8115","2700 E. FOOTHILL BLVD.,STE.208","PASADENA","CA","91107","LOS ANGELES","47","","CLOSED","6/6/2016","11/18/2021","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","194700488","24 HOUR HOME CARE","24HR HOMECARE L.L.C.","COMPLIANCEHUB@24HRCARES.COM","ROBERT TYNER BRENNEMAN-SLA","(310) 844-1835","200 N.PACIFIC COAST HWY STE300","EL SEGUNDO","CA","90245","LOS ANGELES","47","","CLOSED","7/11/2017","11/18/2021","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","304700041","24 HOUR HOME CARE","24HR HOMECARE LLC","COMPLIANCE@24HRCARES.COM","THOMAS SOWERS","(949) 607-8115","1440 N. HARBOR BLVD.,STE.715","FULLERTON","CA","92835","ORANGE","47","","CLOSED","6/6/2016","11/18/2021","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","334700133","24 HOUR HOME CARE","24HR HOMECARE L.L.C.","COMPLIANCEHUB@24HRCARES.COM","SMITH, ELISE","(310) 844-1835","1420 IOWA AVENUE, SUITE #130","RIVERSIDE","CA","92507","RIVERSIDE","47","","CLOSED","8/27/2020","11/18/2021","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","314700023","24 HOUR HOME CARE","24HR HOMECARE L.L.C.","COMPLIANCEHUB@24HRCARES.COM","PIERINI, STEPHANIE","(916) 515-7142","516 GIBSON DR., STE 280","ROSEVILLE","CA","95678","PLACER","47","","CLOSED","12/26/2019","11/18/2021","12/22/2021","0","0","1","1","","","12/22/2021","","0","0","12/22/2021","0","0","No Complaints"
"HOME CARE","194700056","24 HOUR HOME CARE","24HR HOMECARE LLC","COMPLIANCE@24HRCARES.COM","JESSE THOMAS","(310) 375-5353","21311 HAWTHORNE BLVD.,STE.101","TORRANCE","CA","90503","LOS ANGELES","47","","CLOSED","6/6/2016","9/30/2021","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","194700058","24 HOUR HOME CARE","24HR HOMECARE LLC","COMPLIANCE@24HRCARES.COM","APRIL GODALES","(818) 385-0227","17141 VENTURA BLVD.,STE.205","ENCINO","CA","91316","LOS ANGELES","47","","CLOSED","6/6/2016","6/30/2021","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","374700039","24 HOUR HOME CARE","24HR HOMECARE LLC","COMPLIANCE@24HRCARES.COM","DIEGO CHACON","(858) 529-6230","4350 EXECUTIVE DR., SUITE 205","SAN DIEGO","CA","92121","SAN DIEGO","47","","CLOSED","6/6/2016","5/31/2021","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","434700020","24 HOUR HOME CARE","24HR HOMECARE LLC","COMPLIANCE@24HRCARES.COM","ERIK LEWIS","(408) 550-8295","4675 STEVENS CREEK BLVD.STE121","SANTA CLARA","CA","95051","SANTA CLARA","47","","CLOSED","6/6/2016","1/31/2021","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","374700197","24 HOUR HOME CARE","24HR HOMECARE L.L.C.","COMPLIANCEHUB@24HRCARES.COM","MICHAEL BRADBURY","(760) 844-1835","5963 LA PLACE COURT STE. 114","CARLSBAD","CA","92008","SAN DIEGO","47","","CLOSED","8/17/2017","12/1/2020","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","344700074","24 HOUR HOME CARE","24HR HOMECARE L.L.C.","COMPLIANCEHUB@24HRCARES.COM","MAHONEY, MATTHEW","(310) 844-1835","2450 VENTURE OAKS WAY, STE 225","SACRAMENTO","CA","95833","SACRAMENTO","47","","CLOSED","12/26/2019","1/10/2020","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","304700395","24 HOUR IN HOME CARE SERVICES, LLC","24 HOUR IN HOME CARE SERVICES, LLC","KG8G8X@GMAIL.COM","ROSARIO REYES","(909) 557-5422","2102 BUSINESS CENTER DR. #272","IRVINE","CA","92612","ORANGE","47","","PENDING","","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","194700745","24 SEVEN CARE LLC","24 SEVEN CARE LLC","INFO@24SEVENCARE.NET","AGUIRRE, BLANCA","(310) 807-0729","8616 LA TIJERA BLVD SUITE 316","LOS ANGELES","CA","90045","LOS ANGELES","47","","LICENSED","5/19/2021","","7/19/2022","1","0","0","1","1796.44, 1796.45","08/18/2022, 08/18/2022","07/19/2022","07/19/2022","0","0","","0","2","No Complaints"
"HOME CARE","194700563","247 STAFFING AND IN-HOME CARE LLC","247 STAFFING AND IN-HOME CARE LLC","INFO@247STAFFINGANDINHOMECARE.COM","RUSSELL, JANNET","(310) 717-2728","3333 WHILSHIRE BLVD. STE 610","LOG ANGELES","CA","90010","LOS ANGELES","47","","LICENSED","9/7/2018","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","194700817","24HR HOMECARE L.L.C.","24HR HOMECARE L.L.C.","COMPLIANCEHUB@24HRCARES.COM","GODALES, APRIL","(949) 607-8115","2700 E FOOTHILL BLVD STE208","PASADENA","CA","91107","LOS ANGELES","47","","CLOSED","11/9/2021","3/31/2022","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","304700341","24HR HOMECARE L.L.C.","24HR HOMECARE L.L.C.","COMPLIANCEHUB@24HRCARES.COM","MORENO, CODY","(714) 881-4245","1440 N HARBOR BLVD STE715","FULLERTON","CA","92835","ORANGE","47","","LICENSED","11/9/2021","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","334700171","24HR HOMECARE L.L.C.","24HR HOMECARE L.L.C.","COMPLIANCEHUB@24HRCARES.COM","BRADBURY, MICHAEL","(951) 639-8833","1420 IOWA AVE STE130","RIVERSIDE","CA","92507","RIVERSIDE","47","","LICENSED","11/9/2021","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","194700816","24HR HOMECARE L.L.C.","24HR HOMECARE L.L.C.","COMPLIANCEHUB@24HRCARES.COM","ALLERBY, DAVID","(310) 504-5619","200 N PACIFIC COAST HWY STE300","EL SEGUNDO","CA","90245","LOS ANGELES","47","","LICENSED","11/9/2021","","8/17/2022","1","0","0","1","","","08/17/2022","08/17/2022","0","0","","0","0","No Complaints"
"HOME CARE","194700815","24HR HOMECARE L.L.C.","24HR HOMECARE L.L.C.","COMPLIANCEHUB@24HRCARES.COM","HWANG, LIN","(310) 258-9525","5901 GREEN VALLEY CIR STE470","CULVER CITY","CA","90245","LOS ANGELES","47","","LICENSED","11/9/2021","","7/18/2022","1","0","0","1","","","07/18/2022","07/18/2022","0","0","","0","0","No Complaints"
"HOME CARE","074700143","24HR HOMECARE L.L.C.","24HR HOMECARE L.L.C.","COMPLIANCEHUB@24HRCARES.COM","PAOLETTI, MARIO","(925) 239-1110","1320 WILLOW PASS RD STE490","CONCORD","CA","94520","CONTRA COSTA","47","","LICENSED","11/9/2021","","4/13/2022","1","0","0","1","","","04/13/2022","04/13/2022","0","0","","0","0","No Complaints"
"HOME CARE","314700030","24HR HOMECARE L.L.C.","24HR HOMECARE L.L.C.","COMPLIANCEHUB@24HRCARES.COM","PIERINI, STEPHANIE","(916) 515-7142","516 GIBSON DR #280","ROSEVILLE","CA","95678","PLACER","47","","LICENSED","11/9/2021","","1/24/2022","1","0","0","1","","","01/24/2022","01/24/2022","0","0","","0","0","No Complaints"
"HOME CARE","304700216","24HR HOMECARE, LLC - IRVINE","24HR HOMECARE LLC","COMPLIANCEHUB@24HRCARES.COM","BLAKE NAUDIN","(949) 607-8115","16485 LAGUNA CANYON RD.STE.110","IRVINE","CA","92618","ORANGE","47","","CLOSED","8/17/2017","11/2/2020","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","304700215","24/7 CIRCLE OF CARE, LLC","24/7 CIRCLE OF CARE, LLC","CPPLATTE@OURCOC.COM","CHERRY PIE PLATTE","(949) 337-7133","260 NEWPORT CENTER DR STE 100","NEWPORT BEACH","CA","92660","ORANGE","47","","LICENSED","10/2/2017","","","0","0","0","0","","","","","0","0","","0","0","02/13/2023","0","0","1","0","0"
"HOME CARE","434700144","24/7 HEALTHCARE INC.","24/7 HEALTHCARE INC.","CARE@247HEALTHCARE.BIZ","VANDERWERF, RANDOLPH","(408) 991-4564","1172 MURPHY AVE SUITE 211","SAN JOSE","CA","95131","SANTA CLARA","47","","CLOSED","11/2/2020","6/1/2023","1/4/2022","1","0","0","1","","","01/04/2022","01/04/2022","0","0","","0","0","No Complaints"
"HOME CARE","194700346","24/7 HOME CARE INC","24/7 HOME CARE, INC.","TWENTYFOUR7INC@YAHOO.COM","SIERRA, MARIA LINETTE","(818) 966-9132","8546 CORBIN AVENUE","NORTHRIDGE","CA","91324","LOS ANGELES","47","","LICENSED","6/30/2016","","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","304700220","24/7 KEEP IN TOUCH EMPLOYMENT AGENCY","24/7 KEEP IN TOUCH EMPLOYMENT AGENCY","HAZEL@24-7KEEPINTOUCH.COM","ILICH, JUREN","(714) 997-9936","1085 N MAIN STREET STE N","ORANGE","CA","92867","ORANGE","47","","CLOSED","3/8/2018","3/5/2020","","0","0","0","0","","","","","0","0","","0","0","No Complaints"
"HOME CARE","074700111","24/7 NIGHTINGALE HOME CARE","JOHANA SEGURA INC.","JOHANA@24-7NIGHTINGALE.COM","JOHANA","(925) 391-3700","1820 ENCLAVE PL","CONCORD","CA","94519","CONTRA COSTA","47","","LICENSED","10/2/2019","","4/12/2022","1","0","0","1","","","04/12/2022","04/12/2022","0","0","","0","0","No Complaints"
