id,task,task_label,reader,reader_label,team,live
98,303,Build an extension to the Taskmaster house,39,Jessica Knappett,1,0
99,305,Beat on the drum after exactly 9.58 seconds,40,Kerry Godliman,0,1
100,310,"Bob, pat, kneel, stew, or wane",42,Rhod Gilbert,0,1
101,315,Complete a 24-shot rally,40,Kerry Godliman,1,0
102,315,Complete a 24-shot rally,42,Rhod Gilbert,1,0
103,316,Draw a happy horse upside-down,39,Jessica Knappett,0,1
104,322,Sausage or finger?,38,James Acaster,0,1
105,327,Collect the most doughnuts in your bucket,47,Sian Gibson,0,1
106,332,"Convey an object using only facial expressions, noises, adjectives & verbs",46,Paul Sinha,1,0
107,332,"Convey an object using only facial expressions, noises, adjectives & verbs",47,Sian Gibson,1,0
108,334,"Name a bird, eat a grape, name a contestant",44,Joe Thomas,0,1
109,339,Get into two sleeping bags and complete other actions,46,Paul Sinha,0,1
110,343,Get the most weight into a hammock,45,Lou Sanders,1,0
111,343,Get the most weight into a hammock,47,Sian Gibson,1,0
112,344,Throw a frying pan into a hoop,45,Lou Sanders,0,1
113,349,Play long-distance catch with a beach ball,43,Iain Stirling,1,0
114,349,Play long-distance catch with a beach ball,44,Joe Thomas,1,0
115,351,Recreate the scene you parade past,43,Iain Stirling,0,1
116,354,Design an iconic album cover,1,Alex Horne,1,0
117,357,"Roll a toilet roll, and retrieve your shoe",1,Alex Horne,0,1
118,357,"Roll a toilet roll, and retrieve your shoe",46,Paul Sinha,0,1
119,362,"Answer the questions, pull the strings; do not release the green egg",44,Joe Thomas,1,1
120,365,Catch the tennis balls,44,Joe Thomas,1,0
121,365,Catch the tennis balls,46,Paul Sinha,1,0
122,367,Complete the five-syllable words,47,Sian Gibson,0,1
123,371,Make yourselves look like one person,44,Joe Thomas,1,0
124,371,Make yourselves look like one person,45,Lou Sanders,1,0
125,372,Complete some tasks as one person,44,Joe Thomas,1,0
126,372,Complete some tasks as one person,45,Lou Sanders,1,0
127,373,Stack plates and bowls on your head,43,Iain Stirling,0,1
128,378,Hook a duck while wearing inversion goggles,45,Lou Sanders,0,1
129,383,Draw the second longest snake,52,Rose Matafeo,0,1
130,387,Say the word ‘demeaning’,50,Jo Brand,1,0
131,387,Say the word ‘demeaning’,51,Katy Wix,1,0
132,388,Arrange the playdough balls / Do the correct things with the balls,1,Alex Horne,0,1
133,388,Arrange the playdough balls / Do the correct things with the balls,50,Jo Brand,0,1
134,394,Fill a glass with water,51,Katy Wix,0,1
135,397,Bring a classic board game to life,49,Ed Gamble,1,0
136,397,Bring a classic board game to life,50,Jo Brand,1,0
137,399,"Throw objects, but not too far",48,David Baddiel,0,1
138,403,"Get to know a person who alternately tells the truth, lies, and brags",48,David Baddiel,1,0
139,403,"Get to know a person who alternately tells the truth, lies, and brags",51,Katy Wix,1,0
140,404,Build a tower behind you using a mirror and litter pickers,49,Ed Gamble,0,1
141,409,Slide drinks to the Taskmaster,52,Rose Matafeo,0,1
142,414,Horse or laminator?,51,Katy Wix,0,1
143,418,Supply a soundtrack for a film,48,David Baddiel,1,0
144,418,Supply a soundtrack for a film,52,Rose Matafeo,1,0
145,419,Draw your own face on a face shield,50,Jo Brand,0,1
146,424,Communicate pictures by drawing on your team-mate’s back,49,Ed Gamble,1,1
147,427,Make a cup of tea,48,David Baddiel,1,0
148,427,Make a cup of tea,49,Ed Gamble,1,0
149,429,Select the shortest breadstick,48,David Baddiel,0,1
150,435,Get the most balls of the same colour in your bucket using litter pickers,57,Richard Herring,0,1
151,440,Guess what is making the noises,55,Katherine Parkinson,0,1
152,446,Draw an object on a rotating canvas,53,Daisy May Cooper,1,1
153,449,Persuade the security guard to look in your bag,53,Daisy May Cooper,1,0
154,449,Persuade the security guard to look in your bag,55,Katherine Parkinson,1,0
155,449,Persuade the security guard to look in your bag,57,Richard Herring,1,0
156,451,Roll an edible sphere across a line as slowly as possible,56,Mawaan Rizwan,0,1
157,456,Feed your team-mate(s) the most watermelon,56,Mawaan Rizwan,1,0
158,456,Feed your team-mate(s) the most watermelon,57,Richard Herring,1,0
159,457,List words of a certain length without hesitating,54,Johnny Vegas,0,1
160,462,Draw animals using straight lines,55,Katherine Parkinson,1,1
161,467,Communicate things to the Taskmaster using only sounds,53,Daisy May Cooper,0,1
162,473,Do not blink while staring at your opponent with a selected expression,57,Richard Herring,1,1
163,478,Draw the monster described by the Taskmaster,54,Johnny Vegas,0,1
164,481,Complete the best performance of a specific song,53,Daisy May Cooper,1,0
165,481,Complete the best performance of a specific song,55,Katherine Parkinson,1,0
166,483,Balance all the mints or biscuits on a spaghetti bridge,56,Mawaan Rizwan,0,1
167,489,Strike balls into a bath with an object,59,Krishnan Guru-Murthy,0,1
168,489,Strike balls into a bath with an object,60,Nicola Coughlan,0,1
169,494,Stack your buckets so that they are taller than you,65,Lee Mack,0,1
170,497,Have an argument,63,Charlotte Ritchie,1,0
171,497,Have an argument,65,Lee Mack,1,0
172,499,Correctly guess your standing in the group,64,Jamali Maddix,0,1
173,504,Act out nursery rhymes,63,Charlotte Ritchie,1,1
174,507,Put the bag of salt onto that table,66,Mike Wozniak,1,0
175,507,Put the bag of salt onto that table,67,Sarah Kendall,1,0
176,509,Identify the contents of the bowl,66,Mike Wozniak,0,1
177,514,Slap and tong,65,Lee Mack,1,1
178,514,Slap and tong,67,Sarah Kendall,1,1
179,518,Vandalise a wall creatively,63,Charlotte Ritchie,1,0
180,518,Vandalise a wall creatively,66,Mike Wozniak,1,0
181,520,Tie the string to the glasses and put them on,64,Jamali Maddix,0,1
182,525,Get out of the front gate,65,Lee Mack,1,0
183,525,Get out of the front gate,67,Sarah Kendall,1,0
184,526,Make your rubber gloves and wellies as heavy as possible,65,Lee Mack,0,1
185,531,One leg or two?,63,Charlotte Ritchie,0,1
186,536,Shove your fish,66,Mike Wozniak,0,1
187,540,Direct a teammate into the red circle,65,Lee Mack,1,0
188,540,Direct a teammate into the red circle,67,Sarah Kendall,1,0
189,541,"Keeping your head still at all times, correctly don your special outfit",67,Sarah Kendall,0,1
190,546,"Strike poses to represent a hobby, an animal, and a celebrity",1,Alex Horne,0,1
191,546,"Strike poses to represent a hobby, an animal, and a celebrity",72,Victoria Coren Mitchell,0,1
192,548,Scale the mountain,68,Alan Davies,1,0
193,548,Scale the mountain,69,Desiree Burch,1,0
194,551,Put on the medallion,70,Guz Khan,0,1
195,556,Convey objects using shadows,68,Alan Davies,1,1
196,561,Get the most forks in your bucket,69,Desiree Burch,0,1
197,564,Get the most balls in the net,68,Alan Davies,1,0
198,564,Get the most balls in the net,71,Morgana Robinson,1,0
199,566,Pop the most balloons,71,Morgana Robinson,0,1
200,571,Make paper aeroplanes,1,Alex Horne,0,1
201,571,Make paper aeroplanes,70,Guz Khan,0,1
202,576,Direct drawings using limited keywords,72,Victoria Coren Mitchell,0,1
203,579,Play and commentate on a socially-distanced sport,68,Alan Davies,1,0
204,579,Play and commentate on a socially-distanced sport,70,Guz Khan,1,0
205,581,Pop up before the objects,68,Alan Davies,0,1
206,587,Duck-slide,70,Guz Khan,1,1
207,592,Make noises without being identified by the Taskmaster,71,Morgana Robinson,0,1
208,597,Turn a ball into a competitor's head,1,Alex Horne,0,1
209,602,Count to 13,82,Sophie Duker,0,1
210,606,Score an exercise ball hat-trick using a buggy,78,Ardal O'Hanlon,1,0
211,606,Score an exercise ball hat-trick using a buggy,82,Sophie Duker,1,0
212,607,Draw and describe the object under your table,80,Chris Ramsey,0,1
213,612,Face leg or other leg?,81,Judi Love,1,1
214,615,Give Alex the best stag minute,80,Chris Ramsey,1,0
215,615,Give Alex the best stag minute,81,Judi Love,1,0
216,617,Knock over your opponents' dolls with a tyre,78,Ardal O'Hanlon,0,1
217,624,Pop balls out of your hole,79,Bridget Christie,0,1
218,629,Correctly guess the person's first name,80,Chris Ramsey,0,1
219,633,Deliver a cocktail to Greg,80,Chris Ramsey,1,0
220,633,Deliver a cocktail to Greg,82,Sophie Duker,1,0
221,635,Eat your beautiful sculpture,1,Alex Horne,0,0
222,636,Build the tallest tower of toilet rolls,82,Sophie Duker,0,1
223,641,Write down things that fit the category,78,Ardal O'Hanlon,1,1
224,646,Predict how many cans you can fit in a bag,79,Bridget Christie,0,1
225,650,Record a multi-track song about your team,78,Ardal O'Hanlon,1,0
226,650,Record a multi-track song about your team,82,Sophie Duker,1,0
227,651,Draw a life-size self portrait with your nose in the canvas,81,Judi Love,0,1
228,657,"Suitcase full of bricks, or suitcase full of balloons?",1,Alex Horne,0,1
229,659,What ten films are you in?,1,Alex Horne,0,0
230,661,Create the best picture of a bird,88,Dara Ó Briain,1,0
231,661,Create the best picture of a bird,92,Sarah Millican,1,0
232,662,Don't pop the balloon,89,Fern Brady,0,1
233,668,Make the Taskmaster say your words,92,Sarah Millican,1,1
234,670,Put the most sand in the shopping trolley,89,Fern Brady,1,0
235,670,Put the most sand in the shopping trolley,91,Munya Chawawa,1,0
236,670,Put the most sand in the shopping trolley,92,Sarah Millican,1,0
237,673,Play your sounds right,90,John Kearns,0,1
238,678,Egg and spoon throw,88,Dara Ó Briain,0,1
239,681,Perform the best routine to this music,90,John Kearns,1,0
240,681,Perform the best routine to this music,92,Sarah Millican,1,0
241,683,Communicate animals by saying letters and doing impressions,91,Munya Chawawa,1,1
242,688,Paint a unicorn using your head brush,90,John Kearns,0,1
243,691,Get this feather into the bath,88,Dara Ó Briain,1,0
244,691,Get this feather into the bath,91,Munya Chawawa,1,0
245,693,Blow an item onto The Knappett,92,Sarah Millican,0,1
246,695,Communicate an instruction in a secret language,89,Fern Brady,1,0
247,695,Communicate an instruction in a secret language,92,Sarah Millican,1,0
248,698,Guess the length of the extendible item,88,Dara Ó Briain,1,1
249,704,Get your towel in your bucket,91,Munya Chawawa,0,1
250,708,Sculpt your team,89,Fern Brady,1,0
251,708,Sculpt your team,92,Sarah Millican,1,0
252,710,Land a balloon near the Taskmaster,89,Fern Brady,0,1
253,715,Obey Greg's instructions,94,Carol Vorderman,0,1
254,720,Throw your items into your bucket,102,Mae Martin,0,1
255,723,Build a bridge over the red green for this potato,98,Frankie Boyle,1,0
256,723,Build a bridge over the red green for this potato,101,Kiell Smith-Bynoe,1,0
257,725,Create a picture of an animal on the back of your T-shirt,99,Ivo Graham,0,1
258,729,Perform a slow-motion fight scene,99,Ivo Graham,1,0
259,729,Perform a slow-motion fight scene,102,Mae Martin,1,0
260,730,Know the most facts about sausages,101,Kiell Smith-Bynoe,0,1
261,735,Pour your sand into the other bottle,100,Jenny Eclair,0,1
262,739,Salvage the most spoons,98,Frankie Boyle,1,0
263,739,Salvage the most spoons,100,Jenny Eclair,1,0
264,739,Salvage the most spoons,102,Mae Martin,1,0
265,740,Stuff your team-mate's waders,98,Frankie Boyle,1,1
266,745,Story-time chairs,99,Ivo Graham,0,1
267,748,Free yourselves and have a team hug,98,Frankie Boyle,1,0
268,748,Free yourselves and have a team hug,102,Mae Martin,1,0
269,750,Imitate accents/walks,102,Mae Martin,0,1
270,755,Use the scratching post to remove balls from your suit,98,Frankie Boyle,1,1
271,757,Make these things the same colour,98,Frankie Boyle,1,0
272,757,Make these things the same colour,102,Mae Martin,1,0
273,760,Estimate the heights of things,101,Kiell Smith-Bynoe,0,1
274,764,Perform a lullaby for a profession,98,Frankie Boyle,1,0
275,764,Perform a lullaby for a profession,101,Kiell Smith-Bynoe,1,0
276,765,"Standing in ice, or not standing in ice?",100,Jenny Eclair,0,1
277,769,Cross the finish line while connected to your team,103,Julian Clary,1,0
278,769,Cross the finish line while connected to your team,105,Sam Campbell,1,0
279,769,Cross the finish line while connected to your team,106,Sue Perkins,1,0
280,769,Cross the finish line while connected to your team,107,Susan Wokoma,1,0
281,771,Heavier or lighter?,107,Susan Wokoma,0,1
282,776,Draw something you like and something you dislike,106,Sue Perkins,0,1
283,782,Human war boats,104,Lucy Beaumont,1,1
284,785,Complete all the tasks as a team,103,Julian Clary,1,0
285,785,Complete all the tasks as a team,106,Sue Perkins,1,0
286,787,Roll your animal die,103,Julian Clary,0,1
287,793,Retrieve and sip your drink,105,Sam Campbell,0,1
288,796,Recreate the garage scene in the lab,104,Lucy Beaumont,1,0
289,796,Recreate the garage scene in the lab,105,Sam Campbell,1,0
290,796,Recreate the garage scene in the lab,106,Sue Perkins,1,0
291,796,Recreate the garage scene in the lab,107,Susan Wokoma,1,0
292,798,Pineapple bluff,104,Lucy Beaumont,0,1
293,803,Get three balls on your hat using litter-pickers,106,Sue Perkins,0,1
294,806,Find the secret task,103,Julian Clary,0,0
295,806,Find the secret task,106,Sue Perkins,0,0
296,809,Mime the proverbs,103,Julian Clary,1,1
