id,task,task_label,brief
46,46,A photo of an object that looks like you,"Using this camera take a picture of an inanimate object that looks like you.
Closest resemblance wins.
Your time starts now."
47,47,Order a pizza without using certain words,"Order the following pizza for the Taskmaster: an extra large vegetarian pizza with pepperoni and bacon, without tomato and cheese.
You may not use the following words: extra; large; vegetarian; pizza; pepperoni; bacon; tomato; cheese.
You get a bonus point if you can make the pizza person say the word “bubbles”."
48,48,Put potatoes in a basket,"Using these big chopsticks, get these potatoes into your basket.
You must only hold the chopsticks on the grips provided.
The big chopsticks alone may touch the potatoes.
Whoever has the most potatoes in their basket after 100 seconds wins."
49,49,The best dinner party guest,Bring in the best dinner party guest.
50,50,Impress the Mayor,"Impress this mayor.
You have a maximum of 20 minutes.
Your time starts now."
51,51,Make an unexpected silhouette,"Make the most unexpected silhouette on this screen.
You have 30 minutes.
Your time starts now."
52,52,Buy a gift for the Taskmaster,"Buy a gift for the Taskmaster.
Here is £20.
You have 20 weeks.
Your time starts now."
53,53,"See no potato, hear no potato, speak no potato","Put on this blindfold, then instruct only the person closest to you to open their task.

Put the earplugs in your ears and the ear protectors over the earplugs, then continue reading.
You must remain within your bandstand.
Instruct the next person to open their task.

Do not read this out loud.
Bring a potato to your bandstand.
You may not leave your bandstand.
You may not speak.
Fastest wins.
Your time starts now."
54,54,Throw rabbits into a hat,"Throw the rabbits into your hat.
The person with the most rabbits in their hat after 100 seconds wins."
55,55,The coolest blue item,Bring in the coolest blue item.
56,56,Rescue Patatas from the tree,"Rescue the cat.
Best rescue wins.
Your time starts now.
The cat answers to the name Patatas."
57,57,Conceal a pineapple on your person,"Conceal this pineapple on your person.
No part of the pineapple may be thrown away.
You have 20 minutes, after which Alex will inspect you.
Most incorrect guesses wins.
Your time starts now."
58,58,Set a task / Guess who set the tasks,"Set a fun task.
Your task must take no more than one minute.
You have 10 minutes.
Your time starts now."
59,59,Construct something for the Taskmaster,"Using only the items on the rug, construct the best thing for the Taskmaster.
You have 30 minutes.
Your time starts now."
60,60,Build the tallest tower using potato products,"Create the highest tower using only these potato-based items.
Your potato tower must be self-standing.
Your potato tower must be built on the table.
Your potato tower will be measured from the table top to the highest potato point."
61,61,The best piece of memorabilia,Bring in the best piece of memorabilia.
62,62,Move items across a stream,"Get all of this shopping into the shopping trolley.
Fastest wins.
Your time starts now."
63,63,Create a stop-motion film starring a potato,"Make the best stop-motion film starring this potato.
You have one hour.
Your time starts now."
64,64,Build a bridge for the potato,"Make a bridge over the river using only the items on this table.
Highest self-supporting bridge wins.
The bridge alone must support the potato.
You must not touch the Taskmaster's house.
You have 20 minutes.
Your time starts now."
65,65,"Put on gloves, eat a banana, put on a tie, and clap","Put on a pair of food-handling gloves, eat a whole banana correctly, put on a tie and clap as many times as possible.
All tasks must be completed in 100 seconds.
Most claps wins."
66,66,The most flamboyant clock,Bring in the most flamboyant clock.
67,67,Reach the microwave in the fewest steps,"Get to the microwave in as few steps as possible and open the door before the microwave dings.
There are five minutes on the clock.
The microwave starts now."
68,68,Propel a pea along a red carpet,"Propel this pea the furthest distance.
Your pea must land and remain on the red carpet.
Your time starts now."
69,69,Make the best snowman,"Make the best snowman.
You have one hour.
Your time starts now."
70,70,Balance swedes on a Swede,"Balance your swedes on your Swede.
Your Swede must remain standing at all times.
Your swedes may only balance on the exterior of your Swede.
Most swedes resting on a Swede after 100 seconds wins."
71,71,The heaviest shoebox-sized item,Bring in the heaviest item that can fit in a shoebox.
72,72,Surprise Alex,"Surprise Alex when he emerges from his shed in one hour.
Your time starts now."
73,73,Release Alex,"Release Alex.
Fastest wins.

Your time starts now.

Look on the phone."
74,74,An upside-down condiment self-portrait,"Create the best upside-down self-portrait using only the materials supplied.
The Taskmaster will judge the picture when it has been rotated 180 degrees.
You have 20 minutes.
Your time starts now."
75,75,Burst all of the balloons,"Pop the balloons.
Fastest wins.
Your time starts when you pop the next balloon."
76,76,Unravel the tape,"Unravel a whole roll of sticky tape, put the unravelled sticky tape in your lunch box, and close the lunch box.
Fastest wins."
77,77,The best battery-operated item,Bring in the best battery-operated item.
78,78,Fill an eggcup with sweat,"Fill this eggcup with your own sweat.
Most sweat wins.
You have 20 minutes.
Your time starts now."
79,79,Make the best domino rally,"Make the best domino rally.
Your time starts now."
80,80,Buy a gift for the Taskmaster,"Buy a gift for the Taskmaster.
You have 20 weeks.
Your time starts now."
81,81,Create the best flag meal,"Create the best flag meal.
You have 10 minutes to choose your flag and plan your meal, then 30 minutes to prepare your meal.
Best flag meal wins.
Your time starts now."
82,82,Anchor balloons using bread,"Anchor these balloons using only bread.
The person with the most fully-inflated balloons resting on their mat, and held down by bread alone, after 100 seconds, wins."
83,83,The shiniest thing,Bring in the shiniest thing.
84,84,Spread your clothes far and wide,"Spread your clothes as far and wide as possible at your own expense.
You must discard four items of clothing that you are currently wearing.
Farthest and widest wins.
You have 30 minutes.
Your time starts now."
85,85,Find out the lying old man’s occupation,"Find out what this gentleman did for a living.
You can ask him any question, but you must whisper at all times.
The gentleman can only nod or shake his head.
The gentleman can only lie.
Fastest wins.
Your time starts now."
86,86,Create an impressive special effect,"Make the most special effect.
You have one hour.
Your time starts now."
87,87,Cover yourself in sticky notes,"Wearing a blindfold, cover yourself in sticky notes.
Sticky notes must be applied individually.
The person with the most sticky notes still sticking to their body after 100 seconds wins."
88,88,Have fun on a bouncy castle,"Have the most fun on this bouncy castle.
You have one hour.
Your time starts now."
89,89,The most handsome relative,Bring in a photo of the most handsome relative.
90,90,Move water from one bucket to another,"Move the water from Bucket A to Bucket B.
You must not move the buckets.
Most water moved wins.
You have 10 minutes.
Your time starts now."
91,91,Play charades across a river,"Wearing one of these hands on each of your hands at all times, communicate to your teammate(s) the names of these films, books, and TV programmes.
You may not raise your voice.
Most correct answers wins.
You have 10 minutes.
Your time starts when the whistle’s blown."
92,92,Create an impressive time-lapse or slow motion film,"Do something that looks brilliant when sped up or slowed down.
You have one hour.
Your time starts now."
93,93,The lowest unique number of doughnuts,"Place one or more doughnuts on your stick.
You have 100 seconds, after which the person with the lowest unique whole number of doughnuts on their stick wins.
In the event of there being no unique numbers, the task shall be replayed until there is a winner."
94,94,The most interesting vegetable autograph,Bring in the most interesting autograph on the most interesting vegetable.
95,95,Beautifully destroy a cake,"Destroy this cake.
Most beautiful destruction wins.
You have 30 minutes.
Your time starts now."
96,96,Draw a blind portrait,"Create the best caricature of the person on the other side of the curtain.
You may not look at the person.
The person may only say “Yes” and “No”.
You will get a bonus point if you can find out the person’s full name.
You have 10 minutes.
Your time starts now."
97,97,Fell all the ducks,"Fell all the rubber ducks.
Fastest wins.
Your time starts when the first rubber duck falls."
98,98,Make the most fruit juice,"Make the most juice.
You must pick one fruit and one tool.
If you pick the same tool as someone else, you must juice blindfolded.
If you pick the same fruit as someone else, you must juice one-handed.
If you pick the same fruit and tool as someone else, you must juice blindfolded, one-handed, and bouncing up and down.
You have one minute."
99,99,The most boastful item,Bring in your most boastful item.
100,100,Keep the basketball on the treadmill,"Keep the basketball on the running machine for as long as possible.
You may not touch the basketball or the running machine.
The running machine will be turned on in two minutes."
101,101,Paint a portrait of the Taskmaster without touching the red mat,"Paint the best picture of the Taskmaster.
Only the paint and brush may touch the mat, easel and canvas.
You have 10 minutes.
Your time starts now."
102,102,Get the flour onto the target,"Land the flour on the target.
You may not leave the bandstand.
Most flour lying loose on the target wins.
You have 20 minutes.
Your time starts now."
103,103,Put an egg in an egg cup without touching either,"Without touching the egg or the eggcup, get the egg into the eggcup.
You may only use the equipment currently on the table.
If you touch a piece of equipment that another contestant touches, you will both receive a one minute time penalty per piece of equipment touched.
Fastest wins.
Your time starts now."
104,104,Make the longest balloon chain,"Looking at the Taskmaster at all times and with your arms always beneath your hairdressing smock, attach as many balloons together as possible.
You have 100 seconds.
Longest balloon chain wins."
105,105,The best subscription,Bring in the best membership/subscription.
106,106,Camouflage yourself,"Camouflage yourself.
You have 10 minutes to plan your camouflage.
After a further 10 minutes you will be photographed in position.
Your time starts now."
107,107,Make a Taskmaster movie trailer,"Make a trailer for Taskmaster: The Movie.
Best trailer wins.
You have a maximum of one hour.
Your time starts now."
108,108,Persuade three animals to stand on the mat,"Persuade three dogs to stand on the red mat.
Exactly 12 legs must be stood on the red mat at the same time.
Fastest wins.
Your time starts now."
109,109,Transfer water from one fishbowl to another,"Without moving the fishbowls, transfer the water from fishbowl A to fishbowl B.
You may only use the items on this table.
Most water moved wins.
Also, you must commentate on your attempt throughout the task, always referring to yourself in the third person.
You have five minutes.
Your time starts now.

If you eat any of the chocolate you will be docked five points."
110,110,Musical words,"Take it in turns to say a five-letter word whenever the music stops.
You may not say a word that has previously been said.
If you fail to say a word before the music starts again, you are eliminated, and the game continues with different length words."
111,111,Decant wine from one bottle to another,"Decant the wine into another bottle from atop an umpire's chair.
You have one minute.
Your time starts now."
112,112,The most surprising picture of yourself,Bring in the most surprising picture of yourself.
113,113,Make the highest splash,"Make the highest splash.
You have 15 minutes and one attempt.
Also, before you commence the task you must say who you think will win the task.
Those who correctly guess the winner will win an extra five points.
Your time starts when Alex blows his whistle."
114,114,Ringtone choreography,"Choreograph a dance for you and Alex to perform to any of the following ringtones: Apex, By the Seaside, Night Owl, Playtime, Radiate, Sencha, Circuit, Crystals, Uplift, Marimba, Strum, Xylophone.
You have 30 minutes to prepare.
Most stylish dance wins.
Your time starts now."
115,115,Make the best toilet paper celebrity portrait,"Create a portrait of a celebrity using loo roll.
There is a camera above your head.
The mat beneath your feet is your canvas.
Best portrait wins.
You have 20 minutes.
Your time starts now."
116,116,Do something incredible with a pommel horse,"Do the most incredible thing with this pommel horse.
You have 10 minutes.
Your time starts when you next blink."
117,117,Make the tallest tube tower,"Make the highest tower using these tubes.
You have 100 seconds."
118,118,The cutest thing,Bring in your cutest thing.
119,119,Slide as far as possible,"Slide the furthest.
You have 20 minutes and one attempt.
Your time starts now."
120,120,Don the diving gear while maintaining eye contact and small talk,"Maintaining constant eye contact and making continuous small talk with this Swedish person, put on the wetsuit, flippers, face mask and snorkel.
Your head may not leave the Swedish person's frame at any point.
You may not move the laptop from its current position.
Fastest wins.
Your time starts when the Swedish person smiles at you."
121,121,Do incompatible things with the bathtub,"Please whisper this task to Alex.
Put as many different things in the bathtub as possible.
Most different things in the bathtub wins.
You have three minutes.
Your time starts when Alex blows his whistle.

Please whisper this task to Alex.
Seal the top of this bathtub with cling film.
Most successfully cling-filmed bathtub wins.
You have three minutes.
Your time starts when Alex blows his whistle.

Please whisper this task to Alex.
Fill the bathtub with water.
Most water in the bathtub wins.
You have three minutes.
Your time starts when Alex blows his whistle."
122,122,Throw something into something,"Throw something into something.
Most unbelievable throw wins.
You have 10 minutes to plan your throw, then 10 minutes to pull it off.
Your time starts now."
123,123,Make the longest continuous noise,"Make the longest continuous noise.
There will also be a bonus point for the best noise."
124,124,Eat as many peas as possible,"Eat as many peas as possible.
You have one minute.
Your time starts now."
125,125,The best sheep-related item,Bring in the best sheep-related item.
126,126,Pass a camel through a small gap,"Get this camel through the smallest gap.
You have 10 minutes.
Your time starts now."
127,127,Score a goal with a shopping bag,"Score the best goal with this plastic bag.
You may not handbag the bag.
Fastest and fewest kicks wins.
Most skilful goal gets a bonus point.
There is a five second time penalty for every kick.
Your time starts now."
128,128,Hide the giant beach ball,"Hide this ball from Alex.
You may not damage the ball.
You have five minutes.
Your time starts now."
129,129,Fill the giant beach ball,Inflate the ball in the Taskmaster house.
130,130,Score a goal with the giant beach ball,"With the same ball, score by getting it into a tiny goal in the Taskmaster garden."
131,131,Identify the contents of the sleeping bag,"Work out what is in the sleeping bag.
You may not look in the sleeping bag.
You may not take items out of the sleeping bag.
You have five minutes.
Your time starts now."
132,132,Prepare the items / Lift all the items in one hand,"Prepare these items for the second part of the task.

Hold all the items in one hand, and put your other hand on your head.
Fastest wins."
133,133,The best chair,Bring in the best chair.
134,134,Cross the bunting to give Alex his lunch,"Stand on one leg then continue reading.
Your raised foot must not touch the ground until the task is complete.
Bring Alex his dinner.
Every time your raised foot touches the ground, you must eat a slice of Alex’s dinner.
Most dinner delivered fastest wins.
You get a five second penalty of every slice of Alex’s dinner you eat.
Your time starts now."
135,135,Hide from Alex,"Hide from Alex.
Alex is in the caravan.
He has already started counting to 100."
136,136,Wheelie bin obstacle course,"Get this wheelie bin across the finish line.
One of you must be in the wheelie bin at all times.
The other person/people must be blindfolded at all times.
The wheelie bin rider must direct the wheelie bin driver(s) to complete the course and the five challenges within it.
Also, no-one can speak English.
Fastest wins.
Your time starts now."
137,137,Invent a new handshake,"Unveil a new handshake.
Best new handshake wins.
You have five minutes to develop your new handshake, then three minutes demonstrate your new handshake with Alex.
Your time starts now."
138,138,Make the biggest and best banana,"Make the best and biggest all-round banana out of these bananas.
You have 100 seconds, after which the Taskmaster will judge your bananas."
139,139,Open the jar of mayonnaise,"Open up this jar of mayonnaise.
The jar may not leave the lab.
Fastest wins.
Your time starts now."
140,140,The most cash,Bring in the most cash.
141,141,Create an exotic sandwich,"Make the most exotic sandwich.
You have 10 minutes to plan your exotic sandwich, then 10 minutes to construct it.
Your time starts now."
142,142,Eat your exotic sandwich,"Eat your exotic sandwich.
Fastest wins.
Your time starts now."
143,143,Strike an item the farthest,"Strike one of these objects the furthest distance with one of the other objects.
You have three strikes with your chosen object."
144,144,Do something surprising with a duck,"Do something surprising with this rubber duck.
Most surprising wins.
You have 10 minutes to plan your surprising thing, then 10 minutes to do it.
Your time starts now."
145,145,Draw the median duck,"Draw the median duck.
The median duck alone wins.
You have 100 seconds.
Winner takes all.
There will also be a bonus point for best duck picture."
146,146,The most excellent noise,Bring in something that makes the most excellent noise.
147,147,Give Alex a special cuddle,"Give Alex a special cuddle.
Most special cuddle wins.
You have 20 minutes.
Your time starts now."
148,148,Get Alex to dry land,"Get Alex onto dry land as elegantly as possible.
Alex must remain dry.
You have a maximum of 20 minutes.
Alex will hoist the anchor in two minutes."
149,149,Score a basket without your hands,"Get the basketball through the hoop.
You may not touch the basketball with your hands.
You may not wear gloves or anything reasonably be construed to be gloves.
Fastest wins.
Your time starts now."
150,150,Get some fruit into the bowl,"Get one item of fruit into the fishbowl.
You may not leave or move your chair.
You may not throw your fruit.
Fastest wins."
151,151,The hippest headwear,Bring in the hippest headwear.
152,152,Make a coconut-flinging machine,"Make the best coconut-flinging machine.
You have 20 minutes and one attempt.
Furthest coconut fling wins.
Your time starts now."
153,153,Paint a rainbow in the dark,"Paint the best rainbow scene.
You may not open the lab door until the task is complete.
You have 10 minutes.
Your time starts now."
154,154,Slice bread using something from the caravan,"There is a loaf of bread in the lab.
Slice the loaf as neatly as possible.
You may use one tool only, and that tool must be found in this caravan.
You have five minutes.
Your time starts now."
155,155,Create the greatest splat,"Achieve the greatest splat.
One teammate must be splatted for the splat to be valid.
You have 10 minutes to choose your splatting materials, and then 10 minutes to pull off your splat.
Your time starts now."
156,156,Paint your own canvas,"With your face placed firmly in your hole at all times, paint the most recognisable animal, vegetable or mineral.
You must incorporate your face in the picture.
Most accurate representation of an animal, vegetable or mineral wins.
You have three minutes."
157,157,The proudest item,Bring in the thing you are actually proudest of.
158,158,Retrieve the table tennis ball from the tube,"Remove the table tennis ball from the pipe.
The pipe must not be moved.
Fastest wins.
Your time starts now."
159,159,Make a coconut businessman,"Make this coconut look like a businessman.
You have 10 minutes to plan your coconut businessman, and then 10 minutes to make him.
Your time starts now."
160,160,"Eat one item, balance one item, throw one item","Standing behind this rope, throw one of the items into the bucket.
You may retrieve the item if it misses, but you must stand behind the rope on every throw.
You may not move the rope or the bucket.
Fastest wins.
Your time started when you opened the first task, and ends when you have completed all three tasks.

Eat one item.
Fastest wins.
Your time started when you opened the first task, and ends when you have completed all three tasks.

Balance one item on top of the red pole.
The item must remain balanced until the entire task is completed.
You may not take the pole out of the ground.
Fastest wins.
Your time started when you opened the first task, and ends when you have completed all three tasks."
161,161,Word table tennis,"Play table tennis with words.
When the table tennis ball is within striking distance, you must say a word while pretending to hit the ball with your bat.
That word must begin with the last letter of the previous word.
If you fail to say a word within the time it would take you to hit a table tennis ball, you are out.
After saying your word, you must run to the back of the opposite queue as the task progresses.
Alex will serve the first word to the youngest contestant.
Last player standing wins."
162,162,The most extraordinary souvenir,Bring in the most extraordinary souvenir.
163,163,Make marmite,"Make Marmite.
You have 10 minutes to select your ingredients, and then 10 minutes to make your Marmite.
Best Marmite wins.
Your time starts now."
164,164,Do something remarkable synchronised,"Do something remarkable synchronised.
You have a maximum of 30 minutes.
Most remarkably synchronised behaviour wins.
Your time starts now."
165,165,Blow up a balloon to the size of a cucumber,"Wearing this blindfold, blow up this balloon so that its circumference is the same as the length of a standard cucumber.
You have one minute.
Your time starts when Alex blows his whistle."
166,166,Spot the difference,"Spot the difference.
Have a look at the scene in front of you and explain exactly what's changed since you put the blindfold on.
You have two minutes.
Your time starts now."
167,167,Sneeze the fastest,"Sneeze.
Fastest wins.
Your time starts now."
168,168,Greg says...,"Stand on one leg for the longest while playing a game of “Greg says, Alex says”.
Your raised foot must remain above the balloon at all times and must not touch any other item.
Last person to pop their balloon wins."
169,169,Backthrow a picture of a Swede into a bin,"Back-throw a picture of a Swede into a bin, while looking at a picture of the Taskmaster.
Fewest attempts wins."
170,170,The most high-octane item,Bring in the most high-octane item.
171,171,Put the largest thing inside a balloon,"Put the biggest thing inside this balloon.
The balloon then must be successfully inflated, tied and bigger than your head.
You have 10 minutes.
Your time starts now."
172,172,Create a remarkable water cooler moment,"Generate a water cooler moment involving this water cooler.
Most remarkable water cooler moment wins.
You have one hour.
Your time starts now."
173,173,Text the Taskmaster every day,"Send the Taskmaster an anonymous cheeky text message every single day for the next five months.
Your time starts now."
174,174,Build a can tower & greet Alex from different countries,"Make the tallest tower of cans on this table.
Highest tower wins.
Also, whilst building your tower you must shake Alex’s hand and say you’re from a different country once every 10 seconds.
Alex will blow his whistle every 10 seconds.
Your time ends when you fail to shake Alex's hand and say you’re from a different country before Alex blows his whistle.
Your time starts when Alex blows his whistle."
175,175,Identify the Finns,"Find the Finns.
You may each ask one question to one person.
Your question must not pertain to the nationality of the people.
You must then write which number you think is a Finn.
Most accurate Finn finder wins."
176,176,The best home-made item,Bring in the best thing you have made yourself.
177,177,Balance Alex on a see-saw,"Balance Alex.
You have 10 minutes to place your counterweight at your end of the see-saw.
You may not use humans to balance Alex.
Most balanced Alex wins.
Your time starts now."
178,178,Record the most incredible PoV footage,"With this camera strapped to your head, record the most incredible footage.
You have 10 minutes to plan your footage, and 10 minutes to record it.
Your time starts now."
179,179,The golden pineapple portfolio,"Have your photo taken with this golden pineapple and other esteemed company.
Best portfolio of pineapple photos wins.
You have six months.
Your time starts now."
180,180,Light a candle using a cupcake,"Using this flame, light the candle in the caravan.
Fastest wins.
Your time starts now."
181,181,Make yourself monotone,"Make yourself monotone.
Most monotone after 100 seconds wins."
182,182,Kick yoghurt at a target,"Get the most yoghurt onto the middle of a target on a wall, with one good kick."
183,183,The most surprisingly expensive item,Bring in the most surprisingly expensive item.
184,184,Travel blindfolded for three minutes and retrace your steps,"Wearing that blindfold at all times, travel as far as possible in three minutes.
Alex will be at your side at all times, because he is a strong, independent, handsome man.
On removing the blindfold, you will then have another three minutes to retrace your steps to your starting position.
Longest successful retracing of steps wins."
185,185,Coconut bobsleigh,"Muster the biggest coconut bobsleigh team.
Most coconut bobsleigh team members still on board when the bobsleigh comes to a halt wins.
You may only use items in the caravan to secure your coconuts.
You will be disqualified if you use any item used by another contestant.
You have 20 minutes and one attempt.
Your time starts now."
186,186,Vote for who should receive five points,"Vote for which contestant you think should receive five bonus points.
The contestant who receives the most votes will receive five bonus points.
You may vote for yourself.
If however, you vote for yourself and fail to receive most votes, you will lose two points."
187,187,Make a funny flick book,"Make a funny little flip-book film.
The mat beneath your feet is the paper.
The camera above your head will take photos of your paper.
Funniest little flip-book film wins.
You have one hour.
Now flip the flip-book."
188,188,Zipwire items to the Taskmaster,"Send the most things to the Taskmaster.
Items must travel via zip-line and land on your segment of the Taskmaster’s table.
You may not move from your current position.
You have 100 seconds."
189,189,The most awkward item to take home,Bring in the most awkward item for somebody else to take home.
190,190,Transport a coconut as far as possible,"Get this coconut as far away from here as possible.
You may not touch the ground.
You may not step on anything more than once.
The coconut may not travel by car.
You have 20 minutes.
Your time starts now."
191,191,Create the best graph,"Create the best graph.
You have 20 minutes.
Your time starts now."
192,192,Make the most fish puns,"Make the most fish puns.
Most fish puns wins.
You have one minute.
Your time starts now."
193,193,Write and perform a song about a stranger,"Write and perform a song about this woman.
Best song wins.
You have five minutes to talk to the woman, then 30 minutes to write her a song.
Your time starts now."
194,194,Throw an egg through a basketball hoop,"Throw your egg through the hoop and catch it as many times as possible.
You may not touch the net or post.
Most successful hoop-catch combo wins.
You have 100 seconds and one egg."
195,195,The most embarrassing item,Bring in the thing that causes you the most embarrassment.
196,196,Throw an exercise ball into a bath or put the coconuts in a trolley,"Either throw an exercise ball into the bath, or put all the coconuts into the shopping trolley.
You must throw the exercise ball from under a roof, and you may not move the bath.
You must not touch any of the coconuts with your hands, and you may not move the shopping trolley.
Fastest wins.
Your time starts now."
197,197,Blow something substantial off a table,"Blow something substantial off this table.
Most substantial thing blown off this table wins.
You have five minutes to select the item you think you can blow off the table and place it on the centre circle, then one minute to blow it off the table.
Your time starts now."
198,198,Perform a miracle,"Perform a miracle.
Most miraculous wins.
You have one hour.
Your time starts now."
199,199,The second longest T-word,"Write down a word beginning with “T” every time Alex blows his whistle.
The person with the second-longest word takes a step down.
Whoever writes the longest word misses a turn.
If you write down one of Alex’s special words you advance an extra step.
First to reach the floor wins."
200,200,Sing along to the Taskmaster theme tune,"Sing along to the Taskmaster theme tune.
Most powerful and champion-like wins.
Your time starts now."
201,201,The best thing,Bring in the best thing.
202,202,Find out what’s in the briefcase,"What's in the case? Fastest wins.
Your time starts now."
203,203,Make a delicious mask,"Make a mask that tastes delicious and looks great.
Your mask must be entirely edible and entirely wearable.
You have 10 minutes to plan your mask and 20 minutes to make it.
You then must wear your mask so that Alex can taste it.
Most delicious and great-looking mask wins.
Your time starts now."
204,204,Make a mess and then clean it up,"Make the biggest mess and completely clean it up.
You have 10 minutes.
Your time starts now."
205,205,Record the most steps on your pedometers,"Record the highest number of steps on your pedometers.
You may not touch your blindfold.
You have 100 seconds."
206,206,The best liquid,Bring in the best liquid.
207,207,Perform the best wheelbarrow stunt,"Perform the best stunt using this wheelbarrow.
You have one hour.
Your time starts now."
208,208,Make the tallest lemon tower,"Make the highest tower using only what is in the bowl.
You may wield the knife a maximum of five times.
You have 10 minutes.
Your time starts now."
209,209,Return to the house wearing a hat,"Wearing a hat, kiss the portrait of the Taskmaster in the Taskmaster’s house.
The hat must not come from the grounds of the Taskmaster’s house.
Closest to 30 minutes wins.
Your time starts now."
210,210,Sort the objects by size using your feet,"Sort the objects under the table in order of size.
You must keep your elbows on the table top and your head in your hands at all times.
The smallest object should be on your right, the largest object on your left, and they must all be in line under your table.
Also, there must be no fruit in your line-up.
If there is any fruit left under your table, you will be disqualified.
You have 100 seconds."
211,211,Spin around and kick a football at the caravan,"Spin around as many times as possible and kick a football at the caravan.
Most spins wins.
If you miss the caravan, you are disqualified."
212,212,The best non-living hairy thing,Bring in the best hairy thing which isn’t alive.
