id,task,task_label,team,team_label,win
102,481,Complete the best performance of a specific song,22,"Johnny, Katherine and Mawaan",0
103,497,Have an argument,25,Lee and Mike,1
104,497,Have an argument,26,"Charlotte, Jamali and Sarah",0
105,504,Act out nursery rhymes,25,Lee and Mike,1
106,504,Act out nursery rhymes,26,"Charlotte, Jamali and Sarah",0
107,507,Put the bag of salt onto that table,25,Lee and Mike,0
108,507,Put the bag of salt onto that table,26,"Charlotte, Jamali and Sarah",1
109,514,Slap and tong,25,Lee and Mike,0
110,514,Slap and tong,26,"Charlotte, Jamali and Sarah",1
111,518,Vandalise a wall creatively,25,Lee and Mike,1
112,518,Vandalise a wall creatively,26,"Charlotte, Jamali and Sarah",0
113,525,Get out of the front gate,25,Lee and Mike,1
114,525,Get out of the front gate,26,"Charlotte, Jamali and Sarah",0
115,529,Draw the best picture of a British animal,25,Lee and Mike,1
116,529,Draw the best picture of a British animal,26,"Charlotte, Jamali and Sarah",0
117,540,Direct a teammate into the red circle,25,Lee and Mike,1
118,540,Direct a teammate into the red circle,26,"Charlotte, Jamali and Sarah",0
119,548,Scale the mountain,27,Alan and Victoria,0
120,548,Scale the mountain,28,"Desiree, Guz and Morgana",1
121,556,Convey objects using shadows,27,Alan and Victoria,0
122,556,Convey objects using shadows,28,"Desiree, Guz and Morgana",1
123,560,Solve the riddle,27,Alan and Victoria,1
124,560,Solve the riddle,28,"Desiree, Guz and Morgana",0
125,564,Get the most balls in the net,27,Alan and Victoria,0
126,564,Get the most balls in the net,28,"Desiree, Guz and Morgana",0
127,579,Play and commentate on a socially-distanced sport,27,Alan and Victoria,1
128,579,Play and commentate on a socially-distanced sport,28,"Desiree, Guz and Morgana",1
129,587,Duck-slide,27,Alan and Victoria,0
130,587,Duck-slide,28,"Desiree, Guz and Morgana",1
131,590,Describe the Taskmaster / Chocolate button / Guess the tasks,27,Alan and Victoria,1
132,590,Describe the Taskmaster / Chocolate button / Guess the tasks,28,"Desiree, Guz and Morgana",0
133,606,Score an exercise ball hat-trick using a buggy,29,Ardal and Chris,1
134,606,Score an exercise ball hat-trick using a buggy,30,"Bridget, Judi and Sophie",0
135,612,Face leg or other leg?,29,Ardal and Chris,0
136,612,Face leg or other leg?,30,"Bridget, Judi and Sophie",1
137,615,Give Alex the best stag minute,29,Ardal and Chris,1
138,615,Give Alex the best stag minute,30,"Bridget, Judi and Sophie",0
139,633,Deliver a cocktail to Greg,29,Ardal and Chris,0
140,633,Deliver a cocktail to Greg,30,"Bridget, Judi and Sophie",1
141,641,Write down things that fit the category,29,Ardal and Chris,1
142,641,Write down things that fit the category,30,"Bridget, Judi and Sophie",0
143,650,Record a multi-track song about your team,29,Ardal and Chris,0
144,650,Record a multi-track song about your team,30,"Bridget, Judi and Sophie",1
145,661,Create the best picture of a bird,31,Munya and Sarah,1
146,661,Create the best picture of a bird,32,"Dara, Fern and John",0
147,668,Make the Taskmaster say your words,31,Munya and Sarah,0
148,668,Make the Taskmaster say your words,32,"Dara, Fern and John",1
149,670,Put the most sand in the shopping trolley,31,Munya and Sarah,1
150,670,Put the most sand in the shopping trolley,32,"Dara, Fern and John",1
151,681,Perform the best routine to this music,31,Munya and Sarah,0
152,681,Perform the best routine to this music,32,"Dara, Fern and John",1
153,683,Communicate animals by saying letters and doing impressions,31,Munya and Sarah,1
154,683,Communicate animals by saying letters and doing impressions,32,"Dara, Fern and John",1
155,691,Get this feather into the bath,31,Munya and Sarah,0
156,691,Get this feather into the bath,32,"Dara, Fern and John",1
157,695,Communicate an instruction in a secret language,31,Munya and Sarah,1
158,695,Communicate an instruction in a secret language,32,"Dara, Fern and John",0
159,698,Guess the length of the extendible item,31,Munya and Sarah,1
160,698,Guess the length of the extendible item,32,"Dara, Fern and John",0
161,708,Sculpt your team,31,Munya and Sarah,1
162,708,Sculpt your team,32,"Dara, Fern and John",0
163,723,Build a bridge over the red green for this potato,33,Frankie and Ivo,1
164,723,Build a bridge over the red green for this potato,34,"Jenny, Kiell and Mae",0
165,729,Perform a slow-motion fight scene,33,Frankie and Ivo,1
166,729,Perform a slow-motion fight scene,34,"Jenny, Kiell and Mae",0
167,739,Salvage the most spoons,33,Frankie and Ivo,0
168,739,Salvage the most spoons,34,"Jenny, Kiell and Mae",1
169,740,Stuff your team-mate's waders,33,Frankie and Ivo,0
170,740,Stuff your team-mate's waders,34,"Jenny, Kiell and Mae",1
171,748,Free yourselves and have a team hug,33,Frankie and Ivo,0
172,748,Free yourselves and have a team hug,34,"Jenny, Kiell and Mae",1
173,755,Use the scratching post to remove balls from your suit,33,Frankie and Ivo,0
174,755,Use the scratching post to remove balls from your suit,34,"Jenny, Kiell and Mae",1
175,757,Make these things the same colour,33,Frankie and Ivo,1
176,757,Make these things the same colour,34,"Jenny, Kiell and Mae",1
177,764,Perform a lullaby for a profession,33,Frankie and Ivo,0
178,764,Perform a lullaby for a profession,34,"Jenny, Kiell and Mae",1
179,769,Cross the finish line while connected to your team,35,Sue and Susan,0
180,769,Cross the finish line while connected to your team,36,"Julian, Lucy and Sam",1
181,782,Human war boats,35,Sue and Susan,0
182,782,Human war boats,36,"Julian, Lucy and Sam",1
183,785,Complete all the tasks as a team,35,Sue and Susan,0
184,785,Complete all the tasks as a team,36,"Julian, Lucy and Sam",1
185,796,Recreate the garage scene in the lab,35,Sue and Susan,1
186,796,Recreate the garage scene in the lab,36,"Julian, Lucy and Sam",1
187,809,Mime the proverbs,35,Sue and Susan,1
188,809,Mime the proverbs,36,"Julian, Lucy and Sam",0
