id,episode,episode_label,coiner,coiner_label,task,task_label
79,79,I hate your trainers.,2,Greg Davies,455,Do something out of character with £20
80,80,Hippopotamus.,,,462,Draw animals using straight lines
81,81,Legit glass.,56,Mawaan Rizwan,466,Make the best and longest-lasting marble run
82,82,Moments of silence.,2,Greg Davies,470,Fill the cup to overflowing without touching the red green
83,83,Air Horn Andy.,2,Greg Davies,477,Work out how many balls are in the basket
84,84,Dog meat trifle.,2,Greg Davies,481,Complete the best performance of a specific song
85,85,The fastest duck.,1,Alex Horne,487,Sculpt the scene on the other side of the wall
86,86,It's not your fault.,66,Mike Wozniak,493,Deliver all the plates to Alex
87,87,The Lure of the Treacle Puppies.,2,Greg Davies,498,Make the house haunted
88,88,Run up a tree to the moon.,2,Greg Davies,501,Make the sauna stones hiss
89,89,Premature conker.,66,Mike Wozniak,509,Identify the contents of the bowl
90,90,Slap and tong.,2,Greg Davies,514,Slap and tong
91,91,Absolute casserole.,66,Mike Wozniak,516,Fart
92,92,You've got no chutzpah.,66,Mike Wozniak,523,Complete the most tasks
93,93,An orderly species.,2,Greg Davies,529,Draw the best picture of a British animal
94,94,Mr Octopus and Pottyhands.,2,Greg Davies,535,Appear as different as possible in four photos
95,95,Activate Jamali.,67,Sarah Kendall,540,Direct a teammate into the red circle
96,96,An imbalance in the poppability.,70,Guz Khan,545,Pop the balloon
97,97,Oatmeal and death.,1,Alex Horne,549,Work out the contents of the bags
98,98,The end of the franchise.,2,Greg Davies,555,Film a thrilling sequence with a welly-cam
99,99,The customised inhaler.,72,Victoria Coren Mitchell,560,Solve the riddle
100,100,Croissants is croissants.,1,Alex Horne,563,Sit on a cake
101,101,A chair in a sweet.,72,Victoria Coren Mitchell,570,Sit on the red chair in the secret tower
102,102,The integrity of the product.,72,Victoria Coren Mitchell,574,Write and perform a 30-second jingle
103,103,A couple of Ethels.,70,Guz Khan,578,Make a popcorn necklace and do the right thing
104,104,Nothing matters.,1,Alex Horne,586,Get goosebumps
105,105,Caring Uncle Minpict.,72,Victoria Coren Mitchell,590,Describe the Taskmaster / Chocolate button / Guess the tasks
106,106,Basic recipe 28.,73,Adrian Chiles,594,Daringly put the egg in the eggcup
107,107,The noise that blue makes.,78,Ardal O'Hanlon,600,Create a lipstick portrait of the Taskmaster
108,108,Birdy hand finger.,79,Bridget Christie,607,Draw and describe the object under your table
109,109,I think I've got this.,81,Judi Love,610,Make all the things happen at the same time
110,110,Shoe Who.,81,Judi Love,614,Guess Shoe
111,111,Having a little chuckle.,78,Ardal O'Hanlon,624,Pop balls out of your hole
112,112,The 75th question.,1,Alex Horne,629,Correctly guess the person's first name
113,113,Heg.,81,Judi Love,633,Deliver a cocktail to Greg
114,114,You tuper super.,81,Judi Love,638,Learn Swedish
115,115,It might be wind.,78,Ardal O'Hanlon,643,Get the most surprising thing delivered
116,116,The House Queens.,81,Judi Love,650,Record a multi-track song about your team
117,117,The Alpine Darling.,85,Liza Tarbuck,655,Create a wonderful seaside photo cut-out board
118,118,"The chassis, the wings.",90,John Kearns,660,Land loo roll in the toilet
119,119,Enormous hugeness.,88,Dara Ó Briain,668,Make the Taskmaster say your words
120,120,Dafty in the middle.,89,Fern Brady,670,Put the most sand in the shopping trolley
121,121,Crumbs in my bralette.,92,Sarah Millican,677,Write a classic song incorporating five wonderful words
122,122,Chip Biffington.,88,Dara Ó Briain,681,Perform the best routine to this music
123,123,Long-legged lobster.,2,Greg Davies,688,Paint a unicorn using your head brush
124,124,The system of endless plates.,89,Fern Brady,691,Get this feather into the bath
125,125,The one that bats do.,89,Fern Brady,696,Pin an alluring tail on the alluring animal
126,126,A new business end.,90,John Kearns,703,Paint a self portrait with a selected brush on a selected canvas
127,127,Did I meet these potatoes before?,89,Fern Brady,709,"Throw an object, hide an object, and place it on the barrel"
128,128,That's a swizz.,94,Carol Vorderman,714,Collect carp pellets in a fish bowl
129,129,The curse of politeness.,99,Ivo Graham,718,Put a ball of string on the cushion
130,130,Trapped in a loveless marriage.,98,Frankie Boyle,724,Achieve an impressive effect with a single breath
131,131,I love to squander promise.,99,Ivo Graham,728,Catch the potatoes in the potato hat
132,132,How heavy is the water?,101,Kiell Smith-Bynoe,733,Make the fastest egg boat
133,133,Old Honkfoot.,2,Greg Davies,738,Musical Simon Says
134,134,It's my milk now.,99,Ivo Graham,744,Bash the big bell with the bowling ball
135,135,Schrödinger's egg.,98,Frankie Boyle,747,Rotate the pulper wheel without pulping the egg
136,136,100% Bosco.,102,Mae Martin,753,Repurpose an umbrella
137,137,A show about pedantry.,98,Frankie Boyle,757,Make these things the same colour
138,138,A yardstick for failure.,99,Ivo Graham,762,Fill the glass up to the line
139,139,The natural friends.,2,Greg Davies,769,Cross the finish line while connected to your team
140,140,Hell is here.,107,Susan Wokoma,774,Make a cheeky picture using nails and wire
141,141,Languidly.,103,Julian Clary,780,Get underneath the most unique things
142,142,Dynamite chicks.,105,Sam Campbell,785,Complete all the tasks as a team
143,143,Skateboard Division.,105,Sam Campbell,791,Make a cool but scary googly-eyed gang
144,144,Brother Alex.,104,Lucy Beaumont,797,"Present a powerful piece called ""Heads, Shoulders, Knees and Toes"""
145,145,I'm off to find a robin.,103,Julian Clary,803,Get three balls on your hat using litter-pickers
146,146,Never packed a boot.,104,Lucy Beaumont,807,Complete the fortune trail
