id,task,task_label,winner,winner_label,team,live
62,54,Throw rabbits into a hat,11,Katherine Ryan,0,1
63,55,The coolest blue item,10,Jon Richardson,0,0
64,56,Rescue Patatas from the tree,11,Katherine Ryan,0,0
65,57,Conceal a pineapple on your person,10,Jon Richardson,0,0
66,58,Set a task / Guess who set the tasks,10,Jon Richardson,0,0
67,59,Construct something for the Taskmaster,8,Doc Brown,1,0
68,59,Construct something for the Taskmaster,9,Joe Wilkinson,1,0
69,59,Construct something for the Taskmaster,11,Katherine Ryan,1,0
70,60,Build the tallest tower using potato products,8,Doc Brown,0,1
71,61,The best piece of memorabilia,12,Richard Osman,0,0
72,62,Move items across a stream,9,Joe Wilkinson,0,0
73,63,Create a stop-motion film starring a potato,10,Jon Richardson,1,0
74,63,Create a stop-motion film starring a potato,12,Richard Osman,1,0
75,64,Build a bridge for the potato,10,Jon Richardson,0,0
76,65,"Put on gloves, eat a banana, put on a tie, and clap",12,Richard Osman,0,1
77,66,The most flamboyant clock,17,Sara Pascoe,0,0
78,67,Reach the microwave in the fewest steps,16,Rob Beckett,0,0
79,68,Propel a pea along a red carpet,13,Al Murray,0,0
80,69,Make the best snowman,14,Dave Gorman,0,0
81,70,Balance swedes on a Swede,13,Al Murray,0,1
82,71,The heaviest shoebox-sized item,14,Dave Gorman,0,0
83,72,Surprise Alex,16,Rob Beckett,0,0
84,73,Release Alex,16,Rob Beckett,1,0
85,73,Release Alex,17,Sara Pascoe,1,0
86,74,An upside-down condiment self-portrait,13,Al Murray,0,0
87,75,Burst all of the balloons,16,Rob Beckett,0,0
88,76,Unravel the tape,13,Al Murray,0,1
89,77,The best battery-operated item,16,Rob Beckett,0,0
90,78,Fill an eggcup with sweat,15,Paul Chowdhry,0,0
91,79,Make the best domino rally,15,Paul Chowdhry,0,0
92,80,Buy a gift for the Taskmaster,14,Dave Gorman,0,0
93,81,Create the best flag meal,14,Dave Gorman,0,0
94,82,Anchor balloons using bread,17,Sara Pascoe,0,1
95,83,The shiniest thing,15,Paul Chowdhry,0,0
96,84,Spread your clothes far and wide,13,Al Murray,0,0
97,85,Find out the lying old man’s occupation,13,Al Murray,0,0
98,86,Create an impressive special effect,13,Al Murray,1,0
99,86,Create an impressive special effect,14,Dave Gorman,1,0
100,86,Create an impressive special effect,15,Paul Chowdhry,1,0
101,87,Cover yourself in sticky notes,16,Rob Beckett,0,1
102,89,The most handsome relative,14,Dave Gorman,0,0
103,90,Move water from one bucket to another,13,Al Murray,0,0
104,91,Play charades across a river,13,Al Murray,1,0
105,91,Play charades across a river,14,Dave Gorman,1,0
106,91,Play charades across a river,15,Paul Chowdhry,1,0
107,92,Create an impressive time-lapse or slow motion film,16,Rob Beckett,0,0
108,92,Create an impressive time-lapse or slow motion film,17,Sara Pascoe,0,0
109,93,The lowest unique number of doughnuts,16,Rob Beckett,0,1
110,94,The most interesting vegetable autograph,22,Noel Fielding,0,0
111,95,Beautifully destroy a cake,19,Joe Lycett,0,0
112,96,Draw a blind portrait,22,Noel Fielding,0,0
113,97,Fell all the ducks,18,Hugh Dennis,0,0
114,98,Make the most fruit juice,21,Mel Giedroyc,0,1
115,99,The most boastful item,22,Noel Fielding,0,0
116,100,Keep the basketball on the treadmill,18,Hugh Dennis,0,0
117,101,Paint a portrait of the Taskmaster without touching the red mat,22,Noel Fielding,0,0
118,102,Get the flour onto the target,18,Hugh Dennis,1,0
119,102,Get the flour onto the target,21,Mel Giedroyc,1,0
120,103,Put an egg in an egg cup without touching either,20,Lolly Adefope,0,0
121,104,Make the longest balloon chain,21,Mel Giedroyc,0,1
122,105,The best subscription,22,Noel Fielding,0,0
123,106,Camouflage yourself,22,Noel Fielding,0,0
124,107,Make a Taskmaster movie trailer,18,Hugh Dennis,1,0
125,107,Make a Taskmaster movie trailer,21,Mel Giedroyc,1,0
126,108,Persuade three animals to stand on the mat,19,Joe Lycett,0,0
127,109,Transfer water from one fishbowl to another,19,Joe Lycett,0,0
128,110,Musical words,19,Joe Lycett,0,1
129,111,Decant wine from one bottle to another,19,Joe Lycett,0,0
130,112,The most surprising picture of yourself,20,Lolly Adefope,0,0
131,113,Make the highest splash,22,Noel Fielding,0,0
132,114,Ringtone choreography,21,Mel Giedroyc,0,0
133,114,Ringtone choreography,22,Noel Fielding,0,0
134,115,Make the best toilet paper celebrity portrait,22,Noel Fielding,0,0
135,116,Do something incredible with a pommel horse,18,Hugh Dennis,0,0
136,116,Do something incredible with a pommel horse,21,Mel Giedroyc,0,0
137,117,Make the tallest tube tower,18,Hugh Dennis,0,1
138,117,Make the tallest tube tower,21,Mel Giedroyc,0,1
139,118,The cutest thing,20,Lolly Adefope,0,0
140,119,Slide as far as possible,21,Mel Giedroyc,0,0
141,120,Don the diving gear while maintaining eye contact and small talk,20,Lolly Adefope,0,0
142,121,Do incompatible things with the bathtub,18,Hugh Dennis,1,0
143,121,Do incompatible things with the bathtub,21,Mel Giedroyc,1,0
144,122,Throw something into something,21,Mel Giedroyc,0,0
145,123,Make the longest continuous noise,19,Joe Lycett,0,1
146,124,Eat as many peas as possible,18,Hugh Dennis,0,0
147,125,The best sheep-related item,20,Lolly Adefope,0,0
148,126,Pass a camel through a small gap,21,Mel Giedroyc,0,0
149,127,Score a goal with a shopping bag,18,Hugh Dennis,0,0
150,131,Identify the contents of the sleeping bag,19,Joe Lycett,0,0
151,131,Identify the contents of the sleeping bag,20,Lolly Adefope,0,0
152,131,Identify the contents of the sleeping bag,22,Noel Fielding,0,0
153,132,Prepare the items / Lift all the items in one hand,22,Noel Fielding,0,1
154,133,The best chair,18,Hugh Dennis,0,0
155,134,Cross the bunting to give Alex his lunch,22,Noel Fielding,0,0
156,135,Hide from Alex,20,Lolly Adefope,0,0
157,136,Wheelie bin obstacle course,19,Joe Lycett,1,0
158,136,Wheelie bin obstacle course,20,Lolly Adefope,1,0
159,136,Wheelie bin obstacle course,22,Noel Fielding,1,0
160,137,Invent a new handshake,19,Joe Lycett,0,0
161,138,Make the biggest and best banana,20,Lolly Adefope,0,1
162,139,Open the jar of mayonnaise,19,Joe Lycett,0,0
163,140,The most cash,20,Lolly Adefope,0,0
164,141,Create an exotic sandwich,22,Noel Fielding,0,0
165,142,Eat your exotic sandwich,18,Hugh Dennis,0,0
166,143,Strike an item the farthest,22,Noel Fielding,0,0
167,144,Do something surprising with a duck,21,Mel Giedroyc,0,0
168,145,Draw the median duck,21,Mel Giedroyc,0,1
169,146,The most excellent noise,25,Mark Watson,0,0
170,147,Give Alex a special cuddle,24,Bob Mortimer,0,0
171,148,Get Alex to dry land,26,Nish Kumar,0,0
172,149,Score a basket without your hands,24,Bob Mortimer,0,0
173,150,Get some fruit into the bowl,25,Mark Watson,0,1
174,151,The hippest headwear,27,Sally Phillips,0,0
175,152,Make a coconut-flinging machine,24,Bob Mortimer,0,0
176,153,Paint a rainbow in the dark,23,Aisling Bea,0,0
177,154,Slice bread using something from the caravan,26,Nish Kumar,0,0
178,155,Create the greatest splat,25,Mark Watson,1,0
179,155,Create the greatest splat,26,Nish Kumar,1,0
180,156,Paint your own canvas,23,Aisling Bea,0,1
181,156,Paint your own canvas,25,Mark Watson,0,1
182,156,Paint your own canvas,26,Nish Kumar,0,1
183,156,Paint your own canvas,27,Sally Phillips,0,1
184,157,The proudest item,24,Bob Mortimer,0,0
185,158,Retrieve the table tennis ball from the tube,24,Bob Mortimer,0,0
186,159,Make a coconut businessman,26,Nish Kumar,0,0
187,160,"Eat one item, balance one item, throw one item",27,Sally Phillips,0,0
188,161,Word table tennis,23,Aisling Bea,0,1
189,162,The most extraordinary souvenir,23,Aisling Bea,0,0
190,163,Make marmite,24,Bob Mortimer,0,0
191,164,Do something remarkable synchronised,23,Aisling Bea,1,0
192,164,Do something remarkable synchronised,24,Bob Mortimer,1,0
193,164,Do something remarkable synchronised,27,Sally Phillips,1,0
194,165,Blow up a balloon to the size of a cucumber,25,Mark Watson,0,0
195,166,Spot the difference,23,Aisling Bea,0,0
196,167,Sneeze the fastest,24,Bob Mortimer,0,0
197,168,Greg says...,23,Aisling Bea,0,1
198,169,Backthrow a picture of a Swede into a bin,25,Mark Watson,0,0
199,170,The most high-octane item,27,Sally Phillips,0,0
200,171,Put the largest thing inside a balloon,23,Aisling Bea,0,0
201,172,Create a remarkable water cooler moment,27,Sally Phillips,0,0
202,174,Build a can tower & greet Alex from different countries,24,Bob Mortimer,0,0
203,174,Build a can tower & greet Alex from different countries,25,Mark Watson,0,0
204,175,Identify the Finns,25,Mark Watson,0,1
205,176,The best home-made item,24,Bob Mortimer,0,0
206,177,Balance Alex on a see-saw,26,Nish Kumar,0,0
207,178,Record the most incredible PoV footage,27,Sally Phillips,0,0
208,180,Light a candle using a cupcake,24,Bob Mortimer,0,0
209,181,Make yourself monotone,23,Aisling Bea,0,1
210,182,Kick yoghurt at a target,27,Sally Phillips,0,0
211,183,The most surprisingly expensive item,25,Mark Watson,0,0
212,184,Travel blindfolded for three minutes and retrace your steps,24,Bob Mortimer,0,0
213,185,Coconut bobsleigh,23,Aisling Bea,0,0
214,186,Vote for who should receive five points,27,Sally Phillips,0,0
215,187,Make a funny flick book,24,Bob Mortimer,0,0
216,187,Make a funny flick book,26,Nish Kumar,0,0
217,188,Zipwire items to the Taskmaster,24,Bob Mortimer,0,1
218,189,The most awkward item to take home,25,Mark Watson,0,0
219,190,Transport a coconut as far as possible,27,Sally Phillips,0,0
220,191,Create the best graph,26,Nish Kumar,0,0
221,193,Write and perform a song about a stranger,25,Mark Watson,1,0
222,193,Write and perform a song about a stranger,26,Nish Kumar,1,0
223,194,Throw an egg through a basketball hoop,24,Bob Mortimer,0,1
224,195,The most embarrassing item,29,Josh Widdicombe,0,0
225,196,Throw an exercise ball into a bath or put the coconuts in a trolley,31,Noel Fielding,0,0
226,197,Blow something substantial off a table,32,Rob Beckett,0,0
227,198,Perform a miracle,29,Josh Widdicombe,0,0
228,198,Perform a miracle,30,Katherine Ryan,0,0
229,199,The second longest T-word,31,Noel Fielding,0,1
230,201,The best thing,32,Rob Beckett,0,0
231,202,Find out what’s in the briefcase,31,Noel Fielding,0,0
232,203,Make a delicious mask,28,Bob Mortimer,0,0
233,204,Make a mess and then clean it up,30,Katherine Ryan,0,0
234,205,Record the most steps on your pedometers,30,Katherine Ryan,0,1
235,206,The best liquid,37,Tim Vine,0,0
236,207,Perform the best wheelbarrow stunt,33,Alice Levine,0,0
237,208,Make the tallest lemon tower,36,Russell Howard,0,0
238,209,Return to the house wearing a hat,33,Alice Levine,0,0
239,210,Sort the objects by size using your feet,35,Liza Tarbuck,0,1
240,211,Spin around and kick a football at the caravan,33,Alice Levine,0,0
241,212,The best non-living hairy thing,37,Tim Vine,0,0
242,213,Get the highest darts score,35,Liza Tarbuck,0,0
243,214,Keep Alex dry,33,Alice Levine,1,0
244,214,Keep Alex dry,36,Russell Howard,1,0
245,215,Take a picture of people holding eggs,35,Liza Tarbuck,0,0
246,216,Take the wind-up man on an adventure,34,Asim Chaudhry,0,0
247,218,The most magnificent day trip,37,Tim Vine,0,0
248,219,Write a grown-up bedtime story,35,Liza Tarbuck,0,0
249,220,Make something spin for the longest,35,Liza Tarbuck,0,0
250,221,Identify the baby food flavours,34,Asim Chaudhry,0,0
251,222,Catch the most socks,36,Russell Howard,0,1
252,223,The most thought-provoking thing,36,Russell Howard,0,0
253,224,Do something manly with a cardboard box,35,Liza Tarbuck,0,0
254,225,Have the most fun in 3 minutes,34,Asim Chaudhry,1,0
255,225,Have the most fun in 3 minutes,35,Liza Tarbuck,1,0
256,225,Have the most fun in 3 minutes,37,Tim Vine,1,0
257,226,Exactly recreate your 3 minutes of fun,33,Alice Levine,1,0
258,226,Exactly recreate your 3 minutes of fun,34,Asim Chaudhry,1,0
259,226,Exactly recreate your 3 minutes of fun,35,Liza Tarbuck,1,0
260,226,Exactly recreate your 3 minutes of fun,36,Russell Howard,1,0
261,226,Exactly recreate your 3 minutes of fun,37,Tim Vine,1,0
262,227,Make the best squirty cream art,35,Liza Tarbuck,0,0
263,228,Remove the banknote from under the glass,36,Russell Howard,0,0
264,229,Shake hands with the Taskmaster without revealing your identity,33,Alice Levine,0,1
265,230,The sturdiest thing,35,Liza Tarbuck,0,0
266,231,Work out the length of a piece of string,37,Tim Vine,0,0
267,232,Remove the tablecloth from underneath the eggs,33,Alice Levine,0,0
268,232,Remove the tablecloth from underneath the eggs,34,Asim Chaudhry,0,0
269,232,Remove the tablecloth from underneath the eggs,35,Liza Tarbuck,0,0
270,232,Remove the tablecloth from underneath the eggs,36,Russell Howard,0,0
271,232,Remove the tablecloth from underneath the eggs,37,Tim Vine,0,0
272,233,Identify the link and do it 100 times,34,Asim Chaudhry,1,0
273,233,Identify the link and do it 100 times,35,Liza Tarbuck,1,0
274,233,Identify the link and do it 100 times,37,Tim Vine,1,0
275,234,Pull off an elaborate snooker trick shot,37,Tim Vine,0,0
276,235,Throw eggs onto a shelf,35,Liza Tarbuck,0,1
277,236,The best invention,37,Tim Vine,0,0
278,237,Make the best snow globe,36,Russell Howard,0,0
279,238,Knock over the ducks without leaving the carpet,34,Asim Chaudhry,1,0
280,238,Knock over the ducks without leaving the carpet,35,Liza Tarbuck,1,0
281,238,Knock over the ducks without leaving the carpet,37,Tim Vine,1,0
282,239,Make the best announcement,34,Asim Chaudhry,0,0
283,240,Make a parachute for a wooden spoon,35,Liza Tarbuck,0,0
284,241,Predict how many words you can list for a category,33,Alice Levine,0,1
285,242,The scariest thing from the kitchen,36,Russell Howard,0,0
286,243,Knock the bails off the stumps,36,Russell Howard,0,0
287,244,Draw the contents of the box,35,Liza Tarbuck,0,0
288,245,List and then mime obscure animals,33,Alice Levine,1,0
289,245,List and then mime obscure animals,36,Russell Howard,1,0
290,246,Make and eat a pancake with objects tucked into your sweatband,35,Liza Tarbuck,0,0
291,246,Make and eat a pancake with objects tucked into your sweatband,36,Russell Howard,0,0
292,246,Make and eat a pancake with objects tucked into your sweatband,37,Tim Vine,0,0
293,247,Roll eggs to the centre of the target,34,Asim Chaudhry,0,1
294,248,The most interesting footwear,34,Asim Chaudhry,0,0
295,249,Put something surprising inside a chocolate egg,33,Alice Levine,0,0
296,250,Find out what you have in common with a stranger,34,Asim Chaudhry,0,0
297,251,Make a join-the-dots image using stiletto heels,37,Tim Vine,0,0
298,252,Stick plasters to the correct body parts,36,Russell Howard,0,1
299,253,Quickly receive a text message,36,Russell Howard,0,0
300,254,The most pleasing cat-sized thing,37,Tim Vine,0,0
301,255,Make the biggest bubble and burst it with your nose,33,Alice Levine,0,0
302,256,Perform a number from the Taskmaster musical,33,Alice Levine,1,0
303,256,Perform a number from the Taskmaster musical,36,Russell Howard,1,0
304,257,Make an outfit with stationery / Guess what pun Tim will make,37,Tim Vine,0,0
305,258,Make a plastic bag as heavy as possible,35,Liza Tarbuck,0,0
306,259,Hold the most points above the ground,36,Russell Howard,0,1
307,260,The least appropriate wedding accessory,34,Asim Chaudhry,0,0
308,261,Knock over the fewest bowling pins,36,Russell Howard,0,0
309,262,Blow out a candle from a distance,34,Asim Chaudhry,0,0
310,263,Declare your love for the Taskmaster,34,Asim Chaudhry,0,0
311,263,Declare your love for the Taskmaster,35,Liza Tarbuck,0,0
312,264,Pick numbers higher and lower than the people next to you,33,Alice Levine,0,1
313,265,The thing most people want to touch,41,Phil Wang,0,0
314,266,Make the best quick-change outfit,40,Kerry Godliman,0,0
315,267,Build the tallest cardboard box tower,42,Rhod Gilbert,0,0
316,268,Work out the perimeter of the caravan in beans,40,Kerry Godliman,0,0
317,269,Make the most exotic fruit hat,42,Rhod Gilbert,0,1
318,270,The boldest belt,42,Rhod Gilbert,0,0
319,271,Write a ten word story while running,38,James Acaster,0,0
320,272,Paint a blindfolded still life,38,James Acaster,1,0
321,272,Paint a blindfolded still life,41,Phil Wang,1,0
322,272,Paint a blindfolded still life,42,Rhod Gilbert,1,0
323,273,Predict what another contestant will do with an object,39,Jessica Knappett,0,0
324,274,Draw the biggest and best circle,40,Kerry Godliman,0,0
325,275,Build a tower of cans within a hoop,40,Kerry Godliman,0,1
326,276,Guess the number on Alex’s forearm,40,Kerry Godliman,0,1
327,277,The best thing from the 90s,40,Kerry Godliman,0,0
328,278,Raise Alex’s heart rate,39,Jessica Knappett,0,0
329,279,Make the best noise,41,Phil Wang,0,0
330,280,Get the ball into the hole by striking it,42,Rhod Gilbert,0,0
331,281,Silently mouth a ten word fact to Greg,39,Jessica Knappett,0,1
332,282,The most confusing thing,39,Jessica Knappett,0,0
333,283,Work out what the switch does,38,James Acaster,0,0
334,284,Change your appearance in a lift,42,Rhod Gilbert,0,0
335,285,Make the scales read exactly 31.770kg,38,James Acaster,0,0
336,286,Get dressed while wearing handcuffs,38,James Acaster,0,1
337,287,Make the best toilet paper plane,42,Rhod Gilbert,0,0
338,288,The worst gift from a relative,39,Jessica Knappett,0,0
339,289,Spectacularly deliver the task to Alex,38,James Acaster,0,0
340,290,Make the most white circles on the target,38,James Acaster,0,0
341,290,Make the most white circles on the target,39,Jessica Knappett,0,0
342,290,Make the most white circles on the target,40,Kerry Godliman,0,0
343,290,Make the most white circles on the target,42,Rhod Gilbert,0,0
344,291,Cheer up the traffic warden,38,James Acaster,0,0
345,291,Cheer up the traffic warden,39,Jessica Knappett,0,0
346,292,Make yourselves appear as large or small as possible,38,James Acaster,1,0
347,292,Make yourselves appear as large or small as possible,41,Phil Wang,1,0
348,292,Make yourselves appear as large or small as possible,42,Rhod Gilbert,1,0
349,293,Place objects on the hanger without it falling,39,Jessica Knappett,1,1
350,293,Place objects on the hanger without it falling,40,Kerry Godliman,1,1
351,294,The best key,40,Kerry Godliman,0,0
352,295,Put 50 different things in the bin,38,James Acaster,0,0
353,296,Make a portrait of the Taskmaster using your 50 items,38,James Acaster,0,0
354,297,Make a soap opera cliffhanger,38,James Acaster,1,0
355,297,Make a soap opera cliffhanger,41,Phil Wang,1,0
356,297,Make a soap opera cliffhanger,42,Rhod Gilbert,1,0
357,298,Place 10 pairs of glasses into the smallest box,41,Phil Wang,0,0
358,299,Get your inflatable ring as high as possible,42,Rhod Gilbert,0,1
359,300,The most exciting thing beginning with 'G',38,James Acaster,0,0
360,300,The most exciting thing beginning with 'G',42,Rhod Gilbert,0,0
361,301,Throw something into the bin behind the fence,42,Rhod Gilbert,0,0
362,302,Don’t blink,42,Rhod Gilbert,0,0
363,303,Build an extension to the Taskmaster house,39,Jessica Knappett,1,0
364,303,Build an extension to the Taskmaster house,40,Kerry Godliman,1,0
365,304,Make the best Christmas cracker,41,Phil Wang,0,0
366,305,Beat on the drum after exactly 9.58 seconds,42,Rhod Gilbert,0,1
367,306,The creepiest thing,40,Kerry Godliman,0,0
368,306,The creepiest thing,42,Rhod Gilbert,0,0
369,307,Poke something unexpected through the hole,42,Rhod Gilbert,0,0
370,308,Follow the clues and then do what they spell,38,James Acaster,0,0
371,309,Compose a 30 second piece of music,39,Jessica Knappett,0,0
372,310,"Bob, pat, kneel, stew, or wane",42,Rhod Gilbert,0,1
373,311,The most surprisingly beautiful thing,41,Phil Wang,0,0
374,312,Put the largest numeric value of money in the floating bowl,40,Kerry Godliman,0,0
375,313,Take a photo of yourself in a fez / Improve your hula-hooping,39,Jessica Knappett,0,0
376,314,Find the satsuma in a sock,40,Kerry Godliman,0,0
377,314,Find the satsuma in a sock,42,Rhod Gilbert,0,0
378,315,Complete a 24-shot rally,39,Jessica Knappett,1,0
379,315,Complete a 24-shot rally,40,Kerry Godliman,1,0
380,316,Draw a happy horse upside-down,38,James Acaster,0,1
381,317,The most magnificent stationery,40,Kerry Godliman,0,0
382,318,Put on overalls and lie on the ground when the siren sounds,41,Phil Wang,0,0
383,319,Find the hard-boiled egg,38,James Acaster,0,0
384,320,Recreate a classic video game,38,James Acaster,0,0
385,321,Tie yourself up as securely as possible,42,Rhod Gilbert,0,0
386,322,Sausage or finger?,40,Kerry Godliman,0,1
387,323,The most powerful smell,45,Lou Sanders,0,0
388,324,Find the baby monitor receiver,43,Iain Stirling,0,0
389,325,Make and be seduced by a ventriloquist dummy,43,Iain Stirling,0,0
390,326,Sneak up on Alex,44,Joe Thomas,0,0
391,327,Collect the most doughnuts in your bucket,45,Lou Sanders,0,1
392,328,Peel a banana with your feet,43,Iain Stirling,0,0
393,329,The best pair of things,47,Sian Gibson,0,0
394,330,Make a moustache from something unexpected,46,Paul Sinha,0,0
395,331,Transfer the rice to the bottle,44,Joe Thomas,0,0
396,332,"Convey an object using only facial expressions, noises, adjectives & verbs",44,Joe Thomas,1,0
397,332,"Convey an object using only facial expressions, noises, adjectives & verbs",47,Sian Gibson,1,0
398,333,Travel the furthest while making a continuous noise,44,Joe Thomas,0,0
399,334,"Name a bird, eat a grape, name a contestant",46,Paul Sinha,0,1
400,335,The best burstable thing,47,Sian Gibson,0,0
401,336,Build the best volcano,44,Joe Thomas,0,0
402,336,Build the best volcano,45,Lou Sanders,0,0
403,337,Work out what Alex is wearing,47,Sian Gibson,0,0
404,338,Do the worst thing and make the best apology,45,Lou Sanders,0,0
405,339,Get into two sleeping bags and complete other actions,43,Iain Stirling,0,1
406,340,The best present for a doctor,47,Sian Gibson,0,0
407,341,Get the toilet paper through the toilet seat,43,Iain Stirling,0,0
408,342,Make the best thing to entertain a toddler,46,Paul Sinha,0,0
409,342,Make the best thing to entertain a toddler,47,Sian Gibson,0,0
410,343,Get the most weight into a hammock,44,Joe Thomas,1,0
411,343,Get the most weight into a hammock,47,Sian Gibson,1,0
412,344,Throw a frying pan into a hoop,45,Lou Sanders,0,1
413,345,Whip the bottle off the barrel,47,Sian Gibson,0,0
414,346,The best face,43,Iain Stirling,0,0
415,347,Move the sand from one bucket to another,45,Lou Sanders,0,0
416,348,Make a realistic injury using food,47,Sian Gibson,0,0
417,349,Play long-distance catch with a beach ball,43,Iain Stirling,1,0
418,349,Play long-distance catch with a beach ball,45,Lou Sanders,1,0
419,349,Play long-distance catch with a beach ball,46,Paul Sinha,1,0
420,350,Herd the ping pong balls into a pen,43,Iain Stirling,0,0
421,351,Recreate the scene you parade past,44,Joe Thomas,0,1
422,352,The best see-through item,44,Joe Thomas,0,0
423,353,Conceal yourself inside a phone box,43,Iain Stirling,0,0
424,354,Design an iconic album cover,44,Joe Thomas,1,0
425,354,Design an iconic album cover,47,Sian Gibson,1,0
426,355,Recall the order of the deck of cards,46,Paul Sinha,0,0
427,356,Score a goal from the greatest distance,47,Sian Gibson,0,0
428,357,"Roll a toilet roll, and retrieve your shoe",45,Lou Sanders,0,1
429,358,The best slippery thing,45,Lou Sanders,0,0
430,359,Find the apples,44,Joe Thomas,0,0
431,360,Work out the crisp flavours,44,Joe Thomas,0,0
432,361,Do something powerful with your little finger,44,Joe Thomas,0,0
433,362,"Answer the questions, pull the strings; do not release the green egg",44,Joe Thomas,1,1
434,362,"Answer the questions, pull the strings; do not release the green egg",47,Sian Gibson,1,1
435,363,The nicest thing to hold,46,Paul Sinha,0,0
436,364,Make a portrait of a former contestant using sand and one tool,43,Iain Stirling,0,0
437,365,Catch the tennis balls,43,Iain Stirling,1,0
438,365,Catch the tennis balls,45,Lou Sanders,1,0
439,365,Catch the tennis balls,46,Paul Sinha,1,0
440,366,Move the beach ball across the finish line using only water,43,Iain Stirling,0,0
441,367,Complete the five-syllable words,46,Paul Sinha,0,1
442,368,The best form of protection,45,Lou Sanders,0,0
443,369,Get a ball into a bin with the most bounces,45,Lou Sanders,0,0
444,370,Make a delicious dust meal,43,Iain Stirling,0,0
445,371,Make yourselves look like one person,43,Iain Stirling,1,0
446,371,Make yourselves look like one person,45,Lou Sanders,1,0
447,371,Make yourselves look like one person,46,Paul Sinha,1,0
448,372,Complete some tasks as one person,44,Joe Thomas,1,0
449,372,Complete some tasks as one person,47,Sian Gibson,1,0
450,373,Stack plates and bowls on your head,45,Lou Sanders,0,1
451,374,The best thing that will change your life for the better,43,Iain Stirling,0,0
452,375,Erase the eraser,43,Iain Stirling,0,0
453,376,Make the most tremendous legs,47,Sian Gibson,0,0
454,377,Blindly drive a mobility scooter around a course,43,Iain Stirling,0,0
