id,task,task_label,contestant,contestant_label,PO,base,adjustment,points,rank,episode,series,team,team_label,location,location_label
57,12,The most meaningful item,7,Tim Key,1,3,,3,3,3,38,,,,
58,13,Throw a teabag into a mug,3,Frank Skinner,1=,4,,4,2,8,36,,,,
59,13,Throw a teabag into a mug,4,Josh Widdicombe,4,,,0,,2,31,,,,
60,13,Throw a teabag into a mug,5,Roisin Conaty,1=,2,,2,4,3,31,,,,
61,13,Throw a teabag into a mug,6,Romesh Ranganathan,1=,3,,3,3,8,41,,,,
62,13,Throw a teabag into a mug,7,Tim Key,5,5,,5,1,8,43,,,,
63,14,Draw an image using a GPS device,3,Frank Skinner,4=,2,,2,4,10,38,,,,
64,14,Draw an image using a GPS device,4,Josh Widdicombe,1,5,,5,1,7,36,,,,
65,14,Draw an image using a GPS device,5,Roisin Conaty,2,1,,1,5,4,32,,,,
66,14,Draw an image using a GPS device,6,Romesh Ranganathan,4=,4,,4,2,12,45,,,,
67,14,Draw an image using a GPS device,7,Tim Key,3,3,,3,3,11,46,,,,
68,15,Buy a gift for the Taskmaster,3,Frank Skinner,2,3,,3,3,13,41,,,,
69,15,Buy a gift for the Taskmaster,4,Josh Widdicombe,4,5,,5,1,12,41,,,,
70,15,Buy a gift for the Taskmaster,5,Roisin Conaty,5,4,,4,2,8,36,,,,
71,15,Buy a gift for the Taskmaster,6,Romesh Ranganathan,3,2,,2,4,14,47,,,,
72,15,Buy a gift for the Taskmaster,7,Tim Key,1,1,,1,5,12,47,,,,
73,16,Get an egg as high as possible,3,Frank Skinner,4=,0,,0,,13,41,,,,
74,16,Get an egg as high as possible,4,Josh Widdicombe,4=,5,,5,1,17,46,,,,
75,16,Get an egg as high as possible,5,Roisin Conaty,2,0,,0,,8,36,,,,
76,16,Get an egg as high as possible,6,Romesh Ranganathan,1,4,,4,2,18,51,,,,
77,16,Get an egg as high as possible,7,Tim Key,3,0,,0,,12,47,,,,
78,17,Stand up after 100 seconds,3,Frank Skinner,0,2,,2,4,15,43,,,,
79,17,Stand up after 100 seconds,4,Josh Widdicombe,0,5,,5,1,22,51,,,,
80,17,Stand up after 100 seconds,5,Roisin Conaty,0,1,,1,5,9,37,,,,
81,17,Stand up after 100 seconds,6,Romesh Ranganathan,0,4,,4,2=,22,55,,,,
82,17,Stand up after 100 seconds,7,Tim Key,0,4,,4,2=,16,51,,,,
83,18,Guess Frank’s age in minutes,4,Josh Widdicombe,2,0,,0,,22,51,,,,
84,18,Guess Frank’s age in minutes,6,Romesh Ranganathan,1,0,,0,,22,55,,,,
85,19,The most beautiful item,3,Frank Skinner,1,3,,3,3,3,46,,,,
86,19,The most beautiful item,4,Josh Widdicombe,2,4,,4,2,4,55,,,,
87,19,The most beautiful item,5,Roisin Conaty,3,2,,2,4,2,39,,,,
88,19,The most beautiful item,6,Romesh Ranganathan,4,1,,1,5,1,56,,,,
89,19,The most beautiful item,7,Tim Key,5,5,,5,1,5,56,,,,
90,20,Make a block of ice disappear,3,Frank Skinner,1=,4,,4,2,7,50,,,,
91,20,Make a block of ice disappear,4,Josh Widdicombe,1=,5,,5,1,9,60,,,,
92,20,Make a block of ice disappear,5,Roisin Conaty,3,3,,3,3,5,42,,,,
93,20,Make a block of ice disappear,6,Romesh Ranganathan,5,2,,2,4,3,58,,,,
94,20,Make a block of ice disappear,7,Tim Key,4,1,,1,5,6,57,,,,
95,21,Count the baked beans,4,Josh Widdicombe,1,0,1,1,,10,61,,,,
96,22,Count the spaghetti hoops,4,Josh Widdicombe,1,0,,0,,10,61,,,,
97,23,Score 11 points,3,Frank Skinner,1=,0,1,1,,8,51,1,Frank and Tim,,
98,23,Score 11 points,4,Josh Widdicombe,2=,2,,2,1=,12,63,2,"Josh, Roisin and Romesh",,
99,23,Score 11 points,5,Roisin Conaty,2=,2,,2,1=,7,44,2,"Josh, Roisin and Romesh",,
100,23,Score 11 points,6,Romesh Ranganathan,2=,2,,2,1=,5,60,2,"Josh, Roisin and Romesh",,
101,23,Score 11 points,7,Tim Key,1=,0,1,1,,7,58,1,Frank and Tim,,
102,24,Fill an eggcup with tears,3,Frank Skinner,5,5,,5,1,13,56,,,,
103,24,Fill an eggcup with tears,4,Josh Widdicombe,1,3,,3,3,15,66,,,,
104,24,Fill an eggcup with tears,5,Roisin Conaty,2=,1,,1,4=,8,45,,,,
105,24,Fill an eggcup with tears,6,Romesh Ranganathan,4,4,,4,2,9,64,,,,
106,24,Fill an eggcup with tears,7,Tim Key,2=,1,,1,4=,8,59,,,,
107,25,Count the grains of rice,4,Josh Widdicombe,1,0,,0,,15,66,,,,
108,26,Memorise an Australian Rules Football team,3,Frank Skinner,1,1,,1,1=,14,57,,,,
109,26,Memorise an Australian Rules Football team,4,Josh Widdicombe,2,1,,1,1=,16,67,,,,
110,26,Memorise an Australian Rules Football team,5,Roisin Conaty,3,1,,1,1=,9,46,,,,
111,26,Memorise an Australian Rules Football team,6,Romesh Ranganathan,4,1,,1,1=,10,65,,,,
112,26,Memorise an Australian Rules Football team,7,Tim Key,5,1,,1,1=,9,60,,,,
113,27,The most valuable item,3,Frank Skinner,1,4,,4,2,4,61,,,,
114,27,The most valuable item,4,Josh Widdicombe,2,5,,5,1,5,72,,,,
115,27,The most valuable item,5,Roisin Conaty,3,1,,1,5,1,47,,,,
116,27,The most valuable item,6,Romesh Ranganathan,4,3,,3,3,3,68,,,,
117,27,The most valuable item,7,Tim Key,5,2,,2,4,2,62,,,,
118,28,Move the boulder as far as possible,3,Frank Skinner,2=,4,,4,2,8,65,,,,
119,28,Move the boulder as far as possible,4,Josh Widdicombe,4=,5,,5,1,10,77,,,,
120,28,Move the boulder as far as possible,5,Roisin Conaty,1,1,,1,5,2,48,,,,
121,28,Move the boulder as far as possible,6,Romesh Ranganathan,2=,2,,2,4,5,70,,,,
122,28,Move the boulder as far as possible,7,Tim Key,4=,3,,3,3,5,65,,,,
123,29,Grow the longest nail,3,Frank Skinner,1,3,,3,3,11,68,,,,
124,29,Grow the longest nail,4,Josh Widdicombe,2,5,,5,1,15,82,,,,
125,29,Grow the longest nail,5,Roisin Conaty,3,2,,2,4,4,50,,,,
126,29,Grow the longest nail,6,Romesh Ranganathan,4,4,,4,2,9,74,,,,
127,29,Grow the longest nail,7,Tim Key,5,1,,1,5,6,66,,,,
128,30,Make a bed while holding hands,3,Frank Skinner,2=,2,,2,1=,13,70,1,Frank and Tim,5,Northala Fields
129,30,Make a bed while holding hands,4,Josh Widdicombe,1=,0,,0,,15,82,2,"Josh, Roisin and Romesh",22,"Dukes Meadows Golf, Tennis & Ski"
130,30,Make a bed while holding hands,5,Roisin Conaty,1=,0,,0,,4,50,2,"Josh, Roisin and Romesh",22,"Dukes Meadows Golf, Tennis & Ski"
131,30,Make a bed while holding hands,6,Romesh Ranganathan,1=,0,,0,,9,74,2,"Josh, Roisin and Romesh",22,"Dukes Meadows Golf, Tennis & Ski"
132,30,Make a bed while holding hands,7,Tim Key,2=,2,,2,1=,8,68,1,Frank and Tim,5,Northala Fields
133,31,Make a Swedish person blush,3,Frank Skinner,2=,3,,3,3,16,73,,,,
134,31,Make a Swedish person blush,4,Josh Widdicombe,1,1,,1,5,16,83,,,,
135,31,Make a Swedish person blush,5,Roisin Conaty,5,5,,5,1,9,55,,,,
136,31,Make a Swedish person blush,6,Romesh Ranganathan,2=,4,,4,2,13,78,,,,
137,31,Make a Swedish person blush,7,Tim Key,4,2,,2,4,10,70,,,,
138,32,Inflate the largest balloon while blindfolded,3,Frank Skinner,0,4,,4,2,20,77,,,,
139,32,Inflate the largest balloon while blindfolded,4,Josh Widdicombe,0,2,,2,4,18,85,,,,
140,32,Inflate the largest balloon while blindfolded,5,Roisin Conaty,0,5,,5,1,14,60,,,,
141,32,Inflate the largest balloon while blindfolded,6,Romesh Ranganathan,0,3,,3,3,16,81,,,,
142,32,Inflate the largest balloon while blindfolded,7,Tim Key,0,,,0,,10,70,,,,
143,33,The most satisfying item,3,Frank Skinner,5,2,,2,4,2,79,,,,
144,33,The most satisfying item,4,Josh Widdicombe,4,4,,4,2,4,89,,,,
145,33,The most satisfying item,5,Roisin Conaty,3,1,,1,5,1,61,,,,
146,33,The most satisfying item,6,Romesh Ranganathan,2,3,,3,3,3,84,,,,
147,33,The most satisfying item,7,Tim Key,1,5,,5,1,5,75,,,,
148,34,Play mini golf with eggs,3,Frank Skinner,1=,4,,4,2,6,83,,,,
149,34,Play mini golf with eggs,4,Josh Widdicombe,2=,2,,2,4,6,91,,,,
150,34,Play mini golf with eggs,5,Roisin Conaty,1=,5,,5,1,6,66,,,,
151,34,Play mini golf with eggs,6,Romesh Ranganathan,1=,1,,1,5,4,85,,,,
152,34,Play mini golf with eggs,7,Tim Key,2=,3,,3,3,8,78,,,,
153,35,Stage a realistic home movie blooper,3,Frank Skinner,2=,2,,2,1=,8,85,1,Frank and Tim,,
154,35,Stage a realistic home movie blooper,4,Josh Widdicombe,1=,0,,0,,6,91,2,"Josh, Roisin and Romesh",,
155,35,Stage a realistic home movie blooper,5,Roisin Conaty,1=,0,,0,,6,66,2,"Josh, Roisin and Romesh",,
156,35,Stage a realistic home movie blooper,6,Romesh Ranganathan,1=,0,,0,,4,85,2,"Josh, Roisin and Romesh",,
157,35,Stage a realistic home movie blooper,7,Tim Key,2=,2,,2,1=,10,80,1,Frank and Tim,,
158,36,Make an alphabet meal,3,Frank Skinner,4,5,,5,1,13,90,,,,
159,36,Make an alphabet meal,4,Josh Widdicombe,2,1,,1,4=,7,92,,,,
160,36,Make an alphabet meal,5,Roisin Conaty,1,1,,1,4=,7,67,,,,
161,36,Make an alphabet meal,6,Romesh Ranganathan,3,4,,4,2,8,89,,,,
162,36,Make an alphabet meal,7,Tim Key,5,3,,3,3,13,83,,,,
163,37,Separate the blue sweets,3,Frank Skinner,0,3,,3,3,16,93,,,,
164,37,Separate the blue sweets,4,Josh Widdicombe,0,2,,2,4,9,94,,,,
165,37,Separate the blue sweets,5,Roisin Conaty,0,1,,1,5,8,68,,,,
166,37,Separate the blue sweets,6,Romesh Ranganathan,0,4,,4,2,12,93,,,,
167,37,Separate the blue sweets,7,Tim Key,0,5,,5,1,18,88,,,,
168,38,The most important document,8,Doc Brown,1,4,,4,2,4,4,,,,
169,38,The most important document,9,Joe Wilkinson,2,5,,5,1,5,5,,,,
170,38,The most important document,10,Jon Richardson,3,2,,2,4=,2,2,,,,
171,38,The most important document,11,Katherine Ryan,4,3,,3,3,3,3,,,,
172,38,The most important document,12,Richard Osman,5,2,,2,4=,2,2,,,,
173,39,Place the exercise balls on the yoga mat,8,Doc Brown,3=,1,,1,5,5,5,,,,
174,39,Place the exercise balls on the yoga mat,9,Joe Wilkinson,1=,2,,2,4,7,7,,,,
175,39,Place the exercise balls on the yoga mat,10,Jon Richardson,1=,4,,4,2,6,6,,,,
176,39,Place the exercise balls on the yoga mat,11,Katherine Ryan,3=,3,,3,3,6,6,,,,
177,39,Place the exercise balls on the yoga mat,12,Richard Osman,5,5,,5,1,7,7,,,,
178,40,Get the potato into the hole,8,Doc Brown,3=,2,,2,4,7,7,,,,
179,40,Get the potato into the hole,9,Joe Wilkinson,5,,,0,,7,7,,,,
180,40,Get the potato into the hole,10,Jon Richardson,3=,5,,5,1,11,11,,,,
181,40,Get the potato into the hole,11,Katherine Ryan,1=,3,,3,3,9,9,,,,
182,40,Get the potato into the hole,12,Richard Osman,1=,4,,4,2,11,11,,,,
183,41,Find out about the Swedish person,8,Doc Brown,3=,2,,2,4,9,9,,,,
184,41,Find out about the Swedish person,9,Joe Wilkinson,1=,1,,1,5,8,8,,,,
185,41,Find out about the Swedish person,10,Jon Richardson,3=,3,,3,3,14,14,,,,
186,41,Find out about the Swedish person,11,Katherine Ryan,5,5,,5,1,14,14,,,,
187,41,Find out about the Swedish person,12,Richard Osman,1=,4,,4,2,15,15,,,,
188,42,Pack a suitcase,8,Doc Brown,0,0,,0,,9,9,,,,
189,42,Pack a suitcase,9,Joe Wilkinson,0,0,,0,,8,8,,,,
190,42,Pack a suitcase,10,Jon Richardson,0,4,,4,2,18,18,,,,
191,42,Pack a suitcase,11,Katherine Ryan,0,3,,3,3,17,17,,,,
192,42,Pack a suitcase,12,Richard Osman,0,5,,5,1,20,20,,,,
193,43,The trendiest item of clothing,8,Doc Brown,5,5,,5,1,5,14,,,,
194,43,The trendiest item of clothing,9,Joe Wilkinson,4,2,,2,4,2,10,,,,
195,43,The trendiest item of clothing,10,Jon Richardson,3,3,,3,3,3,21,,,,
196,43,The trendiest item of clothing,11,Katherine Ryan,2,4,,4,2,4,21,,,,
197,43,The trendiest item of clothing,12,Richard Osman,1,1,,1,5,1,21,,,,
198,44,Quickly eat an egg,8,Doc Brown,1=,4,,4,2,9,18,,,,
199,44,Quickly eat an egg,9,Joe Wilkinson,3,2,,2,4,4,12,,,,
200,44,Quickly eat an egg,10,Jon Richardson,1=,3,,3,3,6,24,,,,
201,44,Quickly eat an egg,11,Katherine Ryan,4,0,,0,,4,21,,,,
202,44,Quickly eat an egg,12,Richard Osman,5,5,,5,1,6,26,,,,
203,45,Create a nursery rhyme video,8,Doc Brown,4,5,,5,1=,14,23,,,,
204,45,Create a nursery rhyme video,9,Joe Wilkinson,5,2,,2,5,6,14,,,,
205,45,Create a nursery rhyme video,10,Jon Richardson,1,5,,5,1=,11,29,,,,
206,45,Create a nursery rhyme video,11,Katherine Ryan,2,4,,4,3,8,25,,,,
207,45,Create a nursery rhyme video,12,Richard Osman,3,3,,3,4,9,29,,,,
208,46,A photo of an object that looks like you,8,Doc Brown,1,1,,1,5,15,24,,,,
209,46,A photo of an object that looks like you,9,Joe Wilkinson,2,2,,2,4,8,16,,,,
210,46,A photo of an object that looks like you,10,Jon Richardson,3,4,,4,2,15,33,,,,
211,46,A photo of an object that looks like you,11,Katherine Ryan,4,3,,3,3,11,28,,,,
212,46,A photo of an object that looks like you,12,Richard Osman,5,5,,5,1,14,34,,,,
213,47,Order a pizza without using certain words,8,Doc Brown,1=,2,1,3,4,18,27,,,,
214,47,Order a pizza without using certain words,9,Joe Wilkinson,1=,4,1,5,2,13,21,,,,
215,47,Order a pizza without using certain words,10,Jon Richardson,3=,5,,5,1,20,38,,,,
216,47,Order a pizza without using certain words,11,Katherine Ryan,3=,3,1,4,3,15,32,,,,
217,47,Order a pizza without using certain words,12,Richard Osman,3=,1,,1,5,15,35,,,,
218,48,Put potatoes in a basket,8,Doc Brown,0,0,,0,,18,27,,,,
219,48,Put potatoes in a basket,9,Joe Wilkinson,0,0,,0,,13,21,,,,
220,48,Put potatoes in a basket,10,Jon Richardson,0,5,,5,1,25,43,,,,
221,48,Put potatoes in a basket,11,Katherine Ryan,0,4,,4,2,19,36,,,,
222,48,Put potatoes in a basket,12,Richard Osman,0,,,0,,15,35,,,,
223,49,The best dinner party guest,8,Doc Brown,2,3,,3,3,3,30,,,,
224,49,The best dinner party guest,9,Joe Wilkinson,1,5,,5,1,5,26,,,,
225,49,The best dinner party guest,10,Jon Richardson,4,1,,1,5,1,44,,,,
226,49,The best dinner party guest,11,Katherine Ryan,5,4,,4,2,4,40,,,,
227,49,The best dinner party guest,12,Richard Osman,3,2,,2,4,2,37,,,,
228,50,Impress the Mayor,8,Doc Brown,1=,2,,2,4,5,32,,,,
229,50,Impress the Mayor,9,Joe Wilkinson,1=,3,,3,3,8,29,,,,
230,50,Impress the Mayor,10,Jon Richardson,5,1,,1,5,2,45,,,,
231,50,Impress the Mayor,11,Katherine Ryan,3=,5,,5,1,9,45,,,,
232,50,Impress the Mayor,12,Richard Osman,3=,4,,4,2,6,41,,,,
233,51,Make an unexpected silhouette,8,Doc Brown,1,1,,1,5,6,33,,,,
234,51,Make an unexpected silhouette,9,Joe Wilkinson,3,3,,3,3,11,32,,,,
235,51,Make an unexpected silhouette,10,Jon Richardson,5,5,,5,1,7,50,,,,
236,51,Make an unexpected silhouette,11,Katherine Ryan,4,2,,2,4,11,47,,,,
237,51,Make an unexpected silhouette,12,Richard Osman,2,4,,4,2,10,45,,,,
238,52,Buy a gift for the Taskmaster,8,Doc Brown,4,3,,3,3,9,36,,,,
239,52,Buy a gift for the Taskmaster,9,Joe Wilkinson,2,2,,2,4,13,34,,,,
240,52,Buy a gift for the Taskmaster,10,Jon Richardson,3,1,,1,5,8,51,,,,
241,52,Buy a gift for the Taskmaster,11,Katherine Ryan,5,4,,4,2,15,51,,,,
242,52,Buy a gift for the Taskmaster,12,Richard Osman,1,5,,5,1,15,50,,,,
243,53,"See no potato, hear no potato, speak no potato",8,Doc Brown,1=,0,,0,,9,36,4,"Doc, Joe and Katherine",,
244,53,"See no potato, hear no potato, speak no potato",9,Joe Wilkinson,1=,0,,0,,13,34,4,"Doc, Joe and Katherine",,
245,53,"See no potato, hear no potato, speak no potato",10,Jon Richardson,2=,5,,5,1=,13,56,3,Jon and Richard,,
246,53,"See no potato, hear no potato, speak no potato",11,Katherine Ryan,1=,0,,0,,15,51,4,"Doc, Joe and Katherine",,
247,53,"See no potato, hear no potato, speak no potato",12,Richard Osman,2=,5,,5,1=,20,55,3,Jon and Richard,,
248,54,Throw rabbits into a hat,8,Doc Brown,0,12,,12,2=,21,48,,,,
249,54,Throw rabbits into a hat,9,Joe Wilkinson,0,12,,12,2=,25,46,,,,
250,54,Throw rabbits into a hat,10,Jon Richardson,0,4,,4,5,17,60,,,,
251,54,Throw rabbits into a hat,11,Katherine Ryan,0,15,,15,1,30,66,,,,
252,54,Throw rabbits into a hat,12,Richard Osman,0,7,,7,4,27,62,,,,
253,55,The coolest blue item,8,Doc Brown,2,3,,3,3,3,51,,,,
254,55,The coolest blue item,9,Joe Wilkinson,3,4,,4,2,4,50,,,,
255,55,The coolest blue item,10,Jon Richardson,5,5,,5,1,5,65,,,,
256,55,The coolest blue item,11,Katherine Ryan,1,2,,2,4,2,68,,,,
257,55,The coolest blue item,12,Richard Osman,4,1,,1,5,1,63,,,,
258,56,Rescue Patatas from the tree,8,Doc Brown,1=,4,,4,2,7,55,,,,
259,56,Rescue Patatas from the tree,9,Joe Wilkinson,1=,3,,3,3,7,53,,,,
260,56,Rescue Patatas from the tree,10,Jon Richardson,1=,2,,2,4,7,67,,,,
261,56,Rescue Patatas from the tree,11,Katherine Ryan,4=,5,,5,1,7,73,,,,
262,56,Rescue Patatas from the tree,12,Richard Osman,4=,0,,0,,1,63,,,,
263,57,Conceal a pineapple on your person,8,Doc Brown,3=,2,,2,4,9,57,,,,
264,57,Conceal a pineapple on your person,9,Joe Wilkinson,3=,1,,1,5,8,54,,,,
265,57,Conceal a pineapple on your person,10,Jon Richardson,1=,5,,5,1,12,72,,,,
266,57,Conceal a pineapple on your person,11,Katherine Ryan,3=,4,,4,2,11,77,,,,
267,57,Conceal a pineapple on your person,12,Richard Osman,1=,3,,3,3,4,66,,,,
268,58,Set a task / Guess who set the tasks,8,Doc Brown,,0,,0,,9,57,,,,
269,58,Set a task / Guess who set the tasks,9,Joe Wilkinson,,0,,0,,8,54,,,,
270,58,Set a task / Guess who set the tasks,10,Jon Richardson,1,4,,4,1,16,76,,,,
271,58,Set a task / Guess who set the tasks,11,Katherine Ryan,,0,,0,,11,77,,,,
272,58,Set a task / Guess who set the tasks,12,Richard Osman,,0,,0,,4,66,,,,
273,59,Construct something for the Taskmaster,8,Doc Brown,1=,4,,4,1=,13,61,4,"Doc, Joe and Katherine",,
274,59,Construct something for the Taskmaster,9,Joe Wilkinson,1=,4,,4,1=,12,58,4,"Doc, Joe and Katherine",,
275,59,Construct something for the Taskmaster,10,Jon Richardson,2=,1,,1,2=,17,77,3,Jon and Richard,,
276,59,Construct something for the Taskmaster,11,Katherine Ryan,1=,4,,4,1=,15,81,4,"Doc, Joe and Katherine",,
277,59,Construct something for the Taskmaster,12,Richard Osman,2=,1,,1,2=,5,67,3,Jon and Richard,,
278,60,Build the tallest tower using potato products,8,Doc Brown,0,5,,5,1,18,66,,,,
279,60,Build the tallest tower using potato products,9,Joe Wilkinson,0,0,,0,,12,58,,,,
280,60,Build the tallest tower using potato products,10,Jon Richardson,0,0,,0,,17,77,,,,
281,60,Build the tallest tower using potato products,11,Katherine Ryan,0,0,,0,,15,81,,,,
282,60,Build the tallest tower using potato products,12,Richard Osman,0,0,,0,,5,67,,,,
283,61,The best piece of memorabilia,8,Doc Brown,5,2,,2,4,2,68,,,,
284,61,The best piece of memorabilia,9,Joe Wilkinson,2,1,,1,5,1,59,,,,
285,61,The best piece of memorabilia,10,Jon Richardson,1,3,,3,3,3,80,,,,
286,61,The best piece of memorabilia,11,Katherine Ryan,4,4,,4,2,4,85,,,,
287,61,The best piece of memorabilia,12,Richard Osman,3,5,,5,1,5,72,,,,
288,62,Move items across a stream,8,Doc Brown,2=,,,0,,2,68,,,,
289,62,Move items across a stream,9,Joe Wilkinson,4=,5,,5,1,6,64,,,,
290,62,Move items across a stream,10,Jon Richardson,2=,,,0,,3,80,,,,
291,62,Move items across a stream,11,Katherine Ryan,1,3,,3,3,7,88,,,,
292,62,Move items across a stream,12,Richard Osman,4=,4,,4,2,9,76,,,,
293,63,Create a stop-motion film starring a potato,8,Doc Brown,2=,2,,2,2=,4,70,4,"Doc, Joe and Katherine",,
294,63,Create a stop-motion film starring a potato,9,Joe Wilkinson,2=,2,,2,2=,8,66,4,"Doc, Joe and Katherine",,
295,63,Create a stop-motion film starring a potato,10,Jon Richardson,1=,3,,3,1=,6,83,3,Jon and Richard,,
296,63,Create a stop-motion film starring a potato,11,Katherine Ryan,2=,2,,2,2=,9,90,4,"Doc, Joe and Katherine",,
297,63,Create a stop-motion film starring a potato,12,Richard Osman,1=,3,,3,1=,12,79,3,Jon and Richard,,
298,64,Build a bridge for the potato,8,Doc Brown,1=,4,,4,2,8,74,,,,
299,64,Build a bridge for the potato,9,Joe Wilkinson,4=,3,,3,3,11,69,,,,
300,64,Build a bridge for the potato,10,Jon Richardson,1=,5,,5,1,11,88,,,,
301,64,Build a bridge for the potato,11,Katherine Ryan,1=,1,,1,5,10,91,,,,
302,64,Build a bridge for the potato,12,Richard Osman,4=,2,,2,4,14,81,,,,
303,65,"Put on gloves, eat a banana, put on a tie, and clap",8,Doc Brown,0,4,,4,2,12,78,,,,
304,65,"Put on gloves, eat a banana, put on a tie, and clap",9,Joe Wilkinson,0,0,,0,,11,69,,,,
305,65,"Put on gloves, eat a banana, put on a tie, and clap",10,Jon Richardson,0,2,,2,4,13,90,,,,
306,65,"Put on gloves, eat a banana, put on a tie, and clap",11,Katherine Ryan,0,3,,3,3,13,94,,,,
307,65,"Put on gloves, eat a banana, put on a tie, and clap",12,Richard Osman,0,5,,5,1,19,86,,,,
308,66,The most flamboyant clock,13,Al Murray,1,4,,4,2,4,4,,,,
309,66,The most flamboyant clock,14,Dave Gorman,2,3,,3,3,3,3,,,,
