id,task,task_label,contestant,contestant_label,measurement,objective,objective_label
103,37,Separate the blue sweets,6,Romesh Ranganathan,12.0,16,blue sweets ▲
104,37,Separate the blue sweets,7,Tim Key,21.0,16,blue sweets ▲
105,39,Place the exercise balls on the yoga mat,8,Doc Brown,745.0,2,time ▼
106,39,Place the exercise balls on the yoga mat,9,Joe Wilkinson,541.0,2,time ▼
107,39,Place the exercise balls on the yoga mat,10,Jon Richardson,397.0,2,time ▼
108,39,Place the exercise balls on the yoga mat,11,Katherine Ryan,456.0,2,time ▼
109,39,Place the exercise balls on the yoga mat,12,Richard Osman,?,2,time ▼
110,40,Get the potato into the hole,8,Doc Brown,419.0,2,time ▼
111,40,Get the potato into the hole,9,Joe Wilkinson,14.3,2,time ▼
112,40,Get the potato into the hole,10,Jon Richardson,69.0,2,time ▼
113,40,Get the potato into the hole,11,Katherine Ryan,388.0,2,time ▼
114,40,Get the potato into the hole,12,Richard Osman,133.0,2,time ▼
115,41,Find out about the Swedish person,8,Doc Brown,600.0,2,time ▼
116,41,Find out about the Swedish person,8,Doc Brown,3.0,17,Fred facts ▲
117,41,Find out about the Swedish person,9,Joe Wilkinson,980.0,2,time ▼
118,41,Find out about the Swedish person,9,Joe Wilkinson,0.0,17,Fred facts ▲
119,41,Find out about the Swedish person,10,Jon Richardson,926.0,2,time ▼
120,41,Find out about the Swedish person,10,Jon Richardson,5.0,17,Fred facts ▲
121,41,Find out about the Swedish person,11,Katherine Ryan,941.0,2,time ▼
122,41,Find out about the Swedish person,11,Katherine Ryan,6.0,17,Fred facts ▲
123,41,Find out about the Swedish person,12,Richard Osman,1020.0,2,time ▼
124,41,Find out about the Swedish person,12,Richard Osman,6.0,17,Fred facts ▲
125,42,Pack a suitcase,8,Doc Brown,,2,time ▼
126,42,Pack a suitcase,9,Joe Wilkinson,,2,time ▼
127,42,Pack a suitcase,10,Jon Richardson,124.0,2,time ▼
128,42,Pack a suitcase,11,Katherine Ryan,154.0,2,time ▼
129,42,Pack a suitcase,12,Richard Osman,78.0,2,time ▼
130,44,Quickly eat an egg,8,Doc Brown,215.0,2,time ▼
131,44,Quickly eat an egg,9,Joe Wilkinson,646.0,2,time ▼
132,44,Quickly eat an egg,10,Jon Richardson,312.0,2,time ▼
133,44,Quickly eat an egg,11,Katherine Ryan,,2,time ▼
134,44,Quickly eat an egg,12,Richard Osman,?,2,time ▼
135,47,Order a pizza without using certain words,8,Doc Brown,4.0,18,mistakes ▼
136,47,Order a pizza without using certain words,9,Joe Wilkinson,1.0,18,mistakes ▼
137,47,Order a pizza without using certain words,10,Jon Richardson,2.0,18,mistakes ▼
138,47,Order a pizza without using certain words,11,Katherine Ryan,1.0,18,mistakes ▼
139,47,Order a pizza without using certain words,12,Richard Osman,0.0,18,mistakes ▼
140,48,Put potatoes in a basket,8,Doc Brown,0.0,19,potatoes ▲
141,48,Put potatoes in a basket,9,Joe Wilkinson,0.0,19,potatoes ▲
142,48,Put potatoes in a basket,10,Jon Richardson,11.0,19,potatoes ▲
143,48,Put potatoes in a basket,11,Katherine Ryan,5.0,19,potatoes ▲
144,48,Put potatoes in a basket,12,Richard Osman,,19,potatoes ▲
145,50,Impress the Mayor,8,Doc Brown,7.0,20,mayor's rating ▲
146,50,Impress the Mayor,9,Joe Wilkinson,7.0,20,mayor's rating ▲
147,50,Impress the Mayor,10,Jon Richardson,5.0,20,mayor's rating ▲
148,50,Impress the Mayor,11,Katherine Ryan,8.0,20,mayor's rating ▲
149,50,Impress the Mayor,12,Richard Osman,8.0,20,mayor's rating ▲
150,53,"See no potato, hear no potato, speak no potato",8,Doc Brown,349.0,2,time ▼
151,53,"See no potato, hear no potato, speak no potato",9,Joe Wilkinson,349.0,2,time ▼
152,53,"See no potato, hear no potato, speak no potato",10,Jon Richardson,299.0,2,time ▼
153,53,"See no potato, hear no potato, speak no potato",11,Katherine Ryan,349.0,2,time ▼
154,53,"See no potato, hear no potato, speak no potato",12,Richard Osman,299.0,2,time ▼
155,54,Throw rabbits into a hat,8,Doc Brown,12.0,21,behatted rabbits ▲
156,54,Throw rabbits into a hat,9,Joe Wilkinson,12.0,21,behatted rabbits ▲
157,54,Throw rabbits into a hat,10,Jon Richardson,4.0,21,behatted rabbits ▲
158,54,Throw rabbits into a hat,11,Katherine Ryan,15.0,21,behatted rabbits ▲
159,54,Throw rabbits into a hat,12,Richard Osman,7.0,21,behatted rabbits ▲
160,57,Conceal a pineapple on your person,8,Doc Brown,5.0,22,wrong guesses ▲
161,57,Conceal a pineapple on your person,9,Joe Wilkinson,?,22,wrong guesses ▲
162,57,Conceal a pineapple on your person,10,Jon Richardson,20.0,22,wrong guesses ▲
163,57,Conceal a pineapple on your person,11,Katherine Ryan,14.0,22,wrong guesses ▲
164,57,Conceal a pineapple on your person,12,Richard Osman,8.0,22,wrong guesses ▲
165,58,Set a task / Guess who set the tasks,10,Jon Richardson,4.0,23,guessed tasks ▲
166,62,Move items across a stream,8,Doc Brown,264.0,2,time ▼
167,62,Move items across a stream,9,Joe Wilkinson,112.0,2,time ▼
168,62,Move items across a stream,10,Jon Richardson,194.0,2,time ▼
169,62,Move items across a stream,11,Katherine Ryan,164.0,2,time ▼
170,62,Move items across a stream,12,Richard Osman,119.0,2,time ▼
171,64,Build a bridge for the potato,8,Doc Brown,10.0,10,centimeters ▲
172,64,Build a bridge for the potato,9,Joe Wilkinson,9.0,10,centimeters ▲
173,64,Build a bridge for the potato,10,Jon Richardson,11.4,10,centimeters ▲
174,64,Build a bridge for the potato,11,Katherine Ryan,0.1,10,centimeters ▲
175,64,Build a bridge for the potato,12,Richard Osman,8.0,10,centimeters ▲
176,65,"Put on gloves, eat a banana, put on a tie, and clap",8,Doc Brown,237.0,24,claps ▲
177,65,"Put on gloves, eat a banana, put on a tie, and clap",9,Joe Wilkinson,234.0,24,claps ▲
178,65,"Put on gloves, eat a banana, put on a tie, and clap",10,Jon Richardson,192.0,24,claps ▲
179,65,"Put on gloves, eat a banana, put on a tie, and clap",11,Katherine Ryan,221.0,24,claps ▲
180,65,"Put on gloves, eat a banana, put on a tie, and clap",12,Richard Osman,249.0,24,claps ▲
181,67,Reach the microwave in the fewest steps,13,Al Murray,8.0,25,steps ▼
182,67,Reach the microwave in the fewest steps,14,Dave Gorman,50.0,25,steps ▼
183,67,Reach the microwave in the fewest steps,15,Paul Chowdhry,125.0,25,steps ▼
184,67,Reach the microwave in the fewest steps,16,Rob Beckett,4.0,25,steps ▼
185,67,Reach the microwave in the fewest steps,17,Sara Pascoe,27.0,25,steps ▼
186,68,Propel a pea along a red carpet,13,Al Murray,28968.0,4,meters ▲
187,68,Propel a pea along a red carpet,14,Dave Gorman,,4,meters ▲
188,68,Propel a pea along a red carpet,15,Paul Chowdhry,,4,meters ▲
189,68,Propel a pea along a red carpet,16,Rob Beckett,414.53,4,meters ▲
190,68,Propel a pea along a red carpet,17,Sara Pascoe,18.27,4,meters ▲
191,70,Balance swedes on a Swede,13,Al Murray,15.0,26,balanced swedes ▲
192,70,Balance swedes on a Swede,14,Dave Gorman,11.0,26,balanced swedes ▲
193,70,Balance swedes on a Swede,15,Paul Chowdhry,14.0,26,balanced swedes ▲
194,70,Balance swedes on a Swede,16,Rob Beckett,8.0,26,balanced swedes ▲
195,70,Balance swedes on a Swede,17,Sara Pascoe,8.0,26,balanced swedes ▲
196,71,The heaviest shoebox-sized item,13,Al Murray,0.9,27,kilograms ▲
197,71,The heaviest shoebox-sized item,14,Dave Gorman,27.3,27,kilograms ▲
198,71,The heaviest shoebox-sized item,15,Paul Chowdhry,3.6,27,kilograms ▲
199,71,The heaviest shoebox-sized item,16,Rob Beckett,9.3,27,kilograms ▲
200,71,The heaviest shoebox-sized item,17,Sara Pascoe,?,27,kilograms ▲
201,73,Release Alex,13,Al Murray,1657.0,2,time ▼
202,73,Release Alex,14,Dave Gorman,1657.0,2,time ▼
203,73,Release Alex,15,Paul Chowdhry,1657.0,2,time ▼
204,73,Release Alex,16,Rob Beckett,1006.0,2,time ▼
205,73,Release Alex,17,Sara Pascoe,1006.0,2,time ▼
206,75,Burst all of the balloons,13,Al Murray,,2,time ▼
207,75,Burst all of the balloons,14,Dave Gorman,110.0,2,time ▼
208,75,Burst all of the balloons,15,Paul Chowdhry,86.0,2,time ▼
209,75,Burst all of the balloons,16,Rob Beckett,31.6,2,time ▼
210,75,Burst all of the balloons,17,Sara Pascoe,118.0,2,time ▼
211,76,Unravel the tape,13,Al Murray,55.0,2,time ▼
212,76,Unravel the tape,14,Dave Gorman,74.0,2,time ▼
213,76,Unravel the tape,15,Paul Chowdhry,72.0,2,time ▼
214,76,Unravel the tape,16,Rob Beckett,,2,time ▼
215,76,Unravel the tape,17,Sara Pascoe,106.0,2,time ▼
216,78,Fill an eggcup with sweat,13,Al Murray,,28,sweatdrops ▲
217,78,Fill an eggcup with sweat,14,Dave Gorman,5.0,28,sweatdrops ▲
218,78,Fill an eggcup with sweat,15,Paul Chowdhry,12.0,28,sweatdrops ▲
219,78,Fill an eggcup with sweat,16,Rob Beckett,0.0,28,sweatdrops ▲
220,78,Fill an eggcup with sweat,17,Sara Pascoe,8.0,28,sweatdrops ▲
221,82,Anchor balloons using bread,13,Al Murray,2.0,29,anchored balloons ▲
222,82,Anchor balloons using bread,14,Dave Gorman,6.0,29,anchored balloons ▲
223,82,Anchor balloons using bread,15,Paul Chowdhry,3.0,29,anchored balloons ▲
224,82,Anchor balloons using bread,16,Rob Beckett,7.0,29,anchored balloons ▲
225,82,Anchor balloons using bread,17,Sara Pascoe,10.0,29,anchored balloons ▲
226,84,Spread your clothes far and wide,13,Al Murray,6.2,30,square miles ▲
227,84,Spread your clothes far and wide,14,Dave Gorman,0.3,30,square miles ▲
228,84,Spread your clothes far and wide,15,Paul Chowdhry,0.0001,30,square miles ▲
229,84,Spread your clothes far and wide,16,Rob Beckett,2.7,30,square miles ▲
230,84,Spread your clothes far and wide,17,Sara Pascoe,0.02,30,square miles ▲
231,85,Find out the lying old man’s occupation,13,Al Murray,128.0,2,time ▼
232,85,Find out the lying old man’s occupation,14,Dave Gorman,261.0,2,time ▼
233,85,Find out the lying old man’s occupation,15,Paul Chowdhry,2527.0,2,time ▼
234,85,Find out the lying old man’s occupation,16,Rob Beckett,605.0,2,time ▼
235,85,Find out the lying old man’s occupation,17,Sara Pascoe,511.0,2,time ▼
236,87,Cover yourself in sticky notes,13,Al Murray,31.0,31,sticky notes ▲
237,87,Cover yourself in sticky notes,14,Dave Gorman,40.0,31,sticky notes ▲
238,87,Cover yourself in sticky notes,15,Paul Chowdhry,29.0,31,sticky notes ▲
239,87,Cover yourself in sticky notes,16,Rob Beckett,45.0,31,sticky notes ▲
240,87,Cover yourself in sticky notes,17,Sara Pascoe,33.0,31,sticky notes ▲
241,90,Move water from one bucket to another,13,Al Murray,11.0,10,centimeters ▲
242,90,Move water from one bucket to another,14,Dave Gorman,,10,centimeters ▲
243,90,Move water from one bucket to another,15,Paul Chowdhry,4.0,10,centimeters ▲
244,90,Move water from one bucket to another,16,Rob Beckett,6.6,10,centimeters ▲
245,90,Move water from one bucket to another,17,Sara Pascoe,0.8,10,centimeters ▲
246,91,Play charades across a river,13,Al Murray,19.0,32,correct answers ▲
247,91,Play charades across a river,14,Dave Gorman,19.0,32,correct answers ▲
248,91,Play charades across a river,15,Paul Chowdhry,19.0,32,correct answers ▲
249,91,Play charades across a river,16,Rob Beckett,7.0,32,correct answers ▲
250,91,Play charades across a river,17,Sara Pascoe,7.0,32,correct answers ▲
251,93,The lowest unique number of doughnuts,13,Al Murray,1.0,33,doughnuts ▼
252,93,The lowest unique number of doughnuts,14,Dave Gorman,1.0,33,doughnuts ▼
253,93,The lowest unique number of doughnuts,15,Paul Chowdhry,5.0,33,doughnuts ▼
254,93,The lowest unique number of doughnuts,16,Rob Beckett,2.0,33,doughnuts ▼
255,93,The lowest unique number of doughnuts,17,Sara Pascoe,3.0,33,doughnuts ▼
256,97,Fell all the ducks,18,Hugh Dennis,8.9,2,time ▼
257,97,Fell all the ducks,19,Joe Lycett,116.0,2,time ▼
258,97,Fell all the ducks,20,Lolly Adefope,62.0,2,time ▼
259,97,Fell all the ducks,21,Mel Giedroyc,445.0,2,time ▼
260,97,Fell all the ducks,22,Noel Fielding,290.0,2,time ▼
261,98,Make the most fruit juice,18,Hugh Dennis,4.0,34,milliliters ▲
262,98,Make the most fruit juice,19,Joe Lycett,3.0,34,milliliters ▲
263,98,Make the most fruit juice,20,Lolly Adefope,0.4,34,milliliters ▲
264,98,Make the most fruit juice,21,Mel Giedroyc,7.0,34,milliliters ▲
265,98,Make the most fruit juice,22,Noel Fielding,2.0,34,milliliters ▲
266,100,Keep the basketball on the treadmill,18,Hugh Dennis,10368000.0,35,time ▲
267,100,Keep the basketball on the treadmill,19,Joe Lycett,3.8,35,time ▲
268,100,Keep the basketball on the treadmill,20,Lolly Adefope,15.8,35,time ▲
269,100,Keep the basketball on the treadmill,21,Mel Giedroyc,9.0,35,time ▲
270,100,Keep the basketball on the treadmill,22,Noel Fielding,3.75,35,time ▲
271,102,Get the flour onto the target,18,Hugh Dennis,193.0,1,grams ▲
272,102,Get the flour onto the target,19,Joe Lycett,217.0,1,grams ▲
273,102,Get the flour onto the target,20,Lolly Adefope,217.0,1,grams ▲
274,102,Get the flour onto the target,21,Mel Giedroyc,193.0,1,grams ▲
275,102,Get the flour onto the target,22,Noel Fielding,217.0,1,grams ▲
276,103,Put an egg in an egg cup without touching either,18,Hugh Dennis,4.0,36,penalties ▼
277,103,Put an egg in an egg cup without touching either,18,Hugh Dennis,340.0,2,time ▼
278,103,Put an egg in an egg cup without touching either,19,Joe Lycett,3.0,36,penalties ▼
279,103,Put an egg in an egg cup without touching either,19,Joe Lycett,182.8,2,time ▼
280,103,Put an egg in an egg cup without touching either,20,Lolly Adefope,1.0,36,penalties ▼
281,103,Put an egg in an egg cup without touching either,20,Lolly Adefope,88.0,2,time ▼
282,103,Put an egg in an egg cup without touching either,21,Mel Giedroyc,5.0,36,penalties ▼
283,103,Put an egg in an egg cup without touching either,21,Mel Giedroyc,357.0,2,time ▼
284,103,Put an egg in an egg cup without touching either,22,Noel Fielding,3.0,36,penalties ▼
285,103,Put an egg in an egg cup without touching either,22,Noel Fielding,182.5,2,time ▼
286,104,Make the longest balloon chain,18,Hugh Dennis,6.0,37,chained balloons ▲
287,104,Make the longest balloon chain,19,Joe Lycett,3.0,37,chained balloons ▲
288,104,Make the longest balloon chain,20,Lolly Adefope,4.0,37,chained balloons ▲
289,104,Make the longest balloon chain,21,Mel Giedroyc,7.0,37,chained balloons ▲
290,104,Make the longest balloon chain,22,Noel Fielding,4.0,37,chained balloons ▲
291,108,Persuade three animals to stand on the mat,18,Hugh Dennis,411.0,2,time ▼
292,108,Persuade three animals to stand on the mat,19,Joe Lycett,44.6,2,time ▼
293,108,Persuade three animals to stand on the mat,20,Lolly Adefope,820.0,2,time ▼
294,108,Persuade three animals to stand on the mat,21,Mel Giedroyc,864.0,2,time ▼
295,108,Persuade three animals to stand on the mat,22,Noel Fielding,388.0,2,time ▼
296,109,Transfer water from one fishbowl to another,18,Hugh Dennis,?,34,milliliters ▲
297,109,Transfer water from one fishbowl to another,19,Joe Lycett,4850.0,34,milliliters ▲
298,109,Transfer water from one fishbowl to another,20,Lolly Adefope,,34,milliliters ▲
299,109,Transfer water from one fishbowl to another,21,Mel Giedroyc,74.0,34,milliliters ▲
300,109,Transfer water from one fishbowl to another,22,Noel Fielding,115.0,34,milliliters ▲
301,111,Decant wine from one bottle to another,19,Joe Lycett,79.0,34,milliliters ▲
302,111,Decant wine from one bottle to another,22,Noel Fielding,16.0,34,milliliters ▲
303,113,Make the highest splash,18,Hugh Dennis,0.4572,4,meters ▲
304,113,Make the highest splash,19,Joe Lycett,1.8796,4,meters ▲
305,113,Make the highest splash,20,Lolly Adefope,0.0,4,meters ▲
306,113,Make the highest splash,21,Mel Giedroyc,4.5,4,meters ▲
307,113,Make the highest splash,22,Noel Fielding,5.1,4,meters ▲
308,117,Make the tallest tube tower,18,Hugh Dennis,3.0,38,tubes ▲
309,117,Make the tallest tube tower,19,Joe Lycett,2.0,38,tubes ▲
310,117,Make the tallest tube tower,20,Lolly Adefope,2.0,38,tubes ▲
311,117,Make the tallest tube tower,21,Mel Giedroyc,3.0,38,tubes ▲
312,117,Make the tallest tube tower,22,Noel Fielding,2.0,38,tubes ▲
313,119,Slide as far as possible,18,Hugh Dennis,18.9,4,meters ▲
314,119,Slide as far as possible,19,Joe Lycett,5.8,4,meters ▲
315,119,Slide as far as possible,20,Lolly Adefope,3.2,4,meters ▲
316,119,Slide as far as possible,21,Mel Giedroyc,56.5,4,meters ▲
317,119,Slide as far as possible,22,Noel Fielding,14.0,4,meters ▲
318,120,Don the diving gear while maintaining eye contact and small talk,18,Hugh Dennis,60.0,36,penalties ▼
319,120,Don the diving gear while maintaining eye contact and small talk,18,Hugh Dennis,405.0,2,time ▼
320,120,Don the diving gear while maintaining eye contact and small talk,19,Joe Lycett,42.0,36,penalties ▼
321,120,Don the diving gear while maintaining eye contact and small talk,19,Joe Lycett,392.0,2,time ▼
322,120,Don the diving gear while maintaining eye contact and small talk,20,Lolly Adefope,27.0,36,penalties ▼
323,120,Don the diving gear while maintaining eye contact and small talk,20,Lolly Adefope,345.0,2,time ▼
324,120,Don the diving gear while maintaining eye contact and small talk,21,Mel Giedroyc,29.0,36,penalties ▼
325,120,Don the diving gear while maintaining eye contact and small talk,21,Mel Giedroyc,469.0,2,time ▼
326,120,Don the diving gear while maintaining eye contact and small talk,22,Noel Fielding,,36,penalties ▼
327,120,Don the diving gear while maintaining eye contact and small talk,22,Noel Fielding,,2,time ▼
328,123,Make the longest continuous noise,18,Hugh Dennis,30.0,35,time ▲
329,123,Make the longest continuous noise,19,Joe Lycett,32.0,35,time ▲
330,123,Make the longest continuous noise,20,Lolly Adefope,21.0,35,time ▲
331,123,Make the longest continuous noise,21,Mel Giedroyc,14.0,35,time ▲
332,123,Make the longest continuous noise,22,Noel Fielding,4.4,35,time ▲
333,124,Eat as many peas as possible,18,Hugh Dennis,199.0,39,peas ▲
334,124,Eat as many peas as possible,21,Mel Giedroyc,174.0,39,peas ▲
335,126,Pass a camel through a small gap,18,Hugh Dennis,0.9,40,centimeters ▼
336,126,Pass a camel through a small gap,19,Joe Lycett,4.6,40,centimeters ▼
337,126,Pass a camel through a small gap,20,Lolly Adefope,3.1,40,centimeters ▼
338,126,Pass a camel through a small gap,21,Mel Giedroyc,?,40,centimeters ▼
339,126,Pass a camel through a small gap,22,Noel Fielding,4.0,40,centimeters ▼
340,127,Score a goal with a shopping bag,18,Hugh Dennis,0.0,41,kicks ▼
341,127,Score a goal with a shopping bag,18,Hugh Dennis,111.0,2,time ▼
342,127,Score a goal with a shopping bag,19,Joe Lycett,77.0,41,kicks ▼
343,127,Score a goal with a shopping bag,19,Joe Lycett,489.0,2,time ▼
344,127,Score a goal with a shopping bag,20,Lolly Adefope,8.0,41,kicks ▼
345,127,Score a goal with a shopping bag,20,Lolly Adefope,344.0,2,time ▼
346,127,Score a goal with a shopping bag,21,Mel Giedroyc,3.0,41,kicks ▼
347,127,Score a goal with a shopping bag,21,Mel Giedroyc,195.0,2,time ▼
348,127,Score a goal with a shopping bag,22,Noel Fielding,42.0,41,kicks ▼
349,127,Score a goal with a shopping bag,22,Noel Fielding,642.0,2,time ▼
350,131,Identify the contents of the sleeping bag,18,Hugh Dennis,,42,identified items ▲
351,131,Identify the contents of the sleeping bag,19,Joe Lycett,2.0,42,identified items ▲
352,131,Identify the contents of the sleeping bag,20,Lolly Adefope,2.0,42,identified items ▲
353,131,Identify the contents of the sleeping bag,21,Mel Giedroyc,0.0,42,identified items ▲
354,131,Identify the contents of the sleeping bag,22,Noel Fielding,2.0,42,identified items ▲
